"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes","KC","37.4","25.5","315.5","2.6","0.5","5.1","23.7","0.1","0.2","24.8"
"","high","40.2","26.5","335.0","3.0","0.0","8.0","31.0","0.2","0.1","31.0"
"","low","35.5","23.3","291.0","2.2","0.8","3.8","18.0","0.0","0.2","22.2"
"Aaron Rodgers","GB","32.3","20.9","242.9","1.5","0.3","2.8","12.7","0.0","0.3","16.1"
"","high","35.8","23.3","280.5","2.0","0.0","3.8","18.8","0.1","0.2","20.6"
"","low","27.0","18.0","202.0","1.2","0.4","1.6","9.0","0.0","0.3","13.3"
"Jimmy Garoppolo","SF","30.3","20.2","236.8","1.9","1.0","1.7","4.8","0.1","0.3","15.3"
"","high","31.5","22.0","268.1","2.0","0.6","2.8","8.3","0.1","0.3","20.0"
"","low","29.9","18.0","191.0","1.8","1.5","0.0","2.0","0.0","0.3","14.3"
"Ryan Tannehill","TEN","29.5","19.3","227.7","1.3","0.8","3.5","17.5","0.1","0.3","14.4"
"","high","36.0","22.0","262.9","1.6","0.5","5.0","27.0","0.1","0.3","18.8"
"","low","24.6","15.9","202.0","1.0","1.0","2.2","9.8","0.0","0.3","14.4"
"Marcus Mariota","TEN","1.0","0.7","8.3","0.1","0.0","0.3","1.7","0.0","0.0","0.9"
"","high","1.0","0.7","8.3","0.1","0.0","0.3","1.7","0.0","0.0","0.9"
"","low","1.0","0.7","8.3","0.1","0.0","0.3","1.7","0.0","0.0","0.9"
"Matt Moore","KC","1.5","0.9","10.7","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"","high","1.5","0.9","10.7","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"","low","1.5","0.9","10.7","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"Chad Henne","KC","1.3","0.7","9.1","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"","high","1.3","0.7","9.1","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"","low","1.3","0.7","9.1","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"Nick Mullens","SF","1.2","0.8","10.3","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"","high","1.2","0.8","10.3","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"","low","1.2","0.8","10.3","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"Tim Boyle","GB","1.1","0.7","5.6","0.0","0.0","0.2","0.2","0.0","0.0","0.2"
"","high","1.1","0.7","5.6","0.0","0.0","0.2","0.2","0.0","0.0","0.2"
"","low","1.1","0.7","5.6","0.0","0.0","0.2","0.2","0.0","0.0","0.2"
""
""
