"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Dalvin Cook","MIN","at DET","1","4","1.6","0.9","19.0"
"2","undefined","","Leonard Fournette","JAC","at CIN","1","4","1.8","0.6","16.4"
"3","undefined","","Saquon Barkley","NYG","vs. ARI","1","8","2.9","0.6","15.6"
"4","undefined","","Ezekiel Elliott","DAL","vs. PHI","3","7","4.1","0.8","15.5"
"5","undefined","","Chris Carson","SEA","vs. BAL","1","7","4.9","0.7","14.5"
"6","undefined","","Derrick Henry","TEN","vs. LAC","3","7","5.8","0.6","14.4"
"7","undefined","","David Johnson","ARI","at NYG","4","14","7.7","1.8","13.5"
"8","undefined","","Le'Veon Bell","NYJ","vs. NE","6","27","9.6","2.0","13.5"
"9","undefined","","Aaron Jones","GB","vs. OAK","7","23","10.3","2.6","13.4"
"10","undefined","","Josh Jacobs","OAK","at GB","7","17","10.8","2.3","13.4"
"11","undefined","","Phillip Lindsay","DEN","vs. KC","8","16","10.8","1.8","13.1"
"12","undefined","","Marlon Mack","IND","vs. HOU","7","19","11.8","2.5","12.8"
"13","undefined","","Mark Ingram","BAL","at SEA","7","23","12.4","2.6","12.7"
"14","undefined","","Sony Michel","NE","at NYJ","12","26","15.4","2.8","12.4"
"15","undefined","","Devonta Freeman","ATL","vs. LAR","11","23","15.5","1.7","12.0"
"16","undefined","","Todd Gurley","LAR","at ATL","8","35","16.6","6.0","11.9"
"17","undefined","","Kerryon Johnson","DET","vs. MIN","15","23","17.3","1.6","11.7"
"18","undefined","","Tevin Coleman","SF","at WAS","9","23","17.3","2.8","11.8"
"19","undefined","","Joe Mixon","CIN","vs. JAC","11","25","19.3","3.5","11.5"
"20","undefined","","Melvin Gordon","LAC","at TEN","13","26","20.3","2.4","11.1"
"21","undefined","","Royce Freeman","DEN","vs. KC","17","28","21.9","2.7","11.0"
"22","undefined","","Matt Breida","SF","at WAS","15","30","22.1","2.2","10.6"
"23","undefined","","Latavius Murray","NO","at CHI","10","37","22.6","5.6","10.4"
"24","undefined","","Carlos Hyde","HOU","at IND","10","28","22.6","2.6","10.4"
"25","undefined","","Frank Gore","BUF","vs. MIA","10","33","23.8","3.4","10.4"
"26","undefined","","Austin Ekeler","LAC","at TEN","22","35","26.5","2.7","10.3"
