"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Green Bay Packers","","3.8","1.2","0.7","1.0","0.2","0.0","15.4","272.6","9.5"
"","high","4.7","1.5","0.9","1.1","0.3","0.1","16.8","263.0","11.7"
"","low","2.9","0.7","0.6","0.9","0.1","0.0","14.3","282.2","8.1"
"Pittsburgh Steelers","","3.9","0.9","0.7","1.1","0.1","0.0","18.8","308.6","9.1"
"","high","4.7","1.2","0.8","1.2","0.2","0.1","21.0","265.0","10.8"
"","low","3.3","0.6","0.6","1.1","0.0","0.0","16.4","352.2","6.7"
"New York Jets","","3.2","1.2","0.7","1.1","0.2","0.0","19.5","302.6","9.0"
"","high","3.5","1.5","0.9","1.2","0.3","0.0","20.5","275.0","9.9"
"","low","2.5","0.8","0.5","0.9","0.0","0.0","18.6","330.2","7.4"
"Minnesota Vikings","","2.9","1.1","0.6","0.9","0.2","0.0","15.7","324.9","8.6"
"","high","3.7","1.6","0.7","0.9","0.3","0.1","17.2","303.0","12.1"
"","low","2.4","0.8","0.4","0.9","0.1","0.0","14.9","346.9","7.7"
"Cleveland Browns","","2.7","1.0","0.7","1.4","0.2","0.0","18.2","306.9","8.2"
"","high","2.8","1.4","1.0","1.5","0.2","0.1","21.6","300.0","9.2"
"","low","2.4","0.8","0.5","1.3","0.1","0.0","16.7","313.8","7.6"
"Indianapolis Colts","","3.1","1.2","0.7","1.3","0.2","0.0","24.1","376.3","8.0"
"","high","3.3","1.5","0.9","1.3","0.3","0.1","25.3","374.5","9.8"
"","low","2.6","0.9","0.6","1.2","0.1","0.0","20.9","378.0","6.1"
"Philadelphia Eagles","","2.7","0.9","0.7","1.2","0.2","0.0","18.4","346.3","7.9"
"","high","3.4","1.1","1.1","1.5","0.2","0.1","19.0","321.0","9.1"
"","low","1.1","0.8","0.4","1.0","0.1","0.0","18.0","371.6","6.8"
"Dallas Cowboys","","2.9","0.8","0.7","1.1","0.2","0.0","18.4","291.6","7.9"
"","high","3.5","1.1","0.8","1.3","0.2","0.1","20.0","276.0","9.3"
"","low","2.4","0.6","0.6","1.0","0.0","0.0","15.6","307.2","6.4"
"Los Angeles Chargers","","2.9","0.8","0.6","0.9","0.1","0.0","18.6","332.3","7.7"
