"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.0","76.8","0.5","0.1","10.6"
"","high","6.3","83.8","1.0","0.1","14.2"
"","low","5.6","64.0","0.3","0.1","9.4"
"George Kittle","SF","6.1","71.7","0.5","0.1","10.3"
"","high","7.6","75.7","1.0","0.0","13.2"
"","low","5.4","64.0","0.3","0.1","8.9"
"Zach Ertz","PHI","6.3","66.5","0.5","0.1","9.7"
"","high","7.0","74.3","1.0","0.1","12.1"
"","low","5.0","61.0","0.4","0.1","8.8"
"Mark Andrews","BAL","4.1","56.1","0.6","0.0","9.2"
"","high","5.0","70.2","1.0","0.0","12.4"
"","low","3.3","46.9","0.4","0.1","7.2"
"Darren Waller","OAK","6.0","67.4","0.4","0.1","9.0"
"","high","6.3","74.6","1.0","0.1","12.7"
"","low","5.8","55.0","0.1","0.1","7.1"
"Austin Hooper","ATL","4.9","55.3","0.6","0.0","9.0"
"","high","5.3","62.0","1.0","0.0","12.2"
"","low","4.5","48.8","0.4","0.0","7.9"
"Jared Cook","NO","4.1","52.7","0.4","0.0","7.7"
"","high","5.0","63.1","1.0","0.0","12.3"
"","low","3.5","42.0","0.1","0.1","6.1"
"O.J. Howard","TB","3.8","55.5","0.4","0.1","7.6"
"","high","5.0","62.8","1.0","0.0","11.7"
"","low","3.0","47.3","0.1","0.1","5.9"
"Tyler Higbee","LAR","5.1","54.8","0.4","0.0","7.6"
"","high","6.4","67.0","1.0","0.0","12.1"
"","low","4.1","44.1","0.1","0.1","5.8"
"Hunter Henry","LAC","4.1","53.2","0.3","0.1","7.3"
"","high","4.6","62.9","0.5","0.0","9.3"
"","low","3.6","46.0","0.0","0.1","5.3"
"Jack Doyle","IND","4.5","43.9","0.4","0.0","6.8"
"","high","6.0","55.7","1.0","0.0","11.1"
"","low","3.7","37.0","0.0","0.1","5.3"
"Noah Fant","DEN","3.7","47.8","0.4","0.1","6.8"
"","high","6.0","63.0","1.0","0.0","12.3"
"","low","2.2","32.0","0.0","0.1","4.4"
"Jacob Hollister","SEA","4.6","44.2","0.3","0.0","5.9"
"","high","7.1","61.6","0.4","0.0","6.0"
"","low","3.4","33.3","0.0","0.0","5.3"
"Dallas Goedert","PHI","4.6","45.8","0.2","0.1","5.6"
"","high","6.0","60.2","0.4","0.0","6.2"
"","low","3.6","35.1","0.0","0.2","4.8"
"Mike Gesicki","MIA","4.1","47.1","0.1","0.1","5.3"
"","high","5.0","52.2","0.3","0.0","6.2"
"","low","3.7","36.7","0.0","0.2","4.9"
"Cameron Brate","TB","3.8","41.3","0.2","0.0","5.3"
"","high","4.3","52.0","0.4","0.0","6.9"
"","low","2.5","28.0","0.0","0.0","3.7"
"Kyle Rudolph","MIN","3.6","35.8","0.2","0.0","4.9"
"","high","4.6","44.8","0.4","0.0","5.7"
"","low","3.0","31.0","0.0","0.0","3.6"
"Greg Olsen","CAR","3.7","41.5","0.1","0.0","4.8"
"","high","4.2","49.6","0.2","0.0","5.7"
"","low","2.7","30.3","0.0","0.0","4.1"
"Jonnu Smith","TEN","3.6","39.6","0.1","0.0","4.8"
"","high","4.9","54.6","0.3","0.0","5.0"
"","low","2.6","29.8","0.0","0.0","4.2"
"Jason Witten","DAL","3.9","38.2","0.1","0.1","4.5"
"","high","5.1","46.4","0.2","0.0","5.0"
"","low","3.0","34.8","0.0","0.1","3.6"
"Tyler Eifert","CIN","3.0","32.1","0.1","0.0","4.1"
"","high","3.8","43.3","0.3","0.0","4.9"
"","low","2.7","27.0","0.0","0.0","3.1"
"Kaden Smith","NYG","3.4","33.4","0.1","0.0","4.0"
"","high","4.3","41.6","0.2","0.0","4.9"
"","low","2.4","23.1","0.0","0.1","3.3"
"Darren Fells","HOU","2.4","27.0","0.2","0.0","4.0"
"","high","3.2","36.1","0.5","0.0","5.2"
"","low","2.0","22.0","0.0","0.0","2.7"
"Irv Smith Jr.","MIN","3.0","28.2","0.1","0.0","3.6"
"","high","4.3","38.6","0.2","0.0","4.4"
"","low","2.0","17.0","0.0","0.0","1.7"
"Jimmy Graham","GB","2.4","27.3","0.1","0.0","3.3"
"","high","3.2","37.8","0.2","0.0","3.7"
"","low","2.0","23.0","0.0","0.0","2.3"
"Blake Jarwin","DAL","2.2","26.1","0.1","0.0","3.3"
