"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","16.6","80.0","0.7","6.7","54.5","0.2","0.2","18.5"
"","high","18.5","85.9","1.0","7.8","62.0","0.3","0.1","19.5"
"","low","14.1","63.2","0.5","6.0","51.0","0.0","0.2","19.1"
"Derrick Henry","TEN","19.2","93.1","0.9","1.7","15.9","0.1","0.2","16.6"
"","high","21.8","105.0","1.2","2.0","17.6","0.1","0.1","16.7"
"","low","16.7","86.0","0.7","1.4","13.0","0.0","0.2","15.9"
"Saquon Barkley","NYG","18.9","85.6","0.7","4.6","37.1","0.1","0.1","16.6"
"","high","22.2","109.0","1.0","5.6","47.0","0.2","0.0","19.3"
"","low","15.9","74.5","0.4","3.0","23.0","0.0","0.2","15.6"
"Chris Carson","SEA","21.5","99.3","0.7","2.6","19.1","0.1","0.2","16.3"
"","high","23.0","102.0","1.0","2.9","22.0","0.2","0.2","17.8"
"","low","19.6","92.1","0.5","2.0","16.0","0.0","0.3","14.8"
"Dalvin Cook","MIN","17.4","81.0","0.7","3.9","34.3","0.1","0.2","15.6"
"","high","20.1","93.0","1.0","4.5","41.5","0.2","0.1","18.1"
"","low","13.0","61.0","0.4","3.0","27.0","0.0","0.2","12.0"
"Leonard Fournette","JAC","17.8","72.2","0.6","5.2","40.4","0.1","0.1","15.1"
"","high","20.4","79.3","1.0","6.7","57.0","0.2","0.0","17.1"
"","low","14.2","66.0","0.4","3.7","28.4","0.0","0.2","14.8"
"Ezekiel Elliott","DAL","19.6","84.6","0.6","3.4","28.1","0.1","0.2","14.9"
"","high","20.4","89.6","1.0","4.1","36.0","0.1","0.1","16.7"
"","low","19.0","79.6","0.3","2.9","24.0","0.0","0.2","14.1"
"Todd Gurley","LAR","18.1","75.8","0.8","2.8","22.2","0.1","0.2","14.6"
"","high","21.9","88.0","1.0","3.4","25.9","0.2","0.1","16.3"
"","low","16.2","67.0","0.5","2.0","18.7","0.0","0.2","13.9"
"Alvin Kamara","NO","12.5","59.0","0.5","6.0","45.4","0.2","0.1","14.4"
"","high","13.6","63.0","1.0","6.9","51.0","0.3","0.0","16.2"
"","low","10.0","51.1","0.4","4.9","41.0","0.0","0.2","13.2"
"Nick Chubb","CLE","16.9","86.6","0.6","2.0","15.0","0.1","0.1","14.0"
"","high","19.0","91.7","1.0","2.5","18.0","0.1","0.1","16.0"
"","low","13.9","83.0","0.4","1.5","11.7","0.0","0.2","12.5"
"Aaron Jones","GB","14.1","65.9","0.7","3.6","27.0","0.1","0.1","13.7"
"","high","16.0","77.0","1.0","4.6","39.0","0.2","0.1","15.8"
"","low","11.8","49.9","0.4","2.9","21.0","0.0","0.2","11.6"
