"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","Julio Jones","ATL","vs. TEN","1","5","1.9","1.1"
"2","undefined","","Keenan Allen","LAC","at MIA","1","6","2.4","0.7"
"3","undefined","","DeAndre Hopkins","HOU","vs. CAR","1","9","3.0","1.2"
"4","undefined","","Davante Adams","GB","vs. PHI","1","14","3.8","2.0"
"5","undefined","","Amari Cooper","DAL","at NO","1","8","6.0","0.7"
"6","undefined","","Odell Beckham Jr.","CLE","at BAL","4","17","6.2","2.1"
"7","undefined","","Tyler Lockett","SEA","at ARI","3","11","6.2","2.1"
"8","undefined","","Cooper Kupp","LAR","vs. TB","5","26","8.5","1.8"
"9","undefined","","JuJu Smith-Schuster","PIT","vs. CIN","7","27","10.1","2.0"
"10","undefined","","Michael Thomas","NO","vs. DAL","6","19","11.4","2.9"
"11","undefined","","Mike Evans","TB","at LAR","7","24","11.9","3.0"
"12","undefined","","Sammy Watkins","KC","at DET","6","25","12.1","3.5"
"13","undefined","","Brandin Cooks","LAR","vs. TB","9","21","12.7","2.2"
"14","undefined","","Kenny Golladay","DET","vs. KC","9","22","13.6","2.1"
"15","undefined","","Chris Godwin","TB","at LAR","12","42","18.2","4.7"
"16","undefined","","Tyler Boyd","CIN","at PIT","8","30","18.4","4.4"
"17","undefined","","Adam Thielen","MIN","at CHI","11","28","18.5","2.7"
"18","undefined","","Larry Fitzgerald","ARI","vs. SEA","9","30","19.6","3.2"
"19","undefined","","Robert Woods","LAR","vs. TB","13","40","20.3","5.3"
"20","undefined","","Marquise Brown","BAL","vs. CLE","7","30","20.4","2.9"
"21","undefined","","Sterling Shepard","NYG","vs. WAS","9","29","20.4","4.0"
"22","undefined","","Julian Edelman","NE","at BUF","14","32","20.9","4.1"
"23","undefined","","Terry McLaurin","WAS","at NYG","10","34","24.1","5.9"
"24","undefined","","Christian Kirk","ARI","vs. SEA","18","37","24.3","4.3"
"25","undefined","","Josh Gordon","NE","at BUF","19","46","25.8","4.9"
"26","undefined","","Calvin Ridley","ATL","vs. TEN","16","36","26.6","4.7"
"27","undefined","","D.J. Moore","CAR","at HOU","23","34","27.5","3.6"
"28","undefined","","Tyrell Williams","OAK","at IND","16","39","29.1","6.0"
"29","undefined","","Allen Robinson","CHI","vs. MIN","20","43","29.1","2.9"
"30","undefined","","Demarcus Robinson","KC","at DET","17","35","29.8","4.4"
"31","undefined","","Curtis Samuel","CAR","at HOU","21","39","30.0","3.5"
"32","undefined","","D.K. Metcalf","SEA","at ARI","10","39","31.3","3.3"
"33","undefined","","Marvin Jones","DET","vs. KC","22","44","31.3","5.2"
"34","undefined","","Mecole Hardman","KC","at DET","15","39","31.6","4.3"
"35","undefined","","Marquez Valdes-Scantling","GB","vs. PHI","20","39","34.4","4.1"
"36","undefined","","Will Fuller","HOU","vs. CAR","22","48","37.3","3.5"
"37","undefined","","Emmanuel Sanders","DEN","vs. JAC","15","48","37.7","6.2"
"38","undefined","","Alshon Jeffery","PHI","at GB","33","46","38.1","2.3"
"39","undefined","","Stefon Diggs","MIN","at CHI","22","49","38.2","5.0"
"40","undefined","","John Brown","BUF","vs. NE","32","50","38.9","3.5"
"41","undefined","","John Ross","CIN","at PIT","19","49","40.4","3.4"
"42","undefined","","Courtland Sutton","DEN","vs. JAC","37","55","42.8","1.8"
"43","undefined","","D.J. Chark","JAC","at DEN","31","57","43.2","3.0"
"44","undefined","","Nelson Agholor","PHI","at GB","36","50","44.2","2.7"
"45","undefined","","Phillip Dorsett","NE","at BUF","27","58","44.5","2.5"
"46","undefined","","Jarvis Landry","CLE","at BAL","33","52","45.7","3.5"
"47","undefined","","Paul Richardson","WAS","at NYG","25","60","46.2","5.3"
"48","undefined","","Preston Williams","MIA","vs. LAC","42","64","50.3","4.1"
"49","undefined","","Corey Davis","TEN","at ATL","38","63","51.4","4.2"
"50","undefined","","Kenny Stills","HOU","vs. CAR","41","71","52.6","6.7"
"51","undefined","","Dede Westbrook","JAC","at DEN","48","65","52.7","4.7"
"52","undefined","","Mohamed Sanu","ATL","vs. TEN","50","69","53.9","4.9"
"53","undefined","","Devin Smith","DAL","at NO","43","65","55.2","5.2"
"54","undefined","","Cole Beasley","BUF","vs. NE","47","70","56.1","3.1"
"55","undefined","","James Washington","PIT","vs. CIN","50","69","56.9","4.5"
"56","undefined","","Randall Cobb","DAL","at NO","31","68","57.6","4.5"
"57","undefined","","Devante Parker","MIA","vs. LAC","52","70","58.6","4.7"
"58","undefined","","Diontae Johnson","PIT","vs. CIN","46","70","59.5","4.7"
"59","undefined","","Geronimo Allison","GB","vs. PHI","45","74","61.7","4.8"
