"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","19.0","84.6","0.6","5.5","46.1","0.2","0.2","17.8"
"Dalvin Cook","MIN","19.6","97.0","0.7","3.9","32.0","0.1","0.2","17.6"
"Ezekiel Elliott","DAL","21.1","96.3","0.7","3.0","25.1","0.1","0.2","16.7"
"Alvin Kamara","NO","14.7","67.2","0.7","5.0","43.3","0.2","0.1","16.1"
"Nick Chubb","CLE","17.8","86.1","0.7","3.1","22.2","0.1","0.1","15.4"
"David Johnson","ARI","14.6","58.9","0.6","5.3","44.5","0.2","0.2","15.1"
"Leonard Fournette","JAC","19.7","83.3","0.6","4.0","27.3","0.1","0.1","14.6"
"Austin Ekeler","LAC","11.2","52.5","0.3","4.1","40.9","0.5","0.1","13.5"
"Derrick Henry","TEN","17.5","77.5","0.8","1.0","9.2","0.0","0.1","13.3"
"Joe Mixon","CIN","15.9","72.4","0.6","2.8","20.5","0.1","0.1","13.3"
"Le'Veon Bell","NYJ","18.3","72.2","0.3","5.5","35.5","0.1","0.2","12.5"
"Mark Ingram","BAL","15.4","71.2","0.6","2.0","15.6","0.0","0.1","12.3"
"Aaron Jones","GB","14.9","69.5","0.5","3.4","22.4","0.1","0.1","12.3"
"Chris Carson","SEA","16.1","71.4","0.5","2.3","17.7","0.1","0.2","12.2"
"Todd Gurley","LAR","13.8","58.7","0.6","2.9","23.3","0.1","0.1","12.0"
"Melvin Gordon","LAC","12.4","53.5","0.5","3.1","26.3","0.1","0.1","11.7"
"James Conner","PIT","12.9","51.4","0.6","3.4","25.8","0.1","0.1","11.7"
"Phillip Lindsay","DEN","12.7","59.5","0.5","2.7","19.9","0.0","0.1","10.9"
"David Montgomery","CHI","15.2","61.9","0.4","2.4","17.8","0.1","0.1","10.6"
"Sony Michel","NE","16.8","67.6","0.6","0.4","1.7","0.0","0.1","10.2"
"LeSean McCoy","KC","12.1","51.7","0.4","2.5","18.9","0.1","0.1","10.0"
"Wayne Gallman","NYG","13.7","54.2","0.3","3.3","23.6","0.1","0.2","9.8"
"Miles Sanders","PHI","12.4","52.8","0.4","2.1","16.6","0.1","0.1","9.6"
"Marlon Mack","IND","13.4","62.1","0.4","1.3","9.3","0.0","0.1","9.5"
"Devonta Freeman","ATL","13.2","52.0","0.2","3.8","26.9","0.1","0.1","9.4"
"Carlos Hyde","HOU","14.2","59.1","0.5","1.3","6.7","0.0","0.1","9.3"
"Matt Breida","SF","12.0","55.7","0.4","1.6","13.5","0.1","0.1","9.3"
"Frank Gore","BUF","15.8","60.4","0.4","1.4","10.0","0.0","0.1","9.0"
"Jordan Howard","PHI","14.2","57.9","0.4","1.5","10.1","0.0","0.1","8.9"
"Josh Jacobs","OAK","14.5","57.7","0.3","1.6","10.9","0.0","0.1","8.5"
"Damien Williams","KC","8.4","34.1","0.2","2.9","22.8","0.1","0.1","7.7"
