"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Davante Adams","GB","vs. WAS","1","10","1.3","0.9","13.9"
"2","undefined","","Michael Thomas","NO","vs. SF","1","5","2.9","0.7","13.0"
"3","undefined","","Mike Evans","TB","vs. IND","1","11","3.8","1.6","12.3"
"4","undefined","","DeAndre Hopkins","HOU","vs. DEN","1","21","4.2","2.3","12.1"
"5","undefined","","Tyreek Hill","KC","at NE","2","11","5.2","1.6","12.0"
"6","undefined","","Chris Godwin","TB","vs. IND","2","10","5.2","1.5","11.1"
"7","undefined","","D.J. Moore","CAR","at ATL","4","10","6.6","1.4","10.8"
"8","undefined","","Julian Edelman","NE ","vs. KC","7","14","8.6","1.0","10.7"
"9","undefined","","Cooper Kupp","LAR","vs. SEA","6","14","9.4","1.5","10.5"
"10","undefined","","Julio Jones","ATL","vs. CAR","5","27","10.8","4.1","10.5"
"11","undefined","","Odell Beckham Jr.","CLE","vs. CIN","10","38","13.1","3.2","10.3"
"12","undefined","","Stefon Diggs","MIN","vs. DET","8","27","13.4","3.6","10.3"
"13","undefined","","Keenan Allen","LAC","at JAC","8","19","14.3","2.4","10.1"
"14","undefined","","Allen Robinson","CHI","vs. DAL","11","21","14.9","1.4","10.0"
"15","undefined","","Devante Parker","MIA","at NYJ","7","22","15.2","2.5","9.9"
"16","undefined","","Jarvis Landry","CLE","vs. CIN","12","37","15.6","2.1","9.7"
"17","undefined","","Amari Cooper","DAL","at CHI","5","30","18.1","4.0","9.7"
"18","undefined","","Tyler Lockett","SEA","at LAR","12","25","19.0","2.8","9.7"
"19","undefined","","Courtland Sutton","DEN","at HOU","9","23","19.1","2.9","9.6"
"20","undefined","","Calvin Ridley","ATL","vs. CAR","14","28","19.5","2.6","9.1"
"21","undefined","","Alshon Jeffery","PHI","vs. NYG","3","27","19.9","5.3","9.3"
"22","undefined","","Robert Woods","LAR","vs. SEA","8","26","21.5","3.4","9.1"
"23","undefined","","D.J. Chark","JAC","vs. LAC","10","31","21.6","5.2","8.8"
"24","undefined","","Kenny Golladay","DET","at MIN","4","27","23.7","4.0","8.7"
"25","undefined","","John Brown","BUF","vs. BAL","20","46","24.8","3.2","8.7"
"26","undefined","","Tyler Boyd","CIN","at CLE","18","36","25.9","3.0","8.6"
"27","undefined","","Michael Gallup","DAL","at CHI","20","34","28.2","2.4","8.6"
"28","undefined","","Robby Anderson","NYJ","vs. MIA","11","39","28.5","4.6","8.6"
"29","undefined","","D.K. Metcalf","SEA","at LAR","23","64","29.6","4.3","8.5"
"30","undefined","","Christian Kirk","ARI","vs. PIT","26","48","31.5","4.1","8.3"
"31","undefined","","Jamison Crowder","NYJ","vs. MIA","22","43","31.6","1.4","8.1"
"32","undefined","","Marvin Jones","DET","at MIN","18","41","32.0","4.1","8.1"
"33","undefined","","Sterling Shepard","NYG","at PHI","23","42","35.2","3.4","8.1"
"34","undefined","","Curtis Samuel","CAR","at ATL","28","45","35.6","3.3","8.0"
"35","undefined","","James Washington","PIT","at ARI","17","47","36.6","5.1","7.9"
"36","undefined","","Deebo Samuel","SF","at NO","33","46","36.7","2.7","7.8"
"37","undefined","","Zach Pascal","IND","at TB","18","48","36.8","3.5","8.0"
"38","undefined","","Mike Williams","LAC","at JAC","29","48","37.7","4.2","7.8"
"39","undefined","","A.J. Brown","TEN","at OAK","29","47","38.7","3.9","7.7"
"40","undefined","","Terry McLaurin","WAS","at GB","31","51","39.9","4.8","7.6"
"41","undefined","","Tyrell Williams","OAK","vs. TEN","19","45","40.1","2.5","7.7"
"42","undefined","","Anthony Miller","CHI","vs. DAL","30","49","43.2","3.4","7.6"
"43","undefined","","Brandin Cooks","LAR","vs. SEA","36","55","44.7","3.5","7.4"
"44","undefined","","Marquise Brown","BAL ","at BUF","30","61","45.4","2.6","7.2"
