"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","18.5","84.4","0.7","6.2","52.7","0.3","0.2","19.0"
"Dalvin Cook","MIN","18.9","90.3","0.7","4.4","35.5","0.1","0.2","16.9"
"Ezekiel Elliott","DAL","20.8","95.6","0.7","3.0","25.8","0.1","0.2","16.7"
"Nick Chubb","CLE","17.5","88.5","0.7","3.0","20.3","0.1","0.1","15.5"
"Alvin Kamara","NO","14.4","68.5","0.6","5.0","41.7","0.1","0.1","15.2"
"Leonard Fournette","JAC","20.4","82.1","0.7","3.8","28.7","0.1","0.1","15.1"
"David Johnson","ARI","15.2","60.6","0.6","5.3","45.2","0.3","0.2","15.1"
"Le'Veon Bell","NYJ","17.8","72.6","0.5","5.6","38.5","0.1","0.2","14.4"
"Aaron Jones","GB","14.1","68.4","0.8","3.3","26.5","0.1","0.1","14.3"
"Derrick Henry","TEN","18.9","83.1","0.7","1.3","12.1","0.0","0.1","14.0"
"Mark Ingram","BAL","16.0","76.0","0.8","2.1","16.7","0.0","0.1","13.9"
"Kerryon Johnson","DET","17.3","76.7","0.6","2.7","23.9","0.1","0.2","13.7"
"Chris Carson","SEA","18.6","84.4","0.5","2.6","17.8","0.1","0.3","13.6"
"James Conner","PIT","15.3","62.9","0.6","4.1","31.7","0.1","0.1","13.4"
"Melvin Gordon","LAC","16.9","70.4","0.6","3.1","23.7","0.1","0.1","13.3"
"Sony Michel","NE","19.1","80.1","0.7","1.1","7.7","0.0","0.1","13.0"
"Phillip Lindsay","DEN","13.3","62.0","0.6","3.0","22.0","0.0","0.1","11.9"
"Joe Mixon","CIN","14.7","62.7","0.5","2.7","20.3","0.1","0.1","11.5"
"Malcolm Brown","LAR","14.5","59.2","0.6","2.2","16.8","0.1","0.1","11.5"
"Damien Williams","KC","11.1","43.2","0.5","3.4","29.5","0.2","0.1","11.4"
"Austin Ekeler","LAC","7.5","35.0","0.2","4.9","41.8","0.4","0.2","11.1"
"Matt Breida","SF","12.3","60.5","0.4","2.2","18.3","0.1","0.1","10.6"
"Devonta Freeman","ATL","13.4","54.0","0.3","3.9","30.7","0.1","0.1","10.6"
"Carlos Hyde","HOU","15.7","67.9","0.5","1.3","7.1","0.0","0.1","10.1"
"Kenyan Drake","MIA","9.9","43.3","0.4","3.5","28.8","0.1","0.1","9.9"
"James White","NE","5.6","23.3","0.1","5.4","47.7","0.2","0.1","9.2"
"Jordan Howard","PHI","13.5","54.6","0.4","1.4","8.9","0.0","0.1","9.1"
"Adrian Peterson","WAS","16.4","61.5","0.3","1.2","8.4","0.0","0.2","8.7"
"Tevin Coleman","SF","11.4","49.7","0.3","1.6","13.4","0.1","0.1","8.3"
"Royce Freeman","DEN","11.4","47.9","0.3","2.9","16.7","0.0","0.1","8.1"
"Chris Thompson","WAS","5.9","24.6","0.1","5.0","44.8","0.1","0.1","7.9"
"Jonathan Hilliman","NYG","12.1","49.0","0.1","2.7","18.7","0.0","0.2","7.6"
"Miles Sanders","PHI","10.4","42.6","0.1","2.9","22.2","0.1","0.1","7.4"
"Ronald Jones II","TB","12.4","51.6","0.2","1.3","12.4","0.0","0.1","7.4"
"LeSean McCoy","KC","9.3","36.0","0.1","2.6","18.4","0.1","0.1","6.6"
"Peyton Barber","TB","11.6","44.6","0.2","1.5","8.5","0.0","0.1","6.4"
"Duke Johnson","HOU","6.1","29.5","0.1","2.9","27.4","0.1","0.1","6.4"
"Ito Smith","ATL","7.0","27.9","0.1","2.4","18.1","0.0","0.1","5.4"
"Jamaal Williams","GB","6.4","24.7","0.1","2.0","15.2","0.1","0.1","4.7"
"Gus Edwards","BAL","8.0","36.3","0.1","0.6","3.2","0.0","0.1","4.5"
"Chase Edmonds","ARI","5.2","24.0","0.1","1.7","11.0","0.0","0.0","4.2"
"Giovani Bernard","CIN","4.3","16.0","0.1","2.4","19.6","0.0","0.0","4.2"
"Darrell Henderson","LAR","6.6","25.4","0.1","1.2","7.5","0.0","0.1","4.1"
"Latavius Murray","NO","7.0","26.1","0.1","1.2","7.2","0.0","0.0","4.1"
"Dion Lewis","TEN","4.4","18.0","0.1","2.5","16.8","0.1","0.1","4.0"
"Brandon Bolden","NE","3.9","15.3","0.2","1.4","10.3","0.1","0.1","4.0"
"Tony Pollard","DAL","5.8","23.1","0.1","1.0","7.2","0.0","0.1","3.6"
"Alexander Mattison","MIN","6.6","25.5","0.1","0.8","4.4","0.0","0.1","3.5"
"Mark Walton","MIA","5.9","23.7","0.1","1.1","7.9","0.0","0.1","3.4"
"Raheem Mostert","SF","5.1","24.7","0.1","1.2","7.9","0.0","0.2","3.4"
"Ty Johnson","DET","4.9","19.2","0.1","1.3","8.6","0.0","0.1","3.1"
"Benny Snell Jr.","PIT","4.4","17.1","0.1","1.0","5.9","0.0","0.0","2.7"
"Kalen Ballage","MIA","4.9","17.5","0.1","1.0","6.3","0.0","0.1","2.7"
"Dare Ogunbowale","TB","1.5","5.8","0.0","2.5","17.9","0.0","0.0","2.6"
