"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","New England (NE)","vs. BUF","1","4","1.7","0.7","9.5"
"2","undefined","","Pittsburgh (PIT)","at NYJ","1","7","2.5","1.0","8.8"
"3","undefined","","Baltimore (BAL)","at CLE","1","7","2.9","1.3","8.3"
"4","undefined","","Denver (DEN)","vs. DET","1","6","3.7","1.3","8.2"
"5","undefined","","San Francisco (SF)","vs. LAR","2","10","4.6","0.8","8.2"
"6","undefined","","Kansas City (KC)","at CHI","5","12","7.0","1.5","8.1"
"7","undefined","","Indianapolis (IND)","vs. CAR","3","14","7.8","2.0","7.9"
"8","undefined","","Seattle (SEA)","vs. ARI","5","19","8.5","2.1","7.9"
"9","undefined","","Atlanta (ATL)","vs. JAC","6","23","10.6","2.4","7.4"
"10","undefined","","Houston (HOU)","at TB","6","18","10.1","2.4","7.4"
"11","undefined","","Buffalo (BUF)","at NE","5","20","11.1","3.0","7.1"
"12","undefined","","Washington (WAS)","vs. NYG","6","22","12.5","2.6","7.1"
"13","undefined","","New Orleans (NO)","at TEN","7","21","13.9","2.8","6.9"
"14","undefined","","Los Angeles (LAC)","vs. OAK","1","21","13.3","3.0","6.8"
"15","undefined","","New York (NYJ)","vs. PIT","7","22","14.9","3.2","6.7"
"16","undefined","","Minnesota (MIN)","vs. GB","8","21","16.6","1.7","6.7"
"17","undefined","","New York (NYG)","at WAS","7","20","15.3","2.8","6.6"
"18","undefined","","Los Angeles (LAR)","at SF","11","24","18.9","2.7","6.6"
"19","undefined","","Cincinnati (CIN)","at MIA","14","25","18.5","3.2","6.5"
"20","undefined","","Dallas (DAL)","at PHI","15","28","19.6","2.6","6.4"
"21","undefined","","Tampa Bay (TB)","vs. HOU","13","32","22.1","4.0","6.3"
"22","undefined","","Green Bay (GB)","at MIN","14","29","22.5","3.2","6.3"
"23","undefined","","Philadelphia (PHI)","vs. DAL","16","27","22.0","1.9","6.2"
"24","undefined","","Miami (MIA)","vs. CIN","19","26","23.0","1.7","6.2"
"25","undefined","","Detroit (DET)","at DEN","19","28","24.5","2.0","6.1"
"26","undefined","","Chicago (CHI)","vs. KC","13","30","26.0","2.6","6.1"
"27","undefined","","Oakland (OAK)","at LAC","21","29","26.6","1.9","5.7"
"28","undefined","","Carolina (CAR)","at IND","16","30","27.5","2.3","5.6"
"29","undefined","","Tennessee (TEN)","vs. NO","18","32","29.3","2.5","5.6"
"30","undefined","","Jacksonville (JAC)","at ATL","17","32","28.8","1.9","5.4"
"31","undefined","","Arizona (ARI)","at SEA","26","31","29.9","1.2","5.0"
"32","undefined","","Cleveland (CLE)","vs. BAL","30","32","31.7","0.6","5.0"
""
""
