"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","DeAndre Hopkins","HOU","vs. ATL","1","5","1.4","0.6","14.3"
"2","undefined","","Julio Jones","ATL","at HOU","1","5","2.1","1.0","13.7"
"3","undefined","","Keenan Allen","LAC","vs. DEN","2","9","3.4","1.0","13.2"
"4","undefined","","Michael Thomas","NO","vs. TB","2","11","5.5","1.8","12.8"
"5","undefined","","Odell Beckham Jr.","CLE","at SF","4","13","5.7","2.1","12.3"
"6","undefined","","Cooper Kupp","LAR","at SEA","4","25","5.8","1.9","11.8"
"7","undefined","","Chris Godwin","TB","at NO","1","14","6.8","2.4","11.8"
"8","undefined","","Mike Evans","TB","at NO","4","11","8.6","1.8","11.6"
"9","undefined","","Tyler Lockett","SEA","vs. LAR","6","16","9.5","1.4","11.6"
"10","undefined","","Amari Cooper","DAL","vs. GB","5","28","9.6","2.9","11.4"
"11","undefined","","Adam Thielen","MIN","at NYG","6","18","12.3","2.1","11.2"
"12","undefined","","Sammy Watkins","KC","vs. IND","1","25","12.7","3.9","11.1"
"13","undefined","","Tyler Boyd","CIN","vs. ARI","6","23","14.0","2.6","11.1"
"14","undefined","","Larry Fitzgerald","ARI","at CIN","7","24","16.7","2.6","11.0"
"15","undefined","","Brandin Cooks","LAR","at SEA","7","25","16.8","3.2","10.5"
"16","undefined","","Julian Edelman","NE","at WAS","12","20","16.8","1.3","10.6"
"17","undefined","","JuJu Smith-Schuster","PIT","vs. BAL","12","27","17.8","3.6","10.4"
"18","undefined","","Josh Gordon","NE","at WAS","10","45","18.2","4.7","10.1"
"19","undefined","","Robert Woods","LAR","at SEA","13","33","19.4","4.8","9.9"
"20","undefined","","Allen Robinson","CHI","at OAK","7","28","19.7","3.5","9.6"
"21","undefined","","Alshon Jeffery","PHI","vs. NYJ","14","24","20.0","2.3","9.5"
"22","undefined","","Marquise Brown","BAL","at PIT","10","31","21.9","3.1","9.5"
"23","undefined","","T.Y. Hilton","IND","at KC","5","54","22.4","12.2","9.4"
"24","undefined","","Stefon Diggs","MIN","at NYG","15","32","24.1","3.7","9.1"
"25","undefined","","Will Fuller","HOU","vs. ATL","13","38","27.3","3.7","9.0"
"26","undefined","","Marquez Valdes-Scantling","GB","at DAL","21","39","28.2","3.5","8.7"
"27","undefined","","Sterling Shepard","NYG","vs. MIN","18","39","28.2","4.1","8.9"
"28","undefined","","Curtis Samuel","CAR","vs. JAC","21","44","28.2","3.1","8.9"
"29","undefined","","D.J. Moore","CAR","vs. JAC","20","51","29.5","4.0","8.3"
"30","undefined","","Emmanuel Sanders","DEN","at LAC","17","38","29.9","4.4","8.0"
"31","undefined","","Calvin Ridley","ATL","at HOU","9","39","30.0","4.6","8.0"
"32","undefined","","Courtland Sutton","DEN","at LAC","16","41","30.7","4.6","7.9"
"33","undefined","","Demarcus Robinson","KC","vs. IND","25","43","31.7","3.4","7.3"
"34","undefined","","Jarvis Landry","CLE","at SF","22","39","32.3","3.6","7.1"
"35","undefined","","John Brown","BUF","at TEN","16","47","34.9","5.1","7.1"
"36","undefined","","Geronimo Allison","GB","at DAL","24","49","37.7","4.6","7.0"
"37","undefined","","Tyrell Williams","OAK","vs. CHI","31","56","38.4","5.0","6.9"
"38","undefined","","Mecole Hardman","KC","vs. IND","32","49","38.9","3.8","6.9"
"39","undefined","","D.J. Chark","JAC","at CAR","23","54","39.4","3.8","6.7"
"40","undefined","","Phillip Dorsett","NE","at WAS","30","62","40.8","4.6","6.6"
"41","undefined","","D.K. Metcalf","SEA","vs. LAR","36","57","41.6","3.7","6.5"
"42","undefined","","Robby Anderson","NYJ","at PHI","32","60","42.0","4.1","6.4"
"43","undefined","","Auden Tate","CIN","vs. ARI","28","52","43.2","3.6","6.3"
"44","undefined","","Terry McLaurin","WAS","vs. NE","29","65","45.2","6.2","6.3"
"45","undefined","","Golden Tate","NYG","vs. MIN","34","54","45.8","4.6","6.1"
"46","undefined","","Mohamed Sanu","ATL","at HOU","35","59","47.1","5.2","6.1"
"47","undefined","","Diontae Johnson","PIT","vs. BAL","36","55","47.1","3.8","6.1"
"48","undefined","","Cole Beasley","BUF","at TEN","34","60","48.4","7.1","6.0"
"49","undefined","","Jamison Crowder","NYJ","at PHI","30","59","50.0","7.4","6.0"
"50","undefined","","Corey Davis","TEN","vs. BUF","42","61","51.3","4.3","5.9"
"51","undefined","","Nelson Agholor","PHI","vs. NYJ","39","86","51.7","9.5","5.9"
"52","undefined","","Deebo Samuel","SF","vs. CLE","32","61","52.0","4.4","5.8"
"53","undefined","","Dede Westbrook","JAC","at CAR","46","61","53.5","2.7","5.7"
"54","undefined","","A.J. Brown","TEN","vs. BUF","39","77","54.6","6.5","5.6"
"55","undefined","","KeeSean Johnson","ARI","at CIN","45","66","55.2","5.7","5.6"
"56","undefined","","Mike Williams","LAC","vs. DEN","33","58","45.8","5.2","5.3"
"57","undefined","","Marquise Goodwin","SF","vs. CLE","47","64","57.8","4.2","5.4"
"58","undefined","","Paul Richardson","WAS","vs. NE","53","74","61.8","5.7","5.2"
"59","undefined","","Randall Cobb","DAL","vs. GB","22","75","62.6","5.3","5.2"
"60","undefined","","Ted Ginn","NO","vs. TB","57","92","63.7","8.0","5.2"
"61","undefined","","Dante Pettis","SF","vs. CLE","52","79","64.1","5.6","5.1"
"62","undefined","","James Washington","PIT","vs. BAL","55","93","65.1","8.3","5.1"
"63","undefined","","Keke Coutee","HOU","vs. ATL","51","81","65.9","7.6","4.6"
"64","undefined","","Willie Snead","BAL","at PIT","53","94","66.6","8.3","4.5"
"65","undefined","","Chris Conley","JAC","at CAR","59","78","66.7","4.1","4.5"
"66","undefined","","Michael Gallup","DAL","vs. GB","40","70","53.4","7.3","4.4"
"67","undefined","","Trey Quinn","WAS","vs. NE","61","82","68.9","5.1","4.4"
"68","undefined","","Adam Humphries","TEN","vs. BUF","66","81","72.5","3.8","4.2"
"69","undefined","","Zach Pascal","IND","at KC","56","81","68.9","5.7","4.3"
