"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","31.0","20.0","235.5","1.7","0.6","10.9","57.9","0.3","0.2","22.3"
"Patrick Mahomes","KC","36.9","25.1","329.2","2.3","0.7","2.9","11.5","0.1","0.1","22.2"
"Matt Ryan","ATL","40.1","28.5","328.0","2.1","0.8","2.0","7.4","0.1","0.2","20.6"
"Deshaun Watson","HOU","33.3","21.6","270.1","1.8","0.8","5.3","30.9","0.2","0.3","20.3"
"Dak Prescott","DAL","32.7","22.9","277.2","1.7","0.5","3.2","16.8","0.2","0.2","19.6"
"Tom Brady","NE","36.6","25.4","299.6","2.0","0.5","1.3","2.3","0.1","0.1","19.5"
"Kyler Murray","ARI","37.5","23.7","259.5","1.8","1.1","6.6","34.4","0.2","0.3","19.5"
"Russell Wilson","SEA","30.3","21.1","252.5","1.9","0.4","4.9","26.2","0.1","0.2","19.5"
"Aaron Rodgers","GB","34.4","21.7","267.2","1.7","0.3","3.1","14.7","0.0","0.2","18.4"
"Jared Goff","LAR","37.3","23.3","281.3","2.0","0.9","2.1","5.1","0.1","0.2","18.0"
"Jameis Winston","TB","35.5","23.2","290.8","1.7","1.1","2.8","11.9","0.1","0.2","17.7"
"Gardner Minshew","JAC","32.6","21.9","248.8","1.5","0.7","4.1","17.6","0.1","0.2","16.6"
"Carson Wentz","PHI","34.9","23.9","243.6","1.6","0.6","3.0","11.1","0.1","0.2","16.1"
"Philip Rivers","LAC","35.3","23.3","260.4","1.8","0.6","1.0","1.9","0.0","0.1","16.1"
"Kirk Cousins","MIN","31.2","21.9","238.0","1.6","0.4","2.1","7.0","0.1","0.2","16.0"
"Kyle Allen","CAR","36.3","22.8","262.0","1.7","0.9","1.5","4.7","0.0","0.3","15.3"
"Andy Dalton","CIN","37.0","22.5","258.2","1.5","1.0","1.5","5.2","0.1","0.2","14.9"
"Baker Mayfield","CLE","33.2","22.1","258.2","1.4","1.0","1.6","5.2","0.0","0.2","14.2"
"Matthew Stafford","DET","33.2","20.2","243.6","1.3","0.9","2.2","9.1","0.0","0.2","14.1"
"Case Keenum","WAS","32.9","22.5","242.4","1.4","0.9","1.7","5.7","0.1","0.1","14.1"
"Jimmy Garoppolo","SF","31.9","20.3","249.3","1.5","0.9","2.2","4.1","0.0","0.2","14.1"
"Marcus Mariota","TEN","28.4","18.6","211.4","1.0","0.5","4.3","24.0","0.1","0.2","14.0"
"Teddy Bridgewater","NO","31.8","21.4","218.1","1.1","0.8","2.1","8.1","0.0","0.1","12.3"
