"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Julio Jones","ATL","vs. LAR","1","6","1.9","1.3","12.2"
"2","undefined","","Cooper Kupp","LAR","at ATL","1","4","2.1","0.8","12.2"
"3","undefined","","DeAndre Hopkins","HOU","at IND","1","6","2.9","1.0","12.1"
"4","undefined","","Tyreek Hill","KC","at DEN","1","26","3.7","1.4","11.6"
"5","undefined","","Michael Thomas","NO","at CHI","3","10","5.6","1.1","11.6"
"6","undefined","","T.Y. Hilton","IND","vs. HOU","1","11","6.7","1.7","11.4"
"7","undefined","","Keenan Allen","LAC","at TEN","5","15","7.5","2.2","11.2"
"8","undefined","","Tyler Lockett","SEA","vs. BAL","4","13","7.7","1.6","11.0"
"9","undefined","","Adam Thielen","MIN","at DET","3","18","9.8","3.1","11.0"
"10","undefined","","Julian Edelman","NE ","at NYJ","6","21","10.5","2.6","11.0"
"11","undefined","","Robert Woods","LAR","at ATL","7","23","12.0","2.3","10.9"
"12","undefined","","Michael Gallup","DAL","vs. PHI","5","23","12.8","3.2","10.8"
"13","undefined","","Kenny Golladay","DET","vs. MIN","10","21","13.7","1.8","10.6"
"14","undefined","","Brandin Cooks","LAR","at ATL","9","23","14.2","2.9","10.4"
"15","undefined","","D.J. Chark","JAC","at CIN","10","27","14.8","2.2","10.1"
"16","undefined","","Will Fuller","HOU","at IND","8","23","15.3","2.7","10.1"
"17","undefined","","Courtland Sutton","DEN","vs. KC","13","25","16.9","1.9","9.8"
"18","undefined","","Larry Fitzgerald","ARI","at NYG","14","31","18.2","2.7","9.8"
"19","undefined","","John Brown","BUF","vs. MIA","13","24","20.0","2.3","9.7"
"20","undefined","","Tyler Boyd","CIN","vs. JAC","11","30","20.0","2.9","9.7"
"21","undefined","","Alshon Jeffery","PHI","at DAL","11","27","21.5","2.6","9.6"
"22","undefined","","Stefon Diggs","MIN","at DET","17","29","22.8","2.9","9.5"
"23","undefined","","Calvin Ridley","ATL","vs. LAR","11","35","23.2","2.7","9.4"
"24","undefined","","Mike Williams","LAC","at TEN","16","31","25.0","2.3","9.3"
"25","undefined","","Allen Robinson","CHI","vs. NO","15","36","25.6","2.0","9.4"
"26","undefined","","Terry McLaurin","WAS","vs. SF","14","47","27.4","1.0","9.2"
