"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"96","undefined","","Josh Reynolds","LAR","at SF","81","108","96.7","5.8","3.1"
"97","undefined","","Olamide Zaccheaus","ATL","vs. JAC","57","104","90.7","7.1","3.0"
"98","undefined","","Miles Boykin","BAL","at CLE","78","116","98.4","7.1","2.9"
"99","undefined","","Keelan Doss","OAK ","at LAC","58","113","96.5","8.6","2.7"
"100","undefined","","Chris Lacy","DET","at DEN","79","121","99.1","8.4","2.7"
"101","undefined","","Cordarrelle Patterson","CHI","vs. KC","84","116","100.1","8.4","2.7"
"102","undefined","","Malik Turner","SEA","vs. ARI","76","109","96.5","7.9","2.7"
"103","undefined","","Kalif Raymond","TEN","vs. NO","78","114","99.8","6.7","2.7"
"104","undefined","","Tavon Austin","DAL","at PHI","91","114","104.0","6.0","2.7"
"105","undefined","","Jaron Brown","SEA","vs. ARI","85","118","104.6","5.4","2.6"
"106","undefined","","Andy Isabella","ARI","at SEA","90","113","105.4","3.6","2.6"
"107","undefined","","Jake Kumerow","GB","at MIN","59","120","101.0","13.0","2.5"
"108","undefined","","Pharoh Cooper","ARI","at SEA","76","124","106.2","5.1","2.5"
"109","undefined","","Marquez Valdes-Scantling","GB","at MIN","81","130","108.7","10.0","2.4"
"110","undefined","","Cody Latimer","NYG","at WAS","96","121","109.5","6.7","2.3"
"111","undefined","","Isaiah McKenzie","BUF","at NE","74","113","99.8","8.5","2.3"
"112","undefined","","Chris Hogan","CAR","at IND","96","133","116.1","7.5","2.3"
"113","undefined","","Laquon Treadwell","MIN","vs. GB","97","147","119.6","10.0","2.2"
"114","undefined","","Javon Wims","CHI","vs. KC","87","132","113.6","8.1","2.2"
"115","undefined","","Riley Ridley","CHI","vs. KC","89","144","115.9","10.4","2.2"
"116","undefined","","Justin Hardy","ATL","vs. JAC","109","124","117.7","3.1","2.1"
"117","undefined","","Braxton Berrios","NYJ","vs. PIT","100","128","118.4","7.7","2.1"
"118","undefined","","Andre Patton","LAC","vs. OAK","93","119","108.5","4.1","1.9"
"119","undefined","","Rashard Higgins","CLE","vs. BAL","105","152","122.7","12.4","1.9"
"120","undefined","","Dontrelle Inman","IND","vs. CAR","78","130","117.1","12.0","1.8"
"121","undefined","","Damion Ratley","CLE","vs. BAL","112","145","122.8","9.4","1.8"
"122","undefined","","Khadarel Hodge","CLE","vs. BAL","99","146","126.0","8.0","1.6"
"123","undefined","","Cyril Grayson","TB","vs. HOU","100","131","117.3","8.8","1.6"
"124","undefined","","Andre Roberts","BUF","at NE","99","135","128.1","5.5","1.6"
"125","undefined","","Deon Cain","PIT","at NYJ","102","150","128.5","10.7","1.4"
"126","undefined","","Deonte Harris","NO","at TEN","117","133","125.8","4.6","1.2"
"127","undefined","","Diontae Spencer","DEN","vs. DET","111","131","117.0","6.5","1.2"
"128","undefined","","Ashton Dulin","IND","vs. CAR","100","127","117.3","6.0","1.2"
"129","undefined","","Spencer Schnell","TB","vs. HOU","93","155","117.8","21.3","1.2"
"130","undefined","","Marcell Ateman","OAK","at LAC","112","143","124.0","8.3","1.2"
"131","undefined","","Johnny Holton","PIT","at NYJ","106","137","125.6","8.1","1.1"
"132","undefined","","Robert Davis","PHI","vs. DAL","108","135","126.6","5.8","1.0"
"133","undefined","","DeAndre Carter","HOU","at TB","111","140","130.6","6.5","1.0"
"134","undefined","","Robert Foster","BUF","at NE","120","149","133.1","8.0","1.0"
"135","undefined","","Fred Brown","DEN","vs. DET","110","129","121.0","7.5","0.9"
"136","undefined","","Travis Fulgham","DET","at DEN","117","139","131.4","5.4","0.9"
"137","undefined","","Byron Pringle","KC","at CHI","122","141","136.9","4.6","0.8"
"138","undefined","","Cody Hollister","TEN","vs. NO","105","148","127.4","14.1","0.8"
"139","undefined","","KeeSean Johnson","ARI ","at SEA","97","140","131.6","9.2","0.8"
"140","undefined","","Cam Sims","WAS","vs. NYG","122","146","136.5","6.5","0.8"
"141","undefined","","Michael Walker","JAC","at ATL","109","147","127.5","13.5","0.7"
"142","undefined","","Jalen Guyton","LAC","vs. OAK","98","146","128.0","18.9","0.7"
"143","undefined","","Stanley Morgan Jr.","CIN","at MIA","121","152","129.8","12.9","0.7"
"144","undefined","","Richie James","SF","vs. LAR","125","147","138.0","7.4","0.6"
"145","undefined","","Trent Sherfield","ARI","at SEA","130","151","141.0","7.3","0.5"
"146","undefined","","Rico Gafford","OAK","at LAC","119","120","119.5","0.5","0.5"
"147","undefined","","Da'Mari Scott","NYG","at WAS","129","150","138.5","7.9","0.4"
"148","undefined","","Mack Hollins","MIA","vs. CIN","129","148","139.0","6.7","0.4"
"149","undefined","","Brandon Zylstra","CAR","at IND","129","156","143.0","10.1","0.4"
"150","undefined","","Dante Pettis","SF","vs. LAR","129","153","141.0","9.8","0.4"
"151","undefined","","Krishawn Hogan","NO","at TEN","132","159","146.3","10.2","0.3"
"152","undefined","","Josh Malone","NYJ","vs. PIT","138","154","145.8","6.2","0.2"
"153","undefined","","Chris Moore","BAL","at CLE","139","151","144.7","4.9","0.2"
"154","undefined","","DeAndrew White","CAR","at IND","131","157","146.0","11.0","0.2"
"155","undefined","","Devin Smith","DAL ","at PHI","142","151","146.5","4.5","0.2"
"156","undefined","","Cody Core","NYG","at WAS","142","160","151.7","7.4","0.1"
"157","undefined","","De'Anthony Thomas","BAL","at CLE","144","155","149.5","5.5","0.1"
""
""
