"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Pittsburgh (PIT)","at CIN","1","1","1.0","0.0","9.3"
"2","undefined","","Buffalo (BUF)","vs. DEN","2","8","2.9","1.1","9.2"
"3","undefined","","New Orleans (NO)","vs. CAR","2","7","3.3","1.2","9.0"
"4","undefined","","Chicago (CHI)","vs. NYG","2","8","3.7","1.0","8.8"
"5","undefined","","Cleveland (CLE)","vs. MIA","2","19","5.4","1.8","8.7"
"6","undefined","","Atlanta (ATL)","vs. TB","4","10","6.3","1.2","8.3"
"7","undefined","","Baltimore (BAL)","at LAR","3","14","7.4","2.5","8.3"
"8","undefined","","New England (NE)","vs. DAL","4","13","7.7","1.7","8.1"
"9","undefined","","Detroit (DET)","at WAS","6","19","9.0","1.3","8.0"
"10","undefined","","Denver (DEN)","at BUF","5","21","10.8","2.6","8.0"
"11","undefined","","Oakland (OAK)","at NYJ","8","15","11.9","1.4","7.9"
"12","undefined","","San Francisco (SF)","vs. GB","9","18","12.0","1.9","7.7"
"13","undefined","","Jacksonville (JAC)","at TEN","8","19","13.1","2.2","7.6"
"14","undefined","","Tennessee (TEN)","vs. JAC","7","28","13.9","3.7","7.6"
"15","undefined","","Washington (WAS)","vs. DET","11","23","14.8","2.2","7.4"
"16","undefined","","New York (NYG)","at CHI","9","18","15.2","1.5","7.1"
"17","undefined","","Houston (HOU)","vs. IND","15","21","18.3","1.4","6.7"
"18","undefined","","New York (NYJ)","vs. OAK","10","26","19.7","3.0","6.6"
"19","undefined","","Los Angeles (LAR)","vs. BAL","12","24","19.9","2.5","6.6"
"20","undefined","","Seattle (SEA)","at PHI","10","24","20.3","2.2","6.6"
"21","undefined","","Green Bay (GB)","at SF","13","25","20.6","3.0","6.5"
"22","undefined","","Indianapolis (IND)","at HOU","15","25","20.4","2.1","6.5"
"23","undefined","","Philadelphia (PHI)","vs. SEA","15","26","21.9","2.0","6.1"
"24","undefined","","Miami (MIA)","at CLE","14","28","24.1","2.1","5.9"
"25","undefined","","Dallas (DAL)","at NE","8","28","24.7","2.0","5.9"
"26","undefined","","Cincinnati (CIN)","vs. PIT","14","28","25.5","2.3","5.9"
"27","undefined","","Carolina (CAR)","at NO","20","28","26.3","1.4","5.8"
"28","undefined","","Tampa Bay (TB)","at ATL","20","28","27.1","1.5","5.5"
""
""
