"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Travis Kelce","KC","vs. OAK","1","1","1.0","0.0","11.5"
"2","undefined","","George Kittle","SF","at BAL","2","4","2.9","0.8","9.7"
"3","undefined","","Hunter Henry","LAC","at DEN","2","5","3.3","0.6","8.8"
"4","undefined","","Zach Ertz","PHI ","at MIA","2","11","4.0","2.4","8.6"
"5","undefined","","Darren Waller","OAK","at KC","2","7","5.5","1.0","8.2"
"6","undefined","","Mark Andrews","BAL","vs. SF","4","9","6.0","1.3","7.7"
"7","undefined","","Jared Cook","NO","at ATL","4","11","6.4","1.5","6.3"
"8","undefined","","Greg Olsen","CAR","vs. WAS","6","12","8.0","0.7","6.3"
"9","undefined","","Dallas Goedert","PHI","at MIA","5","17","9.2","1.3","6.2"
"10","undefined","","Ryan Griffin","NYJ","at CIN","6","19","11.1","1.9","6.1"
"11","undefined","","Jack Doyle","IND","vs. TEN","6","17","11.1","2.1","5.8"
"12","undefined","","Noah Fant","DEN","vs. LAC","8","24","13.0","1.6","5.2"
"13","undefined","","Jacob Hollister","SEA","vs. MIN","10","16","13.6","1.5","5.1"
"14","undefined","","Kyle Rudolph","MIN","at SEA","11","21","13.8","1.5","5.0"
"15","undefined","","Tyler Higbee","LAR","at ARI","4","27","14.0","4.2","4.8"
"16","undefined","","Vance McDonald","PIT","vs. CLE","11","27","16.8","2.0","4.8"
"17","undefined","","Mike Gesicki","MIA","vs. PHI","11","22","17.4","1.5","4.6"
"18","undefined","","Jimmy Graham","GB","at NYG","13","24","18.3","2.3","4.6"
"19","undefined","","Darren Fells","HOU","vs. NE","16","29","20.7","3.9","4.3"
"20","undefined","","Jason Witten","DAL","vs. BUF","19","26","21.1","2.0","4.3"
"21","undefined","","Dawson Knox","BUF","at DAL","12","26","21.8","2.0","4.3"
"22","undefined","","Jonnu Smith","TEN","at IND","14","29","21.4","4.4","4.2"
"23","undefined","","T.J. Hockenson","DET ","vs. CHI","17","28","22.5","2.6","4.2"
"24","undefined","","Tyler Eifert","CIN","vs. NYJ","18","29","24.3","1.9","4.2"
"25","undefined","","Irv Smith Jr.","MIN","at SEA","15","34","25.3","3.4","4.1"
"26","undefined","","Jaeden Graham","ATL","vs. NO","13","32","25.6","3.5","3.5"
"27","undefined","","Benjamin Watson","NE","at HOU","19","33","27.6","2.9","3.4"
"28","undefined","","O.J. Howard","TB","at JAC","22","32","27.9","1.9","3.4"
"29","undefined","","Cameron Brate","TB","at JAC","22","36","29.3","4.2","3.3"
"30","undefined","","Kaden Smith","NYG","vs. GB","14","38","26.3","6.4","3.2"
"31","undefined","","Jordan Akins","HOU","vs. NE","30","37","32.4","2.1","3.3"
"32","undefined","","Jeremy Sprinkle","WAS","at CAR","30","38","33.2","2.2","3.0"
"33","undefined","","Blake Jarwin","DAL","vs. BUF","28","39","33.1","2.6","3.0"
"34","undefined","","Nick Boyle","BAL ","vs. SF","29","39","34.1","1.8","2.7"
"35","undefined","","Nick O'Leary","JAC","vs. TB","24","58","34.2","7.8","2.7"
"36","undefined","","Mo Alie-Cox","IND ","vs. TEN","30","42","34.6","3.8","2.6"
"37","undefined","","Foster Moreau","OAK","at KC","21","41","37.3","2.2","2.6"
"38","undefined","","Hayden Hurst","BAL","vs. SF","31","43","37.6","2.4","2.6"
"39","undefined","","C.J. Uzomah","CIN","vs. NYJ","37","48","42.5","2.9","2.5"
"40","undefined","","Anthony Firkser","TEN","at IND","38","50","42.9","4.0","2.6"
"41","undefined","","Demetrius Harris","CLE","at PIT","29","44","39.9","2.5","2.4"
"42","undefined","","Maxx Williams","ARI","vs. LAR","37","53","45.8","4.2","2.6"
"43","undefined","","Charles Clay","ARI","vs. LAR","40","49","45.7","2.4","2.5"
"44","undefined","","J.P. Holtz","CHI","at DET","30","54","40.7","8.7","2.3"
"45","undefined","","Josh Hill","NO","at ATL","39","46","42.8","1.8","2.1"
"46","undefined","","Hale Hentges","WAS","at CAR","38","52","43.7","4.6","2.1"
"47","undefined","","Logan Thomas","DET","vs. CHI","43","53","47.7","3.1","1.9"
"48","undefined","","Ross Dwelley","SF","at BAL","29","65","50.3","8.2","2.3"
"49","undefined","","David Njoku","CLE","at PIT","15","31","22.7","6.5","1.8"
"50","undefined","","Matt LaCosse","NE","at HOU","42","49","46.6","2.1","2.0"
"51","undefined","","Scott Simonson","NYG","vs. GB","40","73","55.5","10.8","1.6"
"52","undefined","","Nick Vannett","PIT","vs. CLE","43","56","51.8","4.1","1.7"
"53","undefined","","Ben Koyack","JAC","vs. TB","46","58","51.8","3.9","1.7"
"54","undefined","","Virgil Green","LAC","at DEN","52","66","57.2","4.8","1.6"
