"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","29.2","18.9","226.9","1.4","0.6","11.0","63.3","0.6","0.2","23.2"
"","high","32.8","21.6","253.0","1.7","0.0","14.0","86.5","1.0","0.1","27.5"
"","low","23.5","15.0","190.0","1.0","0.9","8.4","48.2","0.4","0.3","22.3"
"Patrick Mahomes","KC","37.4","25.4","325.4","2.2","0.4","2.4","10.4","0.1","0.2","22.4"
"","high","39.2","26.0","350.8","3.0","0.0","3.9","13.0","0.2","0.2","29.1"
"","low","35.4","23.4","311.0","1.9","0.7","1.6","7.7","0.0","0.2","20.9"
"Dak Prescott","DAL","34.6","23.7","295.7","1.8","0.8","3.7","20.9","0.3","0.2","20.7"
"","high","37.0","26.0","327.0","2.0","0.6","4.3","29.0","0.5","0.1","24.7"
"","low","32.6","21.9","257.6","1.6","1.0","3.0","17.2","0.0","0.2","20.6"
"Deshaun Watson","HOU","33.6","22.9","262.5","1.7","0.6","5.6","30.0","0.2","0.2","20.0"
"","high","36.0","24.9","289.1","2.0","0.0","6.0","40.1","0.3","0.2","24.4"
"","low","31.0","21.2","250.0","1.4","1.1","4.4","25.9","0.0","0.3","17.8"
"Drew Brees","NO","37.2","27.7","294.7","2.0","0.5","0.8","1.2","0.0","0.1","19.2"
"","high","38.6","32.0","315.0","2.1","0.0","1.4","2.4","0.1","0.0","23.8"
"","low","35.3","26.0","277.0","1.9","0.7","0.0","0.0","0.0","0.1","18.3"
"Josh Allen","BUF","32.0","19.1","230.2","1.4","1.0","6.9","36.0","0.4","0.3","18.7"
"","high","34.0","22.0","270.0","2.0","0.8","7.9","43.9","0.7","0.2","22.1"
"","low","30.8","17.6","213.0","1.0","1.1","5.9","31.0","0.0","0.3","18.8"
"Matt Ryan","ATL","38.9","26.8","301.2","1.8","0.8","1.7","6.3","0.0","0.2","17.9"
"","high","46.0","32.0","361.0","2.0","0.7","2.5","9.8","0.1","0.2","22.2"
"","low","35.0","23.7","277.0","1.7","1.0","1.0","3.0","0.0","0.3","18.2"
"Derek Carr","OAK","33.7","23.6","260.3","2.0","0.4","1.3","3.8","0.0","0.3","17.6"
"","high","37.0","24.7","298.0","2.1","0.0","2.1","7.1","0.1","0.2","21.0"
"","low","29.0","22.0","224.0","1.9","0.7","0.0","0.0","0.0","0.3","17.0"
