"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jamaal Williams","GB","9.1","36.1","0.2","2.8","21.5","0.2","0.1","8.9"
"","high","11.5","44.5","0.3","3.3","24.5","0.3","0.0","10.5"
"","low","7.2","29.6","0.0","2.2","18.0","0.0","0.1","7.3"
"Kenyan Drake","ARI","9.1","39.1","0.1","3.1","24.0","0.1","0.1","8.8"
"","high","11.0","46.4","0.2","3.9","29.0","0.1","0.1","10.2"
"","low","7.0","28.7","0.0","2.7","20.1","0.0","0.1","7.6"
"LeSean McCoy","KC","11.4","46.6","0.2","2.4","18.1","0.1","0.1","8.8"
"","high","15.1","60.1","0.3","3.2","26.0","0.1","0.1","9.1"
"","low","9.9","38.0","0.0","1.8","12.0","0.0","0.1","7.8"
"Carlos Hyde","HOU","14.8","60.6","0.3","1.2","6.3","0.0","0.1","8.6"
"","high","15.8","64.9","0.4","2.9","11.5","0.1","0.1","10.0"
"","low","13.0","53.0","0.0","0.0","0.0","0.0","0.2","6.4"
"Miles Sanders","PHI","8.6","36.6","0.1","2.7","24.0","0.1","0.1","8.5"
"","high","11.3","54.6","0.2","4.0","34.0","0.1","0.1","11.4"
"","low","6.0","25.0","0.0","1.8","16.0","0.0","0.1","6.7"
"Devin Singletary","BUF","7.2","31.8","0.2","2.8","23.2","0.1","0.1","8.2"
"","high","9.0","39.4","0.3","4.1","35.1","0.2","0.1","9.6"
"","low","4.9","21.0","0.0","2.1","16.6","0.0","0.1","6.6"
"Tarik Cohen","CHI","4.6","17.6","0.1","4.0","31.9","0.1","0.1","7.7"
"","high","7.5","24.8","0.1","5.2","40.0","0.2","0.1","8.5"
"","low","2.0","10.0","0.0","3.0","24.6","0.0","0.1","5.5"
"Jaylen Samuels","PIT","7.8","32.4","0.1","2.7","19.8","0.1","0.1","7.6"
"","high","10.6","43.9","0.3","4.0","33.5","0.1","0.0","8.8"
"","low","5.4","24.0","0.0","1.3","9.8","0.0","0.1","5.6"
"Duke Johnson","HOU","4.8","22.5","0.1","3.1","29.0","0.1","0.1","7.6"
"","high","6.2","33.4","0.1","3.9","38.5","0.2","0.1","9.0"
"","low","3.5","14.0","0.0","2.3","22.9","0.0","0.1","6.0"
"Damien Williams","KC","7.0","26.0","0.2","2.3","18.8","0.1","0.1","7.3"
"","high","7.7","31.0","0.4","3.0","23.0","0.3","0.1","7.9"
"","low","6.0","21.2","0.0","1.8","14.5","0.0","0.1","6.0"
"Ronald Jones II","TB","10.4","41.3","0.2","1.3","12.5","0.0","0.1","7.3"
"","high","12.4","48.1","0.3","2.0","16.0","0.1","0.0","8.5"
"","low","9.3","38.0","0.0","0.8","9.0","0.0","0.1","6.1"
"Peyton Barber","TB","10.5","39.3","0.2","1.5","9.5","0.0","0.1","6.8"
"","high","13.4","47.4","0.3","2.2","15.0","0.1","0.1","7.3"
"","low","9.3","35.0","0.0","0.8","4.2","0.0","0.1","6.1"
"Ty Johnson","DET","8.8","35.9","0.1","1.9","14.4","0.0","0.1","6.6"
"","high","11.0","50.1","0.2","2.6","17.0","0.1","0.1","7.1"
"","low","7.5","28.8","0.0","1.4","10.9","0.0","0.1","6.1"
"Tra Carson","DET","9.3","35.8","0.1","1.5","11.2","0.0","0.1","6.4"
"","high","10.9","50.0","0.3","2.6","20.4","0.1","0.1","7.8"
"","low","7.0","24.7","0.0","0.0","0.0","0.0","0.1","3.5"
"Matt Breida","SF","8.0","38.4","0.1","1.2","9.1","0.1","0.1","6.2"
"","high","11.0","51.7","0.3","2.3","15.9","0.1","0.0","8.7"
"","low","4.0","20.0","0.0","0.0","0.0","0.0","0.1","2.6"
"Rex Burkhead","NE","4.6","17.7","0.1","2.1","16.9","0.1","0.1","5.3"
"","high","7.3","28.2","0.2","2.4","20.1","0.1","0.0","6.8"
"","low","2.7","11.0","0.0","1.7","14.0","0.0","0.1","3.6"
"Alexander Mattison","MIN","8.4","34.6","0.1","0.9","5.3","0.0","0.1","5.1"
"","high","12.3","46.0","0.2","2.8","14.3","0.0","0.0","6.0"
"","low","6.0","23.0","0.0","0.0","0.0","0.0","0.1","3.9"
"Nyheim Hines","IND","3.2","11.5","0.0","2.9","20.9","0.0","0.0","5.0"
"","high","5.4","18.1","0.1","3.9","27.9","0.1","0.0","5.6"
"","low","2.0","7.0","0.0","2.3","16.1","0.0","0.1","3.9"
