"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Justin Jackson","LAC","3.7","14.1","0.0","1.0","4.2","0.0","0.0","1.8"
"Wayne Gallman","NYG","2.5","9.7","0.0","1.0","5.1","0.0","0.0","1.7"
"Dwayne Washington","NO","3.4","11.3","0.0","0.5","1.7","0.0","0.0","1.6"
"Boston Scott","PHI","3.0","11.1","0.0","0.7","3.4","0.0","0.0","1.6"
"Tra Carson","DET","2.3","8.0","0.1","0.5","3.4","0.0","0.0","1.6"
"Kerrith Whyte","CHI","1.8","7.0","0.1","0.3","2.2","0.0","0.0","1.5"
"Darren Sproles","PHI","1.1","5.1","0.0","0.7","5.6","0.0","0.0","1.5"
"Reggie Bonnafon","CAR","2.6","10.2","0.0","0.4","2.6","0.0","0.0","1.4"
"John Kelly","LAR","2.8","10.0","0.0","0.4","1.2","0.0","0.0","1.4"
"CJ Ham","MIN","0.7","3.2","0.0","1.0","6.4","0.1","0.0","1.3"
"Zach Zenner","ARI","2.5","8.6","0.0","1.0","4.2","0.0","0.0","1.3"
"Kenjon Barner","ATL","2.2","7.7","0.0","0.6","2.5","0.0","0.0","1.2"
"Roosevelt Nix","PIT","0.3","1.1","0.1","0.4","2.9","0.1","0.0","1.1"
"Qadree Ollison","ATL","1.8","6.1","0.1","0.5","1.5","0.0","0.0","1.0"
"Zach Line","NO","0.8","3.4","0.0","0.7","4.3","0.0","0.0","1.0"
"Dan Vitale","GB","0.7","2.2","0.0","0.8","6.8","0.0","0.0","0.9"
"Andy Janovich","DEN","0.4","1.6","0.0","0.8","5.6","0.0","0.0","0.9"
"Ameer Abdullah","MIN","1.8","6.4","0.0","0.5","2.4","0.0","0.0","0.9"
"Patrick DiMarco","BUF","0.8","2.3","0.0","0.8","5.3","0.0","0.0","0.8"
"Travis Homer","SEA","1.2","4.4","0.0","0.3","1.6","0.0","0.0","0.8"
"Alex Armah","CAR","0.9","3.4","0.0","0.5","1.7","0.0","0.0","0.7"
"Alfred Morris","ARI","2.2","6.0","0.0","0.4","0.6","0.0","0.0","0.7"
"Bilal Powell","NYJ","1.2","4.8","0.0","0.6","2.1","0.0","0.0","0.7"
"Mike Davis","CHI","1.6","4.7","0.0","0.5","2.0","0.0","0.0","0.7"
"Dalyn Dawkins","TEN","1.4","5.9","0.0","0.1","0.5","0.0","0.0","0.7"
"Elijhaa Penny","NYG","1.2","4.4","0.0","0.3","2.1","0.0","0.0","0.6"
"Paul Perkins","DET","1.3","3.9","0.0","0.7","1.8","0.0","0.0","0.6"
"D'Ernest Johnson","CLE","0.8","3.2","0.0","0.4","3.0","0.0","0.0","0.6"
"Trayveon Williams","CIN","1.3","4.1","0.0","0.5","2.3","0.0","0.0","0.6"
"Anthony Sherman","KC","0.8","2.4","0.0","0.4","3.2","0.0","0.0","0.6"
"Craig Reynolds","WAS","1.1","3.3","0.0","0.6","2.9","0.0","0.0","0.6"
"D.J. Foster","ARI","0.8","2.6","0.0","0.5","2.7","0.0","0.0","0.6"
"Devontae Booker","DEN","1.0","4.2","0.0","0.3","1.7","0.0","0.0","0.6"
"Jonathan Hilliman","NYG","1.6","4.6","0.0","0.6","1.4","0.0","0.0","0.6"
"Damien Harris","NE","1.3","4.8","0.0","0.2","0.9","0.0","0.0","0.6"
"Derek Watt","LAC","1.0","3.3","0.0","0.5","1.9","0.0","0.0","0.5"
"Mike Boone","MIN","0.9","4.5","0.0","0.2","0.8","0.0","0.0","0.5"
"Nick Bawden","DET","0.6","1.8","0.0","0.6","3.7","0.0","0.0","0.5"
"T.J. Yeldon","BUF","0.7","2.4","0.0","0.5","2.2","0.0","0.0","0.5"
"Troymaine Pope","LAC","0.8","2.4","0.0","0.4","1.9","0.0","0.0","0.4"
"Trey Edmunds","PIT","1.1","3.4","0.0","0.2","0.4","0.0","0.0","0.4"
"T.J. Logan","TB","0.7","2.2","0.0","0.2","1.5","0.0","0.0","0.4"
"Keith Smith","ATL","0.4","1.3","0.0","0.2","1.6","0.0","0.0","0.3"
"Tyler Ervin","JAC","0.6","1.7","0.0","0.4","1.8","0.0","0.0","0.3"
"Javorius Allen","NYG","0.7","2.2","0.0","0.3","1.0","0.0","0.0","0.3"
"Nick Bellore","SEA","0.1","0.6","0.0","0.2","2.0","0.0","0.0","0.3"
"Buddy Howell","HOU","0.5","1.9","0.0","0.1","0.7","0.0","0.0","0.3"
"Myles Gaskin","MIA","0.5","1.8","0.0","0.1","1.0","0.0","0.0","0.3"
"Alec Ingold","OAK","0.3","1.4","0.0","0.2","1.0","0.0","0.0","0.3"
"Darwin Thompson","KC","0.6","1.8","0.0","0.3","0.8","0.0","0.0","0.3"
"Jonathan Williams","IND","0.6","2.0","0.0","0.0","0.3","0.0","0.0","0.3"
"Dexter Williams","GB","0.5","1.8","0.0","0.2","0.4","0.0","0.0","0.2"
"Jordan Scarlett","CAR","0.7","2.0","0.0","0.2","0.6","0.0","0.0","0.2"
"Michael Burton","WAS","0.4","1.5","0.0","0.2","0.8","0.0","0.0","0.2"
"Rod Smith","TEN","0.1","0.5","0.0","0.1","1.2","0.0","0.0","0.2"
"Taiwan Jones","HOU","0.2","0.7","0.0","0.2","1.3","0.0","0.0","0.2"
"Chandler Cox","MIA","0.0","0.0","0.0","0.2","2.0","0.0","0.0","0.2"
"Cullen Gillaspia","HOU","0.3","1.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Patrick Laird","MIA","0.2","1.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Trenton Cannon","NYJ","0.3","1.0","0.0","0.2","1.2","0.0","0.0","0.2"
"Senorise Perry","BUF","0.3","1.1","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
