"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"74","undefined","","Tyler Conklin","MIN","vs. TEN","60","82","71.6","7.5","0.4"
"75","undefined","","Darrell Daniels","ARI","vs. DET","54","72","63.3","7.4","0.4"
"76","undefined","","Jaeden Graham","ATL","vs. CHI","56","81","70.8","9.1","0.1"
"77","undefined","","Jake Butt","DEN","vs. TB","59","82","71.3","8.9","0.4"
"78","undefined","","Jeremy Sprinkle","WAS","at CLE","57","85","71.5","9.9","0.1"
"79","undefined","","Stephen Carlson","CLE","vs. WAS","62","80","73.3","8.1","0.1"
"80","undefined","","Durham Smythe","MIA","at JAC","65","83","74.7","7.4","0.4"
"81","undefined","","Levine Toilolo","NYG","vs. SF","67","84","74.7","7.0","0.1"
"82","undefined","","Jordan Thomas","ARI","vs. DET","72","77","75.0","2.2","0.1"
"83","undefined","","Daniel Brown","NYJ","at IND","68","75","71.5","3.5","0.1"
"84","undefined","","Albert Okwuegbunam","DEN","vs. TB","69","76","72.5","3.5","0.1"
"85","undefined","","Sean McKeon","DAL","at SEA","74","81","77.7","2.9","0.1"
"86","undefined","","Mason Schreck","CIN","at PHI","70","80","75.0","5.0","0.1"
"87","undefined","","Lee Smith","BUF","vs. LAR","66","87","76.5","10.5","0.2"
"88","undefined","","Johnny Mundt","LAR","at BUF","80","86","83.3","2.5","0.1"
"89","undefined","","Luke Willson","SEA","vs. DAL","82","83","82.5","0.5","0.1"
"90","undefined","","Andrew Beck","DEN","vs. TB","83","85","84.0","1.0","0.1"
""
""
