"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Tyreek Hill","KC","at LAC","1","4","1.3","0.7","15.7"
"2","undefined","","Michael Thomas","NO","at TB","1","3","2.4","0.6","13.9"
"3","undefined","","Mike Evans","TB","vs. NO","1","7","3.9","1.0","11.9"
"4","undefined","","DeAndre Hopkins","HOU","at BAL","1","8","4.0","1.7","13.4"
"5","undefined","","Julio Jones","ATL","at CAR","3","7","4.3","1.1","11.8"
"6","undefined","","Chris Godwin","TB","vs. NO","3","10","6.4","1.0","11.7"
"7","undefined","","Amari Cooper","DAL","at DET","1","11","6.7","1.6","11.6"
"8","undefined","","Cooper Kupp","LAR","vs. CHI","4","17","7.8","1.1","10.6"
"9","undefined","","Julian Edelman","NE","at PHI","8","11","9.2","1.0","10.6"
"10","undefined","","D.J. Moore","CAR","vs. ATL","7","15","10.2","1.1","10.2"
"11","undefined","","Keenan Allen","LAC","vs. KC","6","16","11.1","1.5","10.1"
"12","undefined","","John Brown","BUF","at MIA","10","19","11.8","1.3","9.9"
"13","undefined","","Odell Beckham Jr.","CLE","vs. PIT","11","24","13.8","2.3","9.8"
"14","undefined","","Michael Gallup","DAL","at DET","12","24","16.0","2.1","9.5"
"15","undefined","","D.J. Chark","JAC","at IND","10","29","16.0","3.5","9.5"
"16","undefined","","Stefon Diggs","MIN","vs. DEN","6","22","16.6","2.0","9.4"
"17","undefined","","Kenny Golladay","DET","vs. DAL","13","53","17.6","2.1","9.2"
"18","undefined","","Courtland Sutton","DEN","at MIN","12","25","17.7","3.0","9.3"
"19","undefined","","Allen Robinson","CHI","at LAR","13","38","20.1","2.8","9.0"
"20","undefined","","Curtis Samuel","CAR","vs. ATL","14","24","20.3","1.8","8.9"
"21","undefined","","Marquise Brown","BAL ","vs. HOU","11","30","22.2","3.4","8.8"
"22","undefined","","Tyrell Williams","OAK","vs. CIN","10","38","24.4","3.2","8.8"
"23","undefined","","Terry McLaurin","WAS","vs. NYJ","18","34","24.5","2.7","8.7"
"24","undefined","","Emmanuel Sanders","SF ","vs. ARI","13","39","21.2","6.3","8.7"
"25","undefined","","JuJu Smith-Schuster","PIT","at CLE","14","46","25.5","3.7","8.6"
"26","undefined","","Robert Woods","LAR","vs. CHI","17","34","27.7","3.4","8.5"
"27","undefined","","Calvin Ridley","ATL","at CAR","19","37","27.8","4.4","8.4"
"28","undefined","","Christian Kirk","ARI","at SF","17","50","28.6","2.9","8.4"
"29","undefined","","Mike Williams","LAC","vs. KC","20","36","28.8","3.3","8.2"
"30","undefined","","Jarvis Landry","CLE","vs. PIT","21","35","28.8","3.6","8.3"
"31","undefined","","Mohamed Sanu","NE","at PHI","21","40","29.1","2.9","8.2"
"32","undefined","","Jamison Crowder","NYJ","at WAS","26","42","31.1","2.7","7.9"
"33","undefined","","Sammy Watkins","KC","at LAC","18","41","31.2","3.0","8.2"
"34","undefined","","Tyler Boyd","CIN","at OAK","19","37","31.2","4.7","8.1"
"35","undefined","","Marvin Jones","DET","vs. DAL","17","52","33.4","2.9","7.8"
"36","undefined","","Deebo Samuel","SF","vs. ARI","21","47","38.0","3.0","7.8"
"37","undefined","","Zach Pascal","IND","vs. JAC","30","42","38.4","1.5","7.7"
"38","undefined","","Dede Westbrook","JAC","at IND","31","51","38.5","3.2","7.5"
"39","undefined","","Devante Parker","MIA","vs. BUF","30","47","38.8","2.2","7.5"
"40","undefined","","Robby Anderson","NYJ","at WAS","36","51","40.3","3.3","7.3"
"41","undefined","","Kenny Stills","HOU","at BAL","32","60","42.5","5.2","7.2"
"42","undefined","","Auden Tate","CIN","at OAK","38","52","42.9","2.5","7.2"
"43","undefined","","Phillip Dorsett","NE","at PHI","40","55","46.1","4.5","7.1"
"44","undefined","","Larry Fitzgerald","ARI","at SF","41","60","46.3","2.6","7.0"
"45","undefined","","Josh Reynolds","LAR","vs. CHI","35","87","47.4","8.6","6.9"
"46","undefined","","Ted Ginn","NO","at TB","43","61","48.3","4.5","6.8"
