"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Tyreek Hill","KC","at TEN","1","7","1.8","1.3","15.2"
"2","undefined","","Michael Thomas","NO","vs. ATL","1","3","2.5","0.6","12.7"
"3","undefined","","Chris Godwin","TB","vs. ARI","1","6","2.6","1.1","11.5"
"4","undefined","","Mike Evans","TB","vs. ARI","1","13","3.8","1.6","11.4"
"5","undefined","","Cooper Kupp","LAR","at PIT","1","9","5.1","0.9","11.2"
"6","undefined","","Julio Jones","ATL","at NO","3","8","5.7","1.0","11.2"
"7","undefined","","Amari Cooper","DAL","vs. MIN","3","16","8.0","1.6","11.1"
"8","undefined","","Davante Adams","GB","vs. CAR","5","16","8.3","1.4","10.9"
"9","undefined","","Tyler Lockett","SEA","at SF","4","11","8.9","1.1","10.8"
"10","undefined","","Kenny Golladay","DET","at CHI","5","17","10.0","2.1","10.8"
"11","undefined","","Keenan Allen","LAC","at OAK","7","14","10.6","1.4","10.7"
"12","undefined","","Stefon Diggs","MIN","at DAL","8","16","13.1","2.5","10.7"
"13","undefined","","Allen Robinson","CHI","vs. DET","9","15","13.1","1.0","10.4"
"14","undefined","","Marvin Jones","DET","at CHI","11","33","15.4","4.1","10.3"
"15","undefined","","Odell Beckham Jr.","CLE","vs. BUF","13","20","15.4","1.6","9.9"
"16","undefined","","John Brown","BUF","at CLE","11","29","15.6","2.5","9.7"
"17","undefined","","Mike Williams","LAC","at OAK","11","28","16.6","3.3","9.2"
"18","undefined","","Emmanuel Sanders","SF","vs. SEA","11","26","18.0","1.7","9.2"
"19","undefined","","JuJu Smith-Schuster","PIT","vs. LAR","17","40","20.1","3.0","9.1"
"20","undefined","","Michael Gallup","DAL","vs. MIN","15","26","20.8","1.8","8.8"
"21","undefined","","D.J. Moore","CAR","at GB","17","34","21.3","2.1","8.7"
"22","undefined","","Christian Kirk","ARI","at TB","15","43","21.5","2.9","8.7"
"23","undefined","","Calvin Ridley","ATL","at NO","16","32","23.4","2.3","8.4"
