"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Baltimore (BAL)","at CIN","1","2","1.1","0.3","9.0"
"2","undefined","","Indianapolis (IND)","vs. MIA","1","4","2.1","0.6","8.8"
"3","undefined","","New Orleans (NO)","vs. ATL","2","5","3.4","0.5","8.8"
"4","undefined","","Buffalo (BUF)","at CLE","1","10","4.2","1.6","8.6"
"5","undefined","","San Francisco (SF)","vs. SEA","2","10","5.6","1.4","8.4"
"6","undefined","","Los Angeles (LAR)","at PIT","3","17","6.6","1.5","8.0"
"7","undefined","","Chicago (CHI)","vs. DET","4","10","7.1","1.1","7.9"
"8","undefined","","Cleveland (CLE)","vs. BUF","6","11","7.8","1.1","7.8"
"9","undefined","","New York (NYG)","at NYJ","5","16","9.8","1.6","7.6"
"10","undefined","","Detroit (DET)","at CHI","7","17","11.8","2.1","7.6"
"11","undefined","","Pittsburgh (PIT)","vs. LAR","7","19","11.8","2.6","7.4"
"12","undefined","","Kansas City (KC)","at TEN","4","18","11.9","2.7","7.3"
"13","undefined","","Green Bay (GB)","vs. CAR","3","18","12.0","2.4","7.1"
"14","undefined","","Dallas (DAL)","vs. MIN","11","17","13.6","1.4","7.1"
"15","undefined","","New York (NYJ)","vs. NYG","9","20","15.4","1.8","7.0"
"16","undefined","","Los Angeles (LAC)","at OAK","8","22","15.8","2.9","7.0"
"17","undefined","","Tampa Bay (TB)","vs. ARI","11","20","17.2","2.0","7.0"
"18","undefined","","Minnesota (MIN)","at DAL","9","20","17.0","2.2","7.0"
"19","undefined","","Arizona (ARI)","at TB","9","20","17.6","1.7","6.9"
"20","undefined","","Carolina (CAR)","at GB","15","22","20.3","0.9","6.6"
"21","undefined","","Seattle (SEA)","at SF","15","23","20.7","1.1","6.3"
"22","undefined","","Tennessee (TEN)","vs. KC","15","24","22.0","0.9","6.2"
"23","undefined","","Oakland (OAK)","vs. LAC","21","24","23.2","0.7","6.2"
"24","undefined","","Miami (MIA)","at IND","21","25","23.5","0.9","6.2"
"25","undefined","","Atlanta (ATL)","at NO","25","26","25.4","0.5","6.2"
"26","undefined","","Cincinnati (CIN)","vs. BAL","24","26","25.7","0.5","6.1"
""
""
