"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Dallas Goedert","PHI","vs. SEA","1","3","1.1","0.3","7.6"
"2","undefined","","Jared Cook","NO","vs. MIN","1","7","1.9","0.3","7.0"
"3","undefined","","Jacob Hollister","SEA","at PHI","2","4","3.7","0.5","4.8"
"4","undefined","","Jonnu Smith","TEN","at NE","3","6","3.8","0.8","5.1"
"5","undefined","","Kyle Rudolph","MIN","at NO","4","8","5.4","0.7","4.3"
"6","undefined","","Dawson Knox","BUF","at HOU","3","9","7.1","1.3","3.7"
"7","undefined","","Irv Smith Jr.","MIN","at NO","5","9","7.2","1.0","4.1"
"8","undefined","","Darren Fells","HOU","vs. BUF","2","9","7.6","1.0","3.6"
"9","undefined","","Jordan Akins","HOU","vs. BUF","8","12","9.8","0.8","3.4"
"10","undefined","","Joshua Perkins","PHI","vs. SEA","5","15","10.9","2.2","3.3"
"11","undefined","","Benjamin Watson","NE","vs. TEN","7","14","11.4","1.3","2.9"
"12","undefined","","Zach Ertz","PHI","vs. SEA","3","21","9.8","4.1","2.6"
"13","undefined","","Matt LaCosse","NE","vs. TEN","12","15","13.2","0.9","2.4"
"14","undefined","","Josh Hill","NO","vs. MIN","10","14","12.9","1.2","1.9"
"15","undefined","","Tyler Kroft","BUF","at HOU","11","16","14.9","0.7","1.6"
"16","undefined","","Anthony Firkser","TEN","at NE","8","16","15.1","1.5","1.6"
"17","undefined","","Tyrone Swoopes","SEA","at PHI","15","18","16.5","1.5","1.4"
"18","undefined","","MyCole Pruitt","TEN","at NE","17","19","18.0","1.0","1.1"
"19","undefined","","Tyler Conklin","MIN","at NO","17","20","18.5","1.5","1.0"
"20","undefined","","Lee Smith","BUF","at HOU","18","19","18.5","0.5","0.9"
""
""
