"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.3","85.5","0.7","0.1","12.3"
"Mark Andrews","BAL","4.3","56.1","0.7","0.0","9.6"
"Austin Hooper","ATL","5.6","61.1","0.5","0.1","9.3"
"Zach Ertz","PHI","6.7","63.6","0.5","0.1","9.0"
"George Kittle","SF","4.9","61.0","0.5","0.0","8.9"
"Will Dissly","SEA","4.4","50.0","0.5","0.0","8.1"
"Greg Olsen","CAR","4.0","47.9","0.2","0.0","6.2"
"Jimmy Graham","GB","3.7","44.1","0.2","0.0","5.8"
"Vance McDonald","PIT","3.4","32.7","0.3","0.0","5.2"
"Delanie Walker","TEN","4.0","42.2","0.1","0.0","5.1"
"Gerald Everett","LAR","3.1","36.7","0.1","0.0","4.5"
"T.J. Hockenson","DET","3.1","35.8","0.2","0.0","4.4"
"Jason Witten","DAL","3.6","34.2","0.1","0.1","4.1"
"Jared Cook","NO","3.0","34.0","0.1","0.0","4.0"
"O.J. Howard","TB","2.6","34.8","0.1","0.1","3.9"
"Tyler Eifert","CIN","2.5","28.9","0.1","0.0","3.6"
"Jordan Akins","HOU","2.1","27.8","0.1","0.0","3.4"
"Hunter Henry","LAC","2.3","27.0","0.1","0.0","3.4"
"Ricky Seals-Jones","CLE","1.9","24.7","0.1","0.0","3.3"
"Noah Fant","DEN","2.8","28.0","0.1","0.0","3.3"
"Jeremy Sprinkle","WAS","2.6","26.2","0.1","0.0","3.2"
"Rhett Ellison","NYG","2.9","27.8","0.1","0.0","3.2"
"Hayden Hurst","BAL","2.2","25.5","0.1","0.0","3.1"
"Dallas Goedert","PHI","2.4","23.2","0.1","0.0","3.1"
"Darren Fells","HOU","1.8","20.9","0.2","0.0","3.1"
"Geoff Swaim","JAC","2.8","25.5","0.1","0.0","3.0"
"Tyler Higbee","LAR","2.1","22.8","0.1","0.0","3.0"
"Cameron Brate","TB","1.9","20.4","0.1","0.0","2.7"
"Marcedes Lewis","GB","1.7","20.0","0.1","0.0","2.6"
"Mike Gesicki","MIA","2.5","23.3","0.1","0.0","2.6"
"Matt LaCosse","NE","1.9","21.3","0.1","0.0","2.5"
"Ryan Izzo","NE","1.6","18.6","0.1","0.0","2.5"
"Ryan Griffin","NYJ","2.2","20.8","0.1","0.0","2.5"
"Nick Boyle","BAL","1.8","17.8","0.1","0.0","2.3"
"Jeff Heuerman","DEN","1.8","17.6","0.1","0.0","2.2"
"Kyle Rudolph","MIN","1.7","16.2","0.1","0.0","2.1"
"Blake Jarwin","DAL","1.5","16.6","0.1","0.0","2.0"
"Irv Smith Jr.","MIN","1.4","14.8","0.1","0.0","1.9"
"Jonnu Smith","TEN","1.4","15.0","0.1","0.0","1.9"
"C.J. Uzomah","CIN","1.4","16.4","0.0","0.0","1.9"
"Jesse James","DET","1.4","14.8","0.1","0.0","1.9"
"Josh Hill","NO","1.7","14.6","0.1","0.0","1.8"
"Luke Willson","SEA","1.3","13.5","0.1","0.0","1.8"
"Demetrius Harris","CLE","1.5","13.6","0.1","0.0","1.7"
"Maxx Williams","ARI","1.3","12.3","0.1","0.0","1.6"
"Nick Vannett","PIT","1.3","12.2","0.1","0.0","1.6"
"Charles Clay","ARI","1.2","12.4","0.1","0.0","1.6"
"Nick O'Leary","MIA","1.0","11.4","0.1","0.0","1.5"
"Logan Thomas","DET","1.2","11.2","0.1","0.0","1.4"
"Garrett Dickerson","NYG","1.1","11.5","0.0","0.0","1.3"
"Seth DeValve","JAC","1.0","10.9","0.0","0.0","1.2"
"Kaden Smith","NYG","1.1","11.8","0.0","0.0","1.2"
"Luke Stocker","ATL","1.0","9.2","0.0","0.0","1.1"
"Lance Kendricks","LAC","0.8","9.7","0.0","0.0","1.1"
"Levine Toilolo","SF","0.6","7.5","0.0","0.0","1.0"
"Virgil Green","LAC","0.8","8.2","0.0","0.0","1.0"
"Ross Dwelley","SF","0.7","7.5","0.0","0.0","0.9"
"Deon Yelder","KC","0.6","7.3","0.0","0.0","0.9"
"MyCole Pruitt","TEN","0.7","6.5","0.0","0.0","0.9"
"Jacob Hollister","SEA","0.8","8.7","0.0","0.0","0.9"
"Drew Sample","CIN","0.7","8.0","0.0","0.0","0.8"
"Ian Thomas","CAR","0.7","6.6","0.0","0.0","0.8"
"Durham Smythe","MIA","0.7","6.8","0.0","0.0","0.8"
"Blake Bell","KC","0.6","6.2","0.0","0.0","0.8"
"Zach Gentry","PIT","0.8","7.2","0.0","0.0","0.7"
"Logan Paulsen","HOU","0.4","4.9","0.0","0.0","0.7"
"Jerome Cunningham","WAS","0.8","6.9","0.0","0.0","0.7"
"Pharaoh Brown","CLE","0.6","6.6","0.0","0.0","0.7"
"Andrew Beck","DEN","0.6","5.9","0.0","0.0","0.6"
"Dalton Schultz","DAL","0.4","4.6","0.0","0.0","0.5"
"Anthony Firkser","TEN","0.5","5.2","0.0","0.0","0.5"
"Tyler Conklin","MIN","0.4","4.8","0.0","0.0","0.5"
"Darrell Daniels","ARI","0.3","3.4","0.0","0.0","0.5"
"Daniel Brown","NYJ","0.5","4.2","0.0","0.0","0.4"
"Ben Koyack","JAC","0.4","4.0","0.0","0.0","0.4"
"Trevon Wesco","NYJ","0.4","3.3","0.0","0.0","0.3"
"Chris Manhertz","CAR","0.3","3.0","0.0","0.0","0.3"
"Antony Auclair","TB","0.2","2.2","0.0","0.0","0.2"
"Jaeden Graham","ATL","0.1","2.0","0.0","0.0","0.2"
"David Morgan","MIN","0.1","0.8","0.0","0.0","0.1"
"Cethan Carter","CIN","0.1","0.8","0.0","0.0","0.1"
"Troy Fumagalli","DEN","0.1","0.5","0.0","0.0","0.0"
""
""
