"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Denver Broncos","","3.0","1.2","0.6","1.0","0.2","0.0","16.8","314.9","8.7"
"","high","3.6","1.7","0.8","1.0","0.2","0.1","19.3","297.0","11.7"
"","low","2.5","0.8","0.6","0.9","0.1","0.0","15.8","332.7","7.9"
"Pittsburgh Steelers","","3.1","1.0","0.7","1.3","0.2","0.1","16.2","293.2","8.7"
"","high","3.8","1.6","1.0","1.4","0.3","0.1","17.2","248.0","10.8"
"","low","2.6","0.7","0.5","1.1","0.0","0.1","13.7","338.3","7.0"
"Seattle Seahawks","","3.1","0.9","0.7","1.3","0.2","0.0","19.8","325.3","8.4"
"","high","3.5","1.2","1.0","1.4","0.2","0.0","21.3","306.0","9.3"
"","low","2.5","0.7","0.5","1.1","0.1","0.0","18.1","344.6","7.2"
"New England Patriots","","2.7","1.0","0.7","1.3","0.2","0.1","14.5","309.9","8.3"
"","high","3.2","1.5","0.8","1.3","0.3","0.1","15.5","293.0","9.7"
"","low","2.5","0.7","0.5","1.2","0.1","0.1","12.5","326.9","7.4"
"Kansas City Chiefs","","2.8","1.0","0.6","1.0","0.2","0.0","19.2","308.6","8.3"
"","high","3.3","1.3","0.7","1.0","0.2","0.1","20.0","308.0","9.6"
"","low","2.4","0.7","0.6","1.0","0.1","0.0","18.6","309.1","6.6"
"Baltimore Ravens","","2.5","1.1","0.6","1.0","0.2","0.0","18.4","334.1","7.9"
"","high","3.2","1.5","0.8","1.1","0.3","0.0","19.8","311.0","8.7"
"","low","1.9","0.9","0.5","0.9","0.1","0.0","16.6","357.2","7.0"
"Indianapolis Colts","","3.0","1.2","0.7","1.3","0.2","0.1","20.3","332.8","7.8"
"","high","3.4","1.6","1.0","1.4","0.2","0.1","20.9","332.0","10.8"
"","low","2.5","0.8","0.4","1.2","0.1","0.0","19.9","333.7","6.8"
"San Francisco 49ers","","2.5","0.9","0.7","1.3","0.1","0.1","18.6","346.5","7.7"
"","high","3.7","1.1","1.1","1.5","0.2","0.1","19.3","320.0","8.4"
"","low","1.5","0.8","0.5","1.1","0.1","0.0","17.7","373.0","6.6"
"Houston Texans","","2.8","1.2","0.7","1.1","0.2","0.0","22.6","392.5","7.6"
"","high","3.2","1.7","1.0","1.4","0.3","0.0","23.8","391.9","9.6"
"","low","2.4","0.8","0.5","0.8","0.1","0.0","19.5","393.0","6.3"
"Cincinnati Bengals","","3.2","1.1","0.6","0.6","0.2","0.0","21.4","327.2","7.5"
"","high","4.2","1.4","0.8","0.8","0.2","0.0","23.2","325.4","11.3"
"","low","2.5","0.8","0.3","0.5","0.0","0.0","18.8","329.0","6.3"
"Washington Redskins","","2.9","1.0","0.7","1.4","0.2","0.1","21.1","321.0","7.4"
"","high","3.2","1.2","1.0","1.4","0.2","0.1","22.0","318.0","8.6"
"","low","2.4","0.8","0.6","1.4","0.0","0.0","19.5","324.0","6.8"
"New York Giants","","3.2","1.0","0.6","0.8","0.2","0.0","21.1","280.8","7.3"
"","high","4.2","1.2","0.7","0.9","0.2","0.1","22.9","274.0","9.3"
"","low","2.7","0.7","0.5","0.7","0.1","0.0","20.3","287.6","7.0"
"Atlanta Falcons","","2.7","0.7","0.6","1.1","0.1","0.0","19.8","339.9","7.3"
"","high","3.1","0.9","0.8","1.2","0.2","0.0","20.5","336.8","8.5"
"","low","2.1","0.5","0.5","0.9","0.1","0.0","19.3","343.0","6.3"
"New York Jets","","2.2","0.9","0.6","1.0","0.1","0.0","19.2","292.4","7.1"
"","high","3.5","1.1","0.8","1.1","0.2","0.1","20.0","274.0","7.5"
"","low","1.3","0.7","0.5","0.9","0.0","0.0","17.1","310.7","6.3"
"Tampa Bay Buccaneers","","3.0","0.8","0.7","1.2","0.2","0.0","25.7","355.8","7.0"
"","high","3.6","1.1","1.0","1.4","0.2","0.0","26.8","336.0","8.3"
"","low","2.7","0.7","0.5","1.0","0.1","0.0","24.5","375.6","5.6"
"New Orleans Saints","","3.2","0.7","0.7","1.1","0.1","0.0","21.3","337.3","6.8"
"","high","3.4","1.0","0.8","1.1","0.2","0.0","23.0","318.0","7.9"
"","low","2.9","0.5","0.6","1.1","0.0","0.0","18.9","356.7","6.4"
"Los Angeles Chargers","","2.2","0.7","0.6","0.7","0.1","0.0","18.1","342.3","6.6"
"","high","3.1","0.9","0.8","0.9","0.2","0.1","18.8","330.0","7.7"
"","low","1.8","0.4","0.4","0.5","0.0","0.0","17.2","354.5","5.8"
"Miami Dolphins","","2.4","1.1","0.5","0.8","0.2","0.0","22.8","332.3","6.6"
"","high","2.8","1.3","0.7","0.9","0.2","0.0","23.5","331.7","8.2"
"","low","2.0","0.8","0.4","0.7","0.1","0.0","21.8","333.0","6.2"
"Minnesota Vikings","","2.8","0.5","0.5","0.8","0.1","0.0","19.4","334.3","6.5"
"","high","3.2","0.8","0.8","1.1","0.2","0.0","21.0","299.0","6.7"
"","low","2.4","0.3","0.3","0.5","0.0","0.0","17.7","369.7","5.9"
"Dallas Cowboys","","2.8","0.7","0.7","1.2","0.1","0.0","20.9","331.8","6.5"
"","high","3.3","1.0","1.2","1.6","0.2","0.0","22.0","331.5","8.9"
"","low","2.4","0.6","0.5","0.8","0.0","0.0","18.1","332.0","6.0"
"Los Angeles Rams","","2.7","0.8","0.7","1.1","0.1","0.0","24.5","363.0","6.5"
"","high","3.5","1.3","1.0","1.4","0.2","0.1","26.3","346.0","8.5"
"","low","2.1","0.5","0.5","0.8","0.1","0.0","20.6","380.0","5.0"
"Jacksonville Jaguars","","3.0","0.7","0.6","0.9","0.1","0.0","26.2","375.8","6.4"
"","high","3.3","0.9","0.8","1.2","0.2","0.0","28.0","362.5","7.9"
"","low","2.4","0.6","0.3","0.6","0.1","0.0","22.2","389.0","5.4"
"Arizona Cardinals","","3.0","0.6","0.6","1.0","0.1","0.0","28.0","372.8","6.1"
"","high","3.3","0.6","0.8","1.2","0.1","0.0","29.8","369.0","7.3"
"","low","2.6","0.5","0.5","0.8","0.0","0.0","25.0","376.6","4.7"
"Detroit Lions","","2.2","0.8","0.6","0.9","0.2","0.0","22.5","332.2","6.0"
"","high","3.0","1.0","0.6","0.9","0.2","0.1","23.8","325.0","7.1"
"","low","1.7","0.8","0.4","0.9","0.0","0.0","20.9","339.4","5.4"
"Oakland Raiders","","2.0","0.9","0.6","0.9","0.1","0.0","25.6","386.2","5.9"
"","high","2.5","1.3","0.7","0.9","0.2","0.0","28.1","368.4","6.7"
"","low","1.5","0.7","0.5","0.9","0.0","0.0","21.9","404.0","5.2"
"Philadelphia Eagles","","2.1","0.8","0.6","0.8","0.1","0.0","23.3","392.6","5.6"
"","high","2.9","0.9","0.7","0.9","0.2","0.0","24.5","382.0","6.6"
"","low","1.2","0.6","0.5","0.8","0.1","0.0","21.9","403.2","4.8"
"Green Bay Packers","","2.3","0.6","0.6","1.0","0.1","0.0","24.3","373.4","5.6"
