"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Julio Jones","ATL","6.5","94.1","0.6","0.2","1.4","0.0","0.1","13.2"
"Amari Cooper","DAL","6.6","91.7","0.7","0.2","1.2","0.0","0.1","13.2"
"DeAndre Hopkins","HOU","6.6","90.2","0.7","0.0","0.0","0.0","0.0","13.1"
"Cooper Kupp","LAR","6.5","79.9","0.7","0.4","2.1","0.0","0.1","12.6"
"Chris Godwin","TB","6.0","84.7","0.7","0.1","0.5","0.0","0.1","12.5"
"Keenan Allen","LAC","7.3","85.7","0.6","0.3","2.2","0.0","0.1","12.3"
"Julian Edelman","NE","6.8","80.2","0.6","0.5","4.1","0.0","0.1","11.9"
"Michael Thomas","NO","7.7","83.5","0.6","0.0","0.0","0.0","0.1","11.8"
"Adam Thielen","MIN","5.6","75.9","0.6","0.2","1.5","0.0","0.1","11.4"
"Mike Evans","TB","5.0","80.2","0.5","0.1","0.5","0.0","0.0","11.3"
"Tyler Lockett","SEA","5.4","72.6","0.6","0.6","3.4","0.0","0.1","10.9"
"Will Fuller","HOU","4.5","72.8","0.6","0.2","1.1","0.0","0.0","10.9"
"Larry Fitzgerald","ARI","6.5","73.1","0.6","0.1","0.5","0.0","0.1","10.8"
"Tyler Boyd","CIN","6.4","78.6","0.5","0.1","0.9","0.0","0.1","10.8"
"D.J. Chark","JAC","4.7","73.2","0.6","0.1","0.5","0.0","0.1","10.6"
"Josh Gordon","NE","4.6","72.5","0.5","0.1","0.3","0.0","0.0","10.4"
"Terry McLaurin","WAS","5.0","68.1","0.6","0.0","0.2","0.0","0.1","10.3"
"Robert Woods","LAR","5.5","69.0","0.5","0.8","5.8","0.0","0.1","10.2"
"Odell Beckham Jr.","CLE","6.0","77.9","0.4","0.2","1.4","0.0","0.1","10.0"
"Kenny Golladay","DET","4.5","68.4","0.5","0.0","0.5","0.0","0.0","10.0"
"D.J. Moore","CAR","5.5","70.4","0.5","0.5","5.6","0.0","0.2","10.0"
"Michael Gallup","DAL","4.6","71.4","0.5","0.0","0.0","0.0","0.1","9.9"
"Courtland Sutton","DEN","4.5","66.2","0.5","0.0","0.0","0.0","0.0","9.6"
"Curtis Samuel","CAR","4.8","58.7","0.4","0.8","6.9","0.1","0.0","9.4"
"Alshon Jeffery","PHI","5.3","59.2","0.5","0.1","0.7","0.0","0.0","9.1"
"Tyreek Hill","KC","4.0","64.2","0.3","0.8","5.0","0.1","0.0","9.0"
"Marquez Valdes-Scantling","GB","4.1","63.0","0.4","0.2","1.6","0.0","0.0","9.0"
"Calvin Ridley","ATL","4.6","63.9","0.4","0.3","1.5","0.0","0.1","8.7"
"Jarvis Landry","CLE","5.3","67.4","0.2","0.3","2.1","0.0","0.1","8.3"
"Brandin Cooks","LAR","4.0","61.3","0.3","0.6","3.9","0.0","0.0","8.2"
"Robby Anderson","NYJ","4.1","56.7","0.4","0.1","0.7","0.0","0.0","8.1"
"Mike Williams","LAC","3.5","53.0","0.4","0.1","0.5","0.0","0.0","8.0"
"JuJu Smith-Schuster","PIT","5.2","66.9","0.2","0.0","0.4","0.0","0.1","7.9"
"Demarcus Robinson","KC","3.4","48.7","0.5","0.0","0.0","0.0","0.0","7.8"
"Stefon Diggs","MIN","4.4","56.6","0.3","0.3","1.5","0.0","0.1","7.3"
"Mohamed Sanu","ATL","4.9","55.8","0.2","0.4","2.4","0.0","0.1","7.2"
"Emmanuel Sanders","DEN","5.0","59.9","0.2","0.1","0.8","0.0","0.0","7.2"
"Dede Westbrook","JAC","4.8","54.1","0.2","0.5","3.9","0.0","0.1","6.9"
"Marvin Jones","DET","3.5","54.6","0.2","0.1","0.4","0.0","0.0","6.9"
"Preston Williams","MIA","4.2","53.1","0.2","0.2","0.9","0.0","0.1","6.7"
"Auden Tate","CIN","4.2","54.0","0.2","0.0","0.3","0.0","0.1","6.6"
"D.K. Metcalf","SEA","3.6","51.0","0.2","0.0","0.2","0.0","0.0","6.5"
"Jamison Crowder","NYJ","5.2","53.9","0.2","0.3","1.7","0.0","0.1","6.4"
"Geronimo Allison","GB","3.5","49.0","0.3","0.2","1.2","0.0","0.1","6.4"
"Golden Tate","NYG","5.2","56.4","0.1","0.3","2.2","0.0","0.1","6.3"
"Mecole Hardman","KC","3.1","48.4","0.2","0.2","1.1","0.0","0.0","6.2"
"Devante Parker","MIA","3.8","54.1","0.1","0.0","0.0","0.0","0.0","6.2"
"Corey Davis","TEN","3.7","50.4","0.1","0.2","1.5","0.0","0.0","6.0"
"Willie Snead","BAL","3.6","48.2","0.2","0.1","0.4","0.0","0.0","5.9"
"Diontae Johnson","PIT","4.0","49.5","0.2","0.3","1.5","0.0","0.1","5.9"
"Deebo Samuel","SF","3.5","44.8","0.2","0.5","2.9","0.0","0.0","5.8"
"Nelson Agholor","PHI","4.1","45.1","0.2","0.2","1.2","0.0","0.1","5.6"
"Paul Richardson","WAS","3.6","42.3","0.2","0.1","0.7","0.0","0.0","5.5"
"Marquise Goodwin","SF","2.9","42.9","0.2","0.2","1.6","0.0","0.0","5.4"
"Christian Kirk","ARI","3.8","45.9","0.1","0.3","2.9","0.0","0.1","5.4"
"Darius Slayton","NYG","3.3","46.1","0.1","0.2","1.3","0.0","0.0","5.4"
"Chris Conley","JAC","3.2","43.4","0.1","0.0","0.3","0.0","0.0","5.1"
"KeeSean Johnson","ARI","3.8","41.5","0.1","0.1","0.5","0.0","0.0","5.0"
"Trey Quinn","WAS","3.8","39.9","0.2","0.2","1.1","0.0","0.1","4.9"
"Cody Latimer","NYG","3.2","43.8","0.1","0.2","1.4","0.0","0.0","4.9"
"A.J. Brown","TEN","2.9","39.4","0.1","0.2","0.9","0.0","0.0","4.8"
"Jakobi Meyers","NE","3.1","38.9","0.1","0.1","0.7","0.0","0.0","4.7"
"Adam Humphries","TEN","3.7","38.4","0.1","0.2","1.4","0.0","0.0","4.7"
"Keke Coutee","HOU","3.2","37.9","0.1","0.2","1.3","0.0","0.0","4.7"
"Ted Ginn","NO","2.8","37.2","0.1","0.3","2.0","0.0","0.0","4.6"
"Demaryius Thomas","NYJ","3.4","37.5","0.1","0.0","0.0","0.0","0.0","4.6"
"Danny Amendola","DET","3.4","38.5","0.1","0.1","0.3","0.0","0.0","4.4"
"Albert Wilson","MIA","2.7","31.2","0.2","0.6","2.9","0.0","0.0","4.4"
"Damion Willis","CIN","2.8","34.8","0.1","0.1","0.4","0.0","0.0","4.2"
"Antonio Callaway","CLE","2.5","33.7","0.1","0.1","0.2","0.0","0.0","4.1"
"Trent Sherfield","ARI","2.7","33.1","0.1","0.0","0.4","0.0","0.0","4.1"
"Byron Pringle","KC","2.4","33.6","0.1","0.1","0.3","0.0","0.0","4.0"
"Randall Cobb","DAL","2.9","31.5","0.1","0.4","2.2","0.0","0.0","4.0"
"Miles Boykin","BAL","2.4","30.0","0.1","0.1","0.5","0.0","0.0","3.9"
"Seth Roberts","BAL","2.5","30.5","0.1","0.0","0.1","0.0","0.0","3.8"
"Dante Pettis","SF","2.1","28.9","0.1","0.1","0.2","0.0","0.0","3.6"
"Jake Kumerow","GB","2.4","30.0","0.1","0.1","0.7","0.0","0.0","3.6"
"Damiere Byrd","ARI","2.7","27.1","0.1","0.0","0.5","0.0","0.0","3.4"
"Jarius Wright","CAR","2.5","27.6","0.1","0.1","0.8","0.0","0.0","3.3"
"Rashard Higgins","CLE","2.0","26.7","0.1","0.0","0.0","0.0","0.1","3.3"
"David Moore","SEA","1.7","25.5","0.1","0.0","0.1","0.0","0.0","3.3"
"Mack Hollins","PHI","2.3","27.4","0.1","0.1","0.5","0.0","0.0","3.3"
