"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Aaron Jones","GB","rb","11","SEA","17.1","27","0","0","0","0","0","0","15.3123","70.963","0.9164","4.007","3.0826","22.0513","0.1311","0.0825","0.0413","0.0036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Davante Adams","GB","wr","11","SEA","15.2","29","0","0","0","0","0","0","0","0","0","10.2397","6.731","79.8449","0.6457","0.0542","0.0271","0.0216","7.6131","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Tyreek Hill","KC","wr","12","HST","15.1","28","0","0","0","0","0","0","0.6431","4.2838","0.0274","7.904","5.4273","77.1688","0.6738","0.0095","0.0048","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Dalvin Cook","MIN","rb","12","@SF","15.1","30","0","0","0","0","0","0","15.7855","65.5456","0.4156","5.1444","4.1283","33.0645","0.144","0.2124","0.1062","0.0041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Travis Kelce","KC","te","12","HST","14.3","26","0","0","0","0","0","0","0","0","0","8.1911","5.913","75.7913","0.6367","0.0699","0.035","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Derrick Henry","TEN","rb","11","@BLT","13","37","0","0","0","0","0","0","17.2952","78.1603","0.5485","1.7364","1.3894","11.0912","0.0388","0.1755","0.0877","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","DeAndre Hopkins","HST","wr","10","@KC","12.7","31","0","0","0","0","0","0","0.18","1.0434","0.0035","9.3971","5.9487","73.2787","0.3875","0.0574","0.0287","0.0145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","George Kittle","SF","te","4","MIN","13.6","25","0","0","0","0","0","0","0","0","0","8.78","6.4254","76.5523","0.4625","0.0302","0.0151","0.0175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Damien Williams","KC","rb","12","HST","12.2","16","0","0","0","0","0","0","11.9941","49.6842","0.4458","3.7397","3.028","21.8286","0.1504","0.0862","0.0431","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Tyler Lockett","SEA","wr","11","@GB","11.6","21","0","0","0","0","0","0","0.5427","3.7584","0.0136","6.6953","4.6131","63.877","0.4088","0.0379","0.019","0.0192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Mark Andrews","BLT","te","8","TEN","12.5","22","0","0","0","0","0","0","0","0","0","7.277","4.9187","68.282","0.5343","0.0436","0.0218","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","A.J. Brown","TEN","wr","11","@BLT","11.2","18","0","0","0","0","0","0","0.1768","1.364","0.0047","7.1246","4.2798","64.6929","0.4046","0.0317","0.0158","0.0141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Deebo Samuel","SF","wr","4","MIN","10.8","19","0","0","0","0","0","0","1.1954","8.6321","0.0492","6.2524","4.4189","53.186","0.3629","0.0472","0.0236","0.0161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Lamar Jackson","BLT","qb","8","TEN","26.4","40","22.1231","33.1","243.2498","1.8767","0.6883","1.8232","11.8857","69.7652","0.6038","0","0","0","0","0.808","0.404","0.0399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Raheem Mostert","SF","rb","4","MIN","10.7","21","0","0","0","0","0","0","12.306","57.9371","0.5091","1.7526","1.339","9.3168","0.0554","0.1119","0.0559","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","D.K. Metcalf","SEA","wr","11","@GB","10.1","19","0","0","0","0","0","0","0.0888","0.5929","0.0022","7.1126","4.0353","57.6852","0.3753","0.0591","0.0295","0.0245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Adam Thielen","MIN","wr","12","@SF","9.8","20","0","0","0","0","0","0","0","0","0","6.9337","4.5499","56.538","0.3176","0.0475","0.0238","0.0156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Marquise Brown","BLT","wr","8","TEN","9.8","14","0","0","0","0","0","0","0","0","0","6.1534","4.26","50.1385","0.4348","0.0175","0.0087","0.009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Mark Ingram II","BLT","rb","8","TEN","9.8","23","0","0","0","0","0","0","10.8861","46.9091","0.4052","2.3115","1.8996","13.0195","0.0769","0.117","0.0585","0.0252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Emmanuel Sanders","SF","wr","4","MIN","9.7","19","0","0","0","0","0","0","0.1769","1.1697","0.0071","6.5765","4.4132","52.885","0.3302","0.0102","0.0051","0.0136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Stefon Diggs","MIN","wr","12","@SF","9.7","23","0","0","0","0","0","0","0.3531","2.2682","0.008","6.1935","4.2936","52.2189","0.3482","0.045","0.0225","0.0143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Will Fuller V","HST","wr","10","@KC","9.5","14","0","0","0","0","0","0","0","0","0","6.9571","4.4158","55.4856","0.2879","0.0279","0.0139","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Travis Homer","SEA","rb","11","@GB","8.9","14","0","0","0","0","0","0","8.8667","41.8562","0.1766","3.4049","2.6436","17.7423","0.098","0.0757","0.0379","0.0082","47.3568","0.0126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Sammy Watkins","KC","wr","12","HST","8.4","14","0","0","0","0","0","0","0.1889","1.2186","0.0072","5.2898","3.4916","42.5928","0.3657","0.0469","0.0234","0.0177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Marshawn Lynch","SEA","rb","11","@GB","8.3","16","0","0","0","0","0","0","11.0836","47.2456","0.3574","1.3517","1.0342","7.4225","0.0401","0.0455","0.0228","0.0041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Carlos Hyde","HST","rb","10","@KC","8.3","18","0","0","0","0","0","0","14.8052","59.0359","0.2883","0.8895","0.6595","3.881","0.0197","0.1864","0.0932","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Patrick Mahomes","KC","qb","12","HST","23.3","37","23.7451","36.0378","282.6844","2.3709","0.6642","1.4289","4.9181","17.7805","0.2826","0","0","0","0","0.4717","0.2359","0.0757","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Kenny Stills","HST","wr","10","@KC","7.5","10","0","0","0","0","0","0","0","0","0","4.8547","3.0373","44.9992","0.2545","0.0491","0.0245","0.0126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Allen Lazard","GB","wr","11","SEA","7.5","13","0","0","0","0","0","0","0.2884","1.9839","0.0098","4.8515","3.1846","41.713","0.2411","0.0153","0.0076","0.0085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Jamaal Williams","GB","rb","11","SEA","7.4","13","0","0","0","0","0","0","7.1192","27.7201","0.2642","2.6054","2.0654","15.1958","0.0874","0.0176","0.0088","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Tajae Sharpe","TEN","wr","11","@BLT","7","10","0","0","0","0","0","0","0","0","0","5.3672","3.0873","41.0903","0.2261","0.0124","0.0062","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Duke Johnson Jr.","HST","rb","10","@KC","6.2","15","0","0","0","0","0","0","3.6035","15.3109","0.0544","3.9058","2.9865","22.9674","0.0899","0.0367","0.0184","0.0141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Corey Davis","TEN","wr","11","@BLT","5.8","10","0","0","0","0","0","0","0","0","0","4.7901","2.8347","35.2666","0.1531","0.027","0.0135","0.0056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Jacob Hollister","SEA","te","11","@GB","6.9","14","0","0","0","0","0","0","0","0","0","5.2539","3.6422","34.8018","0.2702","0.0132","0.0066","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Jonnu Smith","TEN","te","11","@BLT","6.8","10","0","0","0","0","0","0","0.2489","1.9981","0.0062","4.7815","3.3373","36.3543","0.2131","0.0221","0.0111","0.0094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Seth Roberts","BLT","wr","8","TEN","5.1","10","0","0","0","0","0","0","0","0","0","3.2916","2.241","26.4195","0.2177","0.0145","0.0073","0.0039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","LeSean McCoy","KC","rb","12","HST","5","15","0","0","0","0","0","0","5.4064","22.7514","0.1545","1.4329","1.1642","9.1446","0.0557","0.0537","0.0268","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Tevin Coleman","SF","rb","4","MIN","5","13","0","0","0","0","0","0","6.0788","26.9109","0.1914","1.1058","0.8215","5.9646","0.034","0.0289","0.0145","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Kendrick Bourne","SF","wr","4","MIN","4.8","12","0","0","0","0","0","0","0","0","0","3.135","2.0835","25.6689","0.204","0.0137","0.0069","0.0077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","David Moore","SEA","wr","11","@GB","4.7","11","0","0","0","0","0","0","0.1119","0.7495","0.0028","3.1787","1.6575","27.5121","0.1661","0.0513","0.0257","0.0047","25.3134","0.0142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Demarcus Robinson","KC","wr","12","HST","4.5","11","0","0","0","0","0","0","0","0","0","2.6647","1.7716","23.0487","0.2156","0.0061","0.003","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Kyle Rudolph","MIN","te","12","@SF","5.7","13","0","0","0","0","0","0","0","0","0","3.6597","2.7396","27.1329","0.2676","0.0129","0.0065","0.0103","9.2002","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Alexander Mattison","MIN","rb","12","@SF","4.4","12","0","0","0","0","0","0","5.6504","23.4216","0.0791","1.5658","1.2379","8.1202","0.0381","0.0348","0.0174","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Matt Breida","SF","rb","4","MIN","4.3","11","0","0","0","0","0","0","4.2167","19.4204","0.0917","1.5212","1.2244","9.0558","0.0517","0.0352","0.0176","0.0013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Mecole Hardman","KC","wr","12","HST","4.1","12","0","0","0","0","0","0","0.1926","1.2509","0.0073","2.0044","1.354","20.2754","0.1734","0.0668","0.0334","0.0044","65.8914","0.0355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Deshaun Watson","HST","qb","10","@KC","19.5","36","21.4161","33.8869","245.2684","1.3777","0.9602","3.5044","7.8829","39.1625","0.2951","0","0","0","0","0.6774","0.3387","0.0726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Gus Edwards","BLT","rb","8","TEN","4","11","0","0","0","0","0","0","5.7748","24.8665","0.1402","0.549","0.446","3.1578","0.0182","0.035","0.0175","0.0091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Willie Snead IV","BLT","wr","8","TEN","3.9","10","0","0","0","0","0","0","0","0","0","2.656","1.8873","20.8068","0.1433","0.0062","0.0031","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
