"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Travis Kelce","KC","vs. HOU","1","3","1.1","0.4","12.0"
"2","undefined","","Austin Hooper","ATL","at ARI","1","6","2.6","1.0","9.4"
"3","undefined","","George Kittle","SF ","at LAR","1","6","3.3","1.2","9.2"
"4","undefined","","Mark Andrews","BAL","vs. CIN","2","6","4.4","0.8","9.1"
"5","undefined","","Zach Ertz","PHI","at MIN","2","6","4.6","1.6","8.9"
"6","undefined","","Will Dissly","SEA","at CLE","2","7","5.6","1.3","7.9"
"7","undefined","","Greg Olsen","CAR","at TB","4","11","6.5","1.0","6.4"
"8","undefined","","Jimmy Graham","GB","vs. DET","8","13","8.5","0.9","5.4"
"9","undefined","","Gerald Everett","LAR","vs. SF","7","14","9.4","1.3","5.3"
"10","undefined","","Delanie Walker","TEN","at DEN","8","16","10.8","1.3","5.0"
"11","undefined","","Jared Cook","NO","at JAC","7","23","11.1","2.0","4.3"
"12","undefined","","O.J. Howard","TB","vs. CAR","8","19","11.8","0.7","4.2"
"13","undefined","","Vance McDonald","PIT","at LAC","8","24","14.3","1.3","4.1"
"14","undefined","","T.J. Hockenson","DET ","at GB","11","21","14.9","2.2","4.0"
"15","undefined","","Jason Witten","DAL","at NYJ","10","21","15.3","1.8","3.9"
"16","undefined","","Noah Fant","DEN","vs. TEN","8","20","15.8","2.2","3.8"
"17","undefined","","Tyler Eifert","CIN","at BAL","14","25","18.2","2.1","3.6"
"18","undefined","","Jordan Akins","HOU","at KC","13","30","19.6","2.4","3.6"
"19","undefined","","Dallas Goedert","PHI","at MIN","13","26","20.1","2.6","3.5"
"20","undefined","","Kyle Rudolph","MIN","vs. PHI","15","31","23.1","2.9","3.3"
"21","undefined","","Jeremy Sprinkle","WAS","at MIA","12","52","23.9","6.1","3.3"
"22","undefined","","Geoff Swaim","JAC","vs. NO","17","44","23.0","5.1","3.1"
"23","undefined","","Hunter Henry","LAC ","vs. PIT","8","31","16.1","5.9","2.9"
"24","undefined","","Hayden Hurst","BAL","vs. CIN","16","35","25.2","3.9","3.0"
"25","undefined","","Tyler Higbee","LAR","vs. SF","19","32","25.4","2.8","3.1"
"26","undefined","","Darren Fells","HOU","at KC","17","31","26.0","3.5","3.0"
"27","undefined","","Ricky Seals-Jones","CLE","vs. SEA","16","35","25.2","4.2","2.9"
"28","undefined","","Cameron Brate","TB","vs. CAR","16","31","26.2","3.3","2.8"
"29","undefined","","Mike Gesicki","MIA","vs. WAS","19","45","29.8","4.0","2.7"
"30","undefined","","Rhett Ellison","NYG","at NE","16","38","28.5","5.0","2.4"
"31","undefined","","Matt LaCosse","NE","vs. NYG","21","41","30.2","4.6","2.4"
"32","undefined","","C.J. Uzomah","CIN","at BAL","23","41","33.2","2.7","2.4"
"33","undefined","","Irv Smith Jr.","MIN","vs. PHI","26","44","32.2","3.8","2.4"
"34","undefined","","Demetrius Harris","CLE","vs. SEA","23","40","33.5","4.6","2.0"
"35","undefined","","Blake Jarwin","DAL","at NYJ","29","42","35.0","2.9","2.3"
"36","undefined","","Ryan Izzo","NE","vs. NYG","26","40","35.2","2.4","1.9"
"37","undefined","","Marcedes Lewis","GB","vs. DET","28","48","35.6","4.2","1.9"
"38","undefined","","Josh Hill","NO","at JAC","31","43","36.6","3.6","1.8"
"39","undefined","","Ryan Griffin","NYJ","vs. DAL","26","49","40.8","4.1","1.8"
"40","undefined","","Jeff Heuerman","DEN","vs. TEN","30","42","38.2","3.5","1.7"
"41","undefined","","Jesse James","DET","at GB","31","48","41.5","3.0","1.7"
"42","undefined","","Jonnu Smith","TEN","at DEN","28","45","40.1","2.7","1.7"
"43","undefined","","Nick Boyle","BAL","vs. CIN","26","49","44.7","3.5","1.7"
"44","undefined","","Luke Willson","SEA","at CLE","38","55","45.9","3.9","1.7"
"45","undefined","","Maxx Williams","ARI","vs. ATL","34","53","48.7","3.4","1.7"
"46","undefined","","Logan Thomas","DET","at GB","40","57","47.6","5.0","1.6"
"47","undefined","","Pharaoh Brown","CLE","vs. SEA","36","61","46.5","6.1","1.6"
"48","undefined","","Virgil Green","LAC","vs. PIT","24","56","47.6","5.8","1.7"
"49","undefined","","Charles Clay","ARI","vs. ATL","47","59","52.2","2.5","1.4"
"50","undefined","","Nick O'Leary","MIA","vs. WAS","41","60","51.3","5.5","1.5"
"51","undefined","","Nick Vannett","PIT","at LAC","40","61","52.8","4.5","1.4"
"52","undefined","","Seth DeValve","JAC","vs. NO","25","64","52.6","8.3","1.4"
"53","undefined","","Ross Dwelley","SF","at LAR","33","62","53.1","5.4","1.4"
"54","undefined","","Deon Yelder","KC","vs. HOU","44","59","51.1","3.8","1.4"
"55","undefined","","Andrew Beck","DEN","vs. TEN","38","62","51.2","4.8","1.3"
"56","undefined","","Lance Kendricks","LAC","vs. PIT","43","62","54.3","4.6","1.4"
"57","undefined","","Drew Sample","CIN","at BAL","47","61","56.5","3.0","1.0"
"58","undefined","","Luke Stocker","ATL","at ARI","45","63","55.6","3.3","1.4"
"59","undefined","","Ian Thomas","CAR","at TB","49","63","56.6","3.6","1.0"
"60","undefined","","Durham Smythe","MIA","vs. WAS","34","64","58.2","4.9","1.0"
"61","undefined","","Garrett Dickerson","NYG","at NE","46","65","54.5","7.0","0.8"
"62","undefined","","Levine Toilolo","SF","at LAR","30","62","58.0","4.6","0.9"
"63","undefined","","Kaden Smith","NYG","at NE","44","63","56.8","5.0","0.8"
"64","undefined","","Jacob Hollister","SEA","at CLE","34","67","53.5","12.2","0.8"
"65","undefined","","Blake Bell","KC","vs. HOU","55","64","61.8","1.7","0.8"
"66","undefined","","MyCole Pruitt","TEN","at DEN","47","66","63.6","2.1","0.7"
"67","undefined","","Tyler Conklin","MIN","vs. PHI","43","68","60.8","10.3","0.6"
"68","undefined","","Jerome Cunningham","WAS","at MIA","56","67","64.0","2.4","0.7"
"69","undefined","","Daniel Brown","NYJ","vs. DAL","63","69","66.0","2.4","0.6"
""
""
