"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","San Francisco (SF)","vs. GB","1","3","1.6","0.8","0"
"2","undefined","","Kansas City (KC)","vs. TEN","1","2","1.6","0.5","0"
"3","undefined","","Green Bay (GB)","at SF","2","3","2.8","0.4","0"
"4","undefined","","Tennessee (TEN)","at KC","4","4","4.0","0.0","0"
""
""
