"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Michael Thomas","NO","wr","9","MIN","20.2","39","0","0","0","0","0","0","0","0","0","11.5615","9.3965","112.8521","0.7082","0.0472","0.0236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Deshaun Watson","HST","qb","10","BUF","21.1","35","22.0991","32.3075","255.255","1.4938","0.8324","3.3703","8.3591","39.0471","0.4002","0","0","0","0","0.6798","0.3399","0.0495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Alvin Kamara","NO","rb","9","MIN","18.7","28","0","0","0","0","0","0","13.2343","60.1975","0.7142","6.6111","5.6317","42.8975","0.2254","0.1242","0.0621","0.0555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Josh Allen","BUF","qb","6","@HST","20.1","30","19.6501","31.712","219.9596","1.1603","0.7601","2.5992","8.8228","48.0867","0.5374","0","0","0","0","0.7653","0.3827","0.0525","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Russell Wilson","SEA","qb","11","@PHI","18.8","34","19.2891","32.3176","226.2579","1.6628","0.7129","3.4346","6.5999","32.1249","0.1947","0","0","0","0","0.6877","0.3438","0.0721","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","DeAndre Hopkins","HST","wr","10","BUF","16.4","30","0","0","0","0","0","0","0.2726","1.5887","0.0084","10.5681","7.2861","92.5158","0.5562","0.0706","0.0353","0.0115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Drew Brees","NO","qb","9","MIN","18","35","25.029","36.6626","278.2946","1.7969","0.7393","1.3216","1.2371","0.7851","0.0894","0","0","0","0","0.2209","0.1104","0.0239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Kirk Cousins","MIN","qb","12","@NO","17.4","22","25.0044","36.1622","260.5847","1.7114","0.819","2.5743","2.4728","8.4526","0.0805","0","0","0","0","0.527","0.2635","0.0778","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Tom Brady","NE","qb","10","TEN","17.3","24","24.7253","37.0457","255.7303","1.813","0.5657","1.6266","1.3525","1.9154","0.0694","0","0","0","0","0.2877","0.1439","0.0535","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Carson Wentz","PHI","qb","10","SEA","17.3","27","23.8652","36.3856","235.4429","1.7097","0.8489","2.213","5.5228","18.098","0.1392","0","0","0","0","0.8209","0.4104","0.0507","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Dalvin Cook","MIN","rb","12","@NO","13.7","30","0","0","0","0","0","0","13.2993","52.5849","0.3285","5.3282","4.3743","35.0299","0.1591","0.183","0.0915","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Julian Edelman","NE","wr","10","TEN","13.2","26","0","0","0","0","0","0","0.8798","5.9057","0.0311","8.3966","5.7079","69.4888","0.4461","0.065","0.0325","0.0182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Ryan Tannehill","TEN","qb","11","@NE","15","27","18.6121","32.0107","223.043","1.0851","0.9578","3.1817","4.5252","19.8319","0.1898","0","0","0","0","0.5026","0.2513","0.0561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","John Brown","BUF","wr","6","@HST","13.1","21","0","0","0","0","0","0","0","0","0","8.96","5.1637","77.1867","0.4599","0.0118","0.0059","0.0049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Derrick Henry","TEN","rb","11","@NE","12.6","33","0","0","0","0","0","0","17.5192","81.1944","0.5205","1.2943","1.0193","8.1618","0.0271","0.176","0.088","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Tyler Lockett","SEA","wr","11","@PHI","12.4","24","0","0","0","0","0","0","0.5514","3.8186","0.0152","6.839","4.7598","65.2381","0.496","0.0391","0.0196","0.0203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","A.J. Brown","TEN","wr","11","@NE","11.6","19","0","0","0","0","0","0","0.437","3.3726","0.0102","7.602","4.4713","67.3317","0.3683","0.0346","0.0173","0.0118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Devin Singletary","BUF","rb","6","@HST","11.5","20","0","0","0","0","0","0","14.3726","61.7987","0.2659","3.728","2.965","19.935","0.0747","0.1964","0.0982","0.0054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Stefon Diggs","MIN","wr","12","@NO","11.3","25","0","0","0","0","0","0","0.2608","1.6752","0.0063","6.7898","4.9225","61.1069","0.4278","0.0509","0.0255","0.0197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Miles Sanders","PHI","rb","10","SEA","10.4","19","0","0","0","0","0","0","10.1837","45.6737","0.3132","3.5402","2.7855","19.856","0.1071","0.0995","0.0497","0.0211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Sony Michel","NE","rb","10","TEN","10.3","15","0","0","0","0","0","0","16.1677","62.4148","0.4626","1.2411","0.9266","6.7843","0.0426","0.0941","0.047","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Carlos Hyde","HST","rb","10","BUF","9.9","16","0","0","0","0","0","0","16.1338","65.6583","0.4508","0.8352","0.6529","3.8484","0.0201","0.2028","0.1014","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","D.K. Metcalf","SEA","wr","11","@PHI","9.8","18","0","0","0","0","0","0","0.0946","0.632","0.0026","6.607","3.7945","53.7086","0.4138","0.0556","0.0278","0.0236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","James White","NE","rb","10","TEN","9.7","15","0","0","0","0","0","0","3.9758","15.0689","0.1661","6.101","4.7782","35.0227","0.2253","0.0344","0.0172","0.0105","6.097","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Kenny Stills","HST","wr","10","BUF","9.7","12","0","0","0","0","0","0","0","0","0","5.49","3.7444","56.8953","0.3669","0.0605","0.0302","0.0101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Boston Scott","PHI","rb","10","SEA","9.6","18","0","0","0","0","0","0","8.7538","35.821","0.3737","3.1252","2.4707","18.9639","0.1004","0.0763","0.0381","0.0061","48.0075","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Cole Beasley","BUF","wr","6","@HST","9.3","15","0","0","0","0","0","0","0","0","0","6.7924","4.9642","51.4565","0.2748","0.0119","0.0059","0.0206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Dallas Goedert","PHI","te","10","SEA","10.6","20","0","0","0","0","0","0","0","0","0","7.071","5.0934","51.6891","0.4844","0.043","0.0215","0.0095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Travis Homer","SEA","rb","11","@PHI","8.9","14","0","0","0","0","0","0","8.7536","39.3204","0.142","3.6625","2.8822","19.4863","0.1131","0.0691","0.0345","0.0085","35.7076","0.0105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Adam Thielen","MIN","wr","12","@NO","8.6","20","0","0","0","0","0","0","0","0","0","5.6464","3.8844","49.2468","0.2908","0.0406","0.0203","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
