"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Julio Jones","ATL","at ARI","1","7","1.4","0.9","12.9"
"2","undefined","","DeAndre Hopkins","HOU","at KC","1","6","2.1","0.5","12.2"
"3","undefined","","Cooper Kupp","LAR","vs. SF","2","11","4.2","0.7","11.8"
"4","undefined","","Keenan Allen","LAC","vs. PIT","1","11","4.4","1.7","11.8"
"5","undefined","","Michael Thomas","NO","at JAC","1","25","4.8","1.8","11.6"
"6","undefined","","Chris Godwin","TB","vs. CAR","3","12","6.3","1.6","11.0"
"7","undefined","","Amari Cooper","DAL","at NYJ","1","15","6.6","1.6","10.9"
"8","undefined","","Odell Beckham Jr.","CLE","vs. SEA","2","21","8.3","2.5","10.8"
"9","undefined","","Adam Thielen","MIN","vs. PHI","6","17","9.3","1.1","10.3"
"10","undefined","","Tyler Lockett","SEA","at CLE","6","14","10.1","1.7","10.3"
"11","undefined","","Tyreek Hill","KC","vs. HOU","1","42","11.1","3.3","10.3"
"12","undefined","","Mike Evans","TB","vs. CAR","8","25","12.5","2.2","10.0"
"13","undefined","","Tyler Boyd","CIN","at BAL","9","22","14.5","2.1","9.8"
"14","undefined","","Julian Edelman","NE ","vs. NYG","8","20","14.5","2.6","9.9"
"15","undefined","","Kenny Golladay","DET","at GB","9","30","15.8","3.1","9.7"
"16","undefined","","Larry Fitzgerald","ARI","vs. ATL","4","22","15.9","3.1","9.7"
"17","undefined","","Will Fuller","HOU","at KC","12","26","16.6","2.3","9.4"
"18","undefined","","Josh Gordon","NE ","vs. NYG","10","26","16.6","3.1","9.4"
"19","undefined","","Robert Woods","LAR","vs. SF","10","44","18.8","2.6","9.3"
"20","undefined","","D.J. Chark","JAC","vs. NO","16","29","21.0","3.1","9.0"
"21","undefined","","Brandin Cooks","LAR","vs. SF","15","32","21.6","2.8","9.0"
"22","undefined","","Terry McLaurin","WAS","at MIA","10","35","22.0","3.9","9.0"
"23","undefined","","Calvin Ridley","ATL","at ARI","19","36","23.5","2.7","8.8"
"24","undefined","","Courtland Sutton","DEN","vs. TEN","12","35","24.9","3.1","8.7"
"25","undefined","","Michael Gallup","DAL","at NYJ","12","34","25.1","2.9","8.8"
"26","undefined","","Stefon Diggs","MIN","vs. PHI","16","34","25.2","3.0","8.5"
"27","undefined","","JuJu Smith-Schuster","PIT","at LAC","19","39","26.2","3.3","8.4"
"28","undefined","","D.J. Moore","CAR","at TB","15","33","26.3","2.9","8.4"
"29","undefined","","Alshon Jeffery","PHI","at MIN","18","34","28.7","2.8","8.3"
"30","undefined","","Curtis Samuel","CAR","at TB","21","43","30.1","2.8","8.1"
"31","undefined","","Mike Williams","LAC","vs. PIT","24","41","31.8","2.2","7.7"
"32","undefined","","Jarvis Landry","CLE","vs. SEA","18","42","31.9","2.9","8.1"
"33","undefined","","Marvin Jones","DET","at GB","22","45","33.8","3.0","7.7"
"34","undefined","","Marquez Valdes-Scantling","GB","vs. DET","26","55","35.2","3.9","7.7"
"35","undefined","","Emmanuel Sanders","DEN","vs. TEN","30","41","36.0","2.5","7.7"
"36","undefined","","Dede Westbrook","JAC","vs. NO","29","42","36.8","2.9","7.7"
"37","undefined","","Robby Anderson","NYJ","vs. DAL","23","47","37.5","3.4","7.6"
"38","undefined","","D.K. Metcalf","SEA","at CLE","33","49","38.1","3.1","7.5"
"39","undefined","","Mohamed Sanu","ATL","at ARI","22","42","38.3","2.9","7.5"
"40","undefined","","Demarcus Robinson","KC","vs. HOU","33","71","40.9","7.5","7.4"
"41","undefined","","Preston Williams","MIA","vs. WAS","28","53","41.6","3.4","7.4"
"42","undefined","","Geronimo Allison","GB","vs. DET","32","50","43.7","2.9","7.2"
"43","undefined","","Mecole Hardman","KC","vs. HOU","37","58","43.8","4.7","7.3"
"44","undefined","","Auden Tate","CIN","at BAL","33","52","44.7","3.5","7.0"
"45","undefined","","Jamison Crowder","NYJ","vs. DAL","36","72","45.9","5.7","7.0"
"46","undefined","","Golden Tate","NYG","at NE","41","59","48.6","3.4","6.7"
