"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","George Kittle","SF","vs. LAR","1","3","1.3","0.5","9.9"
"2","undefined","","Zach Ertz","PHI","vs. DAL","1","3","2.1","0.7","9.8"
"3","undefined","","Travis Kelce","KC","at CHI","1","3","2.6","0.5","9.3"
"4","undefined","","Mark Andrews","BAL","at CLE","4","12","4.7","1.3","8.8"
"5","undefined","","Darren Waller","OAK","at LAC","4","10","5.5","1.0","7.8"
"6","undefined","","Austin Hooper","ATL","vs. JAC","4","8","6.3","0.8","7.8"
"7","undefined","","Hunter Henry","LAC","vs. OAK","4","10","6.6","1.5","7.5"
"8","undefined","","Jared Cook","NO","at TEN","5","13","8.6","1.1","6.8"
"9","undefined","","O.J. Howard","TB","vs. HOU","6","12","9.4","1.2","6.6"
"10","undefined","","Jacob Hollister","SEA","vs. ARI","5","14","9.7","2.1","6.3"
"11","undefined","","Tyler Higbee","LAR","at SF","5","19","10.2","1.5","6.1"
"12","undefined","","Dallas Goedert","PHI","vs. DAL","6","14","11.6","0.9","5.8"
"13","undefined","","Noah Fant","DEN","vs. DET","8","19","14.1","1.7","5.7"
"14","undefined","","Jack Doyle","IND","vs. CAR","12","20","15.2","1.3","5.6"
"15","undefined","","Jonnu Smith","TEN","vs. NO","10","20","15.8","2.1","5.5"
"16","undefined","","Greg Olsen","CAR","at IND","10","22","15.9","2.1","5.1"
"17","undefined","","Mike Gesicki","MIA","vs. CIN","14","21","16.8","1.2","4.9"
"18","undefined","","Kyle Rudolph","MIN","vs. GB","13","28","18.1","3.1","4.9"
"19","undefined","","Cameron Brate","TB","vs. HOU","12","24","17.8","2.5","4.8"
"20","undefined","","Jason Witten","DAL","at PHI","17","26","20.4","1.0","4.7"
"21","undefined","","Tyler Eifert","CIN","at MIA","17","30","22.1","1.9","4.5"
"22","undefined","","Kaden Smith","NYG","at WAS","20","34","22.2","2.6","4.4"
"23","undefined","","Darren Fells","HOU","at TB","15","41","22.4","4.2","3.9"
"24","undefined","","Jimmy Graham","GB","at MIN","19","29","25.1","1.4","3.9"
"25","undefined","","Irv Smith Jr.","MIN","vs. GB","21","36","26.8","3.0","3.9"
"26","undefined","","Hayden Hurst","BAL","at CLE","22","33","28.3","2.8","3.9"
"27","undefined","","Vance McDonald","PIT","at NYJ","22","37","28.8","3.6","3.7"
"28","undefined","","Jordan Akins","HOU","at TB","22","35","28.0","2.9","3.5"
"29","undefined","","Dawson Knox","BUF","at NE","21","35","29.3","2.8","3.2"
"30","undefined","","Jesper Horsted","CHI","vs. KC","12","32","26.0","2.9","3.0"
"31","undefined","","Blake Jarwin","DAL","at PHI","27","36","30.5","2.4","3.0"
"32","undefined","","Gerald Everett","LAR","at SF","17","43","31.5","7.3","2.7"
"33","undefined","","Ian Thomas","CAR","at IND","25","72","37.3","10.5","2.7"
"34","undefined","","Logan Thomas","DET","at DEN","25","49","37.6","4.6","2.7"
"35","undefined","","Nick O'Leary","JAC","at ATL","31","58","37.5","5.9","2.6"
"36","undefined","","Benjamin Watson","NE","vs. BUF","32","56","40.2","5.8","2.6"
"37","undefined","","Nick Boyle","BAL","at CLE","34","48","38.7","4.8","2.6"
