"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","Ezekiel Elliott","DAL","at NO","1","6","1.8","1.0"
"2","undefined","","Christian McCaffrey","CAR","at HOU","1","4","2.2","0.7"
"3","undefined","","Austin Ekeler","LAC","at MIA","1","7","2.9","1.0"
"4","undefined","","Alvin Kamara","NO","vs. DAL","1","8","3.7","0.9"
"5","undefined","","Derrick Henry","TEN","at ATL","1","12","6.2","2.2"
"6","undefined","","Marlon Mack","IND","vs. OAK","3","12","6.4","1.1"
"7","undefined","","Dalvin Cook","MIN","at CHI","2","16","6.9","1.8"
"8","undefined","","David Johnson","ARI","vs. SEA","6","16","8.5","1.6"
"9","undefined","","James Conner","PIT","vs. CIN","5","11","9.2","1.4"
"10","undefined","","Mark Ingram","BAL","vs. CLE","6","13","9.3","1.4"
"11","undefined","","Nick Chubb","CLE","at BAL","7","15","11.3","1.7"
"12","undefined","","Chris Carson","SEA","at ARI","5","37","12.3","2.1"
"13","undefined","","Kerryon Johnson","DET","vs. KC","8","18","14.4","2.1"
"14","undefined","","Joe Mixon","CIN","at PIT","8","21","15.1","2.2"
"15","undefined","","Todd Gurley","LAR","vs. TB","10","27","15.1","2.7"
"16","undefined","","Leonard Fournette","JAC","at DEN","11","23","15.3","2.6"
"17","undefined","","Josh Jacobs","OAK","at IND","9","22","16.8","2.3"
"18","undefined","","Aaron Jones","GB","vs. PHI","12","25","17.2","1.6"
"19","undefined","","Phillip Lindsay","DEN","vs. JAC","16","26","20.1","2.2"
"20","undefined","","Devonta Freeman","ATL","vs. TEN","17","30","20.3","1.3"
"21","undefined","","LeSean McCoy","KC","at DET","10","25","20.3","2.9"
"22","undefined","","Sony Michel","NE","at BUF","13","33","22.1","3.2"
"23","undefined","","Wayne Gallman","NYG","vs. WAS","16","26","22.7","2.4"
"24","undefined","","David Montgomery","CHI","vs. MIN","18","29","23.2","2.0"
"25","undefined","","Carlos Hyde","HOU","vs. CAR","18","48","26.1","3.0"
"26","undefined","","Royce Freeman","DEN","vs. JAC","22","31","26.2","1.5"
"27","undefined","","Miles Sanders","PHI","at GB","19","30","27.0","2.0"
"28","undefined","","Adrian Peterson","WAS","at NYG","23","41","28.6","3.1"
"29","undefined","","James White","NE","at BUF","20","48","28.9","2.6"
"30","undefined","","Frank Gore","BUF","vs. NE","24","39","30.4","2.5"
"31","undefined","","Darrel Williams","KC","at DET","23","39","31.2","3.5"
"32","undefined","","Rex Burkhead","NE","at BUF","24","46","33.4","4.2"
"33","undefined","","Chris Thompson","WAS","at NYG","26","40","34.1","1.5"
"34","undefined","","Kenyan Drake","MIA","vs. LAC","29","44","34.3","2.9"
"35","undefined","","Peyton Barber","TB","at LAR","24","39","34.6","2.4"
"36","undefined","","Ronald Jones II","TB","at LAR","25","44","36.6","2.8"
"37","undefined","","Duke Johnson","HOU","vs. CAR","32","49","37.3","3.4"
"38","undefined","","Jordan Howard","PHI","at GB","32","44","38.9","2.1"
"39","undefined","","Rashaad Penny","SEA","at ARI","27","52","39.6","3.9"
"40","undefined","","Jamaal Williams","GB","vs. PHI","32","50","41.4","3.0"
"41","undefined","","Malcolm Brown","LAR","vs. TB","28","46","38.6","2.6"
"42","undefined","","Latavius Murray","NO","vs. DAL","37","53","42.3","2.9"
"43","undefined","","Tarik Cohen","CHI","vs. MIN","35","54","42.9","3.0"
"44","undefined","","Gus Edwards","BAL","vs. CLE","35","52","44.7","2.2"
"45","undefined","","Tony Pollard","DAL","at NO","42","51","46.7","2.0"
"46","undefined","","Giovani Bernard","CIN","at PIT","40","55","48.5","2.2"
"47","undefined","","Ito Smith","ATL","vs. TEN","36","56","48.6","3.9"
