"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Tyreek Hill","KC","vs. OAK","1","3","1.1","0.3","15.0"
"2","undefined","","Michael Thomas","NO","at ATL","1","3","2.0","0.4","14.3"
"3","undefined","","Davante Adams","GB","at NYG","1","6","4.0","1.1","12.6"
"4","undefined","","Mike Evans","TB","at JAC","2","8","4.4","1.3","12.2"
"5","undefined","","Chris Godwin","TB","at JAC","3","12","4.5","1.9","11.8"
"6","undefined","","Julian Edelman","NE ","at HOU","5","11","7.0","1.5","11.7"
"7","undefined","","D.J. Moore","CAR","vs. WAS","4","10","7.8","1.6","10.7"
"8","undefined","","D.J. Chark","JAC","vs. TB","6","11","8.3","1.3","10.7"
"9","undefined","","Tyler Lockett","SEA","vs. MIN","4","20","8.7","2.0","10.7"
"10","undefined","","Cooper Kupp","LAR","at ARI","5","20","8.7","1.8","10.5"
"11","undefined","","DeAndre Hopkins","HOU","vs. NE","5","15","11.1","2.0","10.4"
"12","undefined","","Calvin Ridley","ATL","vs. NO","9","18","12.1","1.5","10.2"
"13","undefined","","Odell Beckham Jr.","CLE","at PIT","11","24","14.0","2.8","10.2"
"14","undefined","","Stefon Diggs","MIN","at SEA","7","28","15.0","1.8","10.0"
"15","undefined","","Allen Robinson","CHI","at DET","7","20","16.0","1.9","9.9"
"16","undefined","","John Brown","BUF","at DAL","13","28","17.0","2.8","9.7"
"17","undefined","","Jarvis Landry","CLE","at PIT","7","39","17.5","1.9","9.6"
"18","undefined","","Keenan Allen","LAC","at DEN","15","29","17.6","2.1","9.6"
"19","undefined","","Amari Cooper","DAL","vs. BUF","11","24","18.5","2.3","9.2"
"20","undefined","","Courtland Sutton","DEN","vs. LAC","17","30","22.0","2.4","9.2"
"21","undefined","","Devante Parker","MIA","vs. PHI","18","31","23.0","3.5","9.1"
"22","undefined","","D.K. Metcalf","SEA","vs. MIN","13","36","24.2","3.1","8.9"
"23","undefined","","Michael Gallup","DAL","vs. BUF","14","30","24.2","2.5","8.9"
"24","undefined","","Tyler Boyd","CIN","vs. NYJ","18","37","24.2","3.9","8.9"
"25","undefined","","Robert Woods","LAR","at ARI","14","36","24.7","4.0","8.9"
"26","undefined","","Christian Kirk","ARI","vs. LAR","16","51","26.1","4.9","8.6"
"27","undefined","","Jamison Crowder","NYJ","at CIN","22","33","28.4","2.6","8.5"
"28","undefined","","Sammy Watkins","KC","vs. OAK","23","45","30.2","5.5","8.5"
"29","undefined","","Kenny Golladay","DET","vs. CHI","22","40","30.6","3.8","8.5"
"30","undefined","","Terry McLaurin","WAS","at CAR","22","39","31.9","2.5","8.5"
"31","undefined","","Alshon Jeffery","PHI","at MIA","13","66","33.3","9.9","8.3"
"32","undefined","","Tyrell Williams","OAK","at KC","24","56","33.4","5.7","8.3"
"33","undefined","","Brandin Cooks","LAR","at ARI","28","46","35.0","4.2","8.2"
"34","undefined","","Will Fuller","HOU","vs. NE","30","60","35.6","3.8","8.1"
