"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","low","31.0","20.4","231.0","1.7","1.0","1.2","0.0","0.0","0.2","14.7"
"Jared Goff","LAR","36.3","23.1","271.1","1.6","0.9","2.9","8.4","0.1","0.2","16.4"
"","high","41.0","25.0","297.0","2.0","0.8","4.0","12.7","0.1","0.1","22.6"
"","low","34.7","22.2","252.0","1.3","1.1","2.5","4.7","0.0","0.3","14.8"
"Baker Mayfield","CLE","32.7","20.0","243.5","1.7","1.0","2.2","10.1","0.1","0.1","16.1"
"","high","34.0","20.9","262.4","2.0","0.9","2.7","14.0","0.1","0.1","20.3"
"","low","30.1","19.0","229.4","1.5","1.2","2.0","5.0","0.0","0.2","14.5"
"Kirk Cousins","MIN","31.5","21.0","241.1","1.5","0.8","2.3","7.6","0.1","0.2","14.9"
"","high","34.0","23.0","266.4","1.9","0.6","3.0","12.0","0.1","0.1","17.9"
"","low","27.9","18.7","210.0","1.0","1.0","1.3","4.5","0.0","0.3","12.3"
"Daniel Jones","NYG","35.5","22.6","235.4","1.4","1.0","3.8","20.5","0.1","0.4","14.7"
"","high","37.7","24.2","251.7","1.7","0.9","5.0","27.5","0.2","0.1","17.7"
"","low","30.0","21.0","216.0","1.0","1.1","2.4","17.0","0.0","0.9","13.2"
"Nick Mullens","SF","32.1","20.5","249.0","1.5","1.0","1.7","5.9","0.0","0.2","14.7"
"","high","39.0","25.0","336.0","2.0","0.0","2.5","12.0","0.1","0.1","20.5"
"","low","25.4","16.0","196.0","1.1","1.6","0.0","0.0","0.0","0.2","10.1"
"Derek Carr","LV","34.2","23.1","254.5","1.4","0.7","1.5","4.4","0.0","0.2","14.6"
"","high","38.0","26.0","286.0","1.7","0.6","1.7","7.0","0.1","0.1","16.8"
"","low","30.9","21.7","230.0","1.0","1.0","1.0","2.0","0.0","0.3","13.8"
"Teddy Bridgewater","CAR","36.2","24.2","255.7","1.2","0.8","3.1","11.9","0.0","0.1","14.4"
