"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Travis Kelce","KC","at DEN","1","4","1.7","0.8","11.2"
"2","undefined","","George Kittle","SF","at WAS","1","4","2.1","0.9","8.8"
"3","undefined","","Evan Engram","NYG","vs. ARI","1","11","2.7","1.2","8.7"
"4","undefined","","Mark Andrews","BAL","at SEA","2","9","4.2","0.7","8.6"
"5","undefined","","Austin Hooper","ATL","vs. LAR","1","7","5.2","1.2","8.2"
"6","undefined","","Zach Ertz","PHI","at DAL","3","8","5.5","0.7","7.8"
"7","undefined","","Hunter Henry","LAC","at TEN","4","9","7.1","1.0","7.2"
"8","undefined","","Darren Waller","OAK","at GB","5","10","7.5","0.6","6.4"
"9","undefined","","Gerald Everett","LAR","at ATL","7","14","9.6","1.2","5.9"
"10","undefined","","Delanie Walker","TEN ","vs. LAC","8","12","10.0","0.9","5.9"
"11","undefined","","T.J. Hockenson","DET","vs. MIN","8","15","11.8","1.3","5.2"
"12","undefined","","Jimmy Graham","GB","vs. OAK","9","17","12.0","1.5","5.2"
"13","undefined","","Eric Ebron","IND","vs. HOU","9","19","12.9","1.4","5.0"
"14","undefined","","Jason Witten","DAL","vs. PHI","10","17","15.0","1.4","5.0"
"15","undefined","","Dallas Goedert","PHI","at DAL","12","20","15.3","2.0","4.9"
"16","undefined","","Dawson Knox","BUF","vs. MIA","10","35","16.2","3.3","4.9"
"17","undefined","","Darren Fells","HOU","at IND","9","22","16.9","1.4","4.4"
"18","undefined","","Noah Fant","DEN","vs. KC","14","23","17.5","2.0","4.3"
"19","undefined","","Jack Doyle","IND","vs. HOU","14","24","19.7","0.9","3.9"
"20","undefined","","Jordan Akins","HOU","at IND","16","25","20.7","2.0","3.8"
"21","undefined","","Tyler Higbee","LAR","at ATL","19","25","22.0","1.6","3.7"
"22","undefined","","Trey Burton","CHI","vs. NO","12","31","22.0","2.9","3.6"
"23","undefined","","Luke Willson","SEA","vs. BAL","19","29","24.2","2.1","3.6"
"24","undefined","","Tyler Eifert","CIN","vs. JAC","13","27","23.1","2.6","3.5"
"25","undefined","","Hayden Hurst","BAL","at SEA","20","34","27.0","2.6","3.5"
"26","undefined","","Mike Gesicki","MIA","at BUF","22","37","28.7","3.2","3.3"
"27","undefined","","Kyle Rudolph","MIN","at DET","23","32","27.2","2.0","3.3"
"28","undefined","","Josh Hill","NO","at CHI","14","41","29.3","5.2","3.2"
"29","undefined","","Jeremy Sprinkle","WAS","vs. SF","26","34","29.6","2.0","3.2"
"30","undefined","","Foster Moreau","OAK","at GB","16","37","28.3","5.0","2.8"
"31","undefined","","C.J. Uzomah","CIN","vs. JAC","27","41","33.7","3.3","3.0"
"32","undefined","","Benjamin Watson","NE","at NYJ","12","48","28.8","7.6","2.8"
"33","undefined","","Irv Smith Jr.","MIN","at DET","24","43","33.1","4.4","3.1"
"34","undefined","","Marcedes Lewis","GB","vs. OAK","28","41","33.8","3.2","2.7"
"35","undefined","","Rhett Ellison","NYG","vs. ARI","27","44","36.4","4.8","2.7"
"36","undefined","","Blake Jarwin","DAL","vs. PHI","28","38","34.4","3.0","2.7"
"37","undefined","","Jacob Hollister","SEA","vs. BAL","24","37","31.7","3.8","2.6"
"38","undefined","","Josh Oliver","JAC","at CIN","23","53","37.3","6.9","2.7"
"39","undefined","","Ryan Griffin","NYJ","vs. NE","30","58","39.3","5.8","2.6"
"40","undefined","","Nick Boyle","BAL","at SEA","33","50","39.7","4.9","2.6"
"41","undefined","","Seth DeValve","JAC","at CIN","33","48","40.3","3.9","2.5"
"42","undefined","","Maxx Williams","ARI ","at NYG","19","47","42.7","3.7","2.5"
"43","undefined","","Jonnu Smith","TEN","vs. LAC","40","50","43.2","2.8","2.4"
"44","undefined","","Mo Alie-Cox","IND","vs. HOU","38","47","44.2","3.1","2.4"
"45","undefined","","Tyler Kroft","BUF","vs. MIA","24","66","45.8","12.8","2.1"
"46","undefined","","Jesse James","DET","vs. MIN","41","51","47.8","1.3","2.3"
"47","undefined","","Charles Clay","ARI","at NYG","35","54","49.8","3.2","2.3"
"48","undefined","","Chris Herndon IV","NYJ ","vs. NE","23","43","33.9","6.2","2.5"
"49","undefined","","Adam Shaheen","CHI","vs. NO","41","65","50.7","6.6","2.1"
"50","undefined","","Jeff Heuerman","DEN","vs. KC","39","51","46.1","3.3","2.1"
"51","undefined","","Nick O'Leary","MIA","at BUF","46","56","51.3","2.9","2.0"
"52","undefined","","Lee Smith","BUF","vs. MIA","41","59","51.5","4.5","2.0"
"53","undefined","","J.P. Holtz","CHI","vs. NO","37","56","48.8","7.4","1.9"
"54","undefined","","Logan Thomas","DET","vs. MIN","48","56","52.6","2.2","2.0"
"55","undefined","","Andrew Beck","DEN","vs. KC","40","63","52.4","5.5","1.8"
"56","undefined","","Robert Tonyan","GB ","vs. OAK","39","61","45.4","8.7","1.9"
"57","undefined","","Drew Sample","CIN","vs. JAC","49","68","57.7","4.1","1.7"
"58","undefined","","Derek Carrier","OAK","at GB","53","64","60.3","3.0","1.6"
"59","undefined","","Ben Koyack","JAC","at CIN","49","65","60.4","4.1","1.5"
"60","undefined","","Brian Parker","NO","at CHI","48","59","54.0","4.0","1.5"
"61","undefined","","Dan Arnold","NO","at CHI","44","68","57.0","8.5","1.3"
"62","undefined","","Virgil Green","LAC","at TEN","56","66","60.8","2.5","1.6"
"63","undefined","","Luke Stocker","ATL","vs. LAR","52","66","61.6","2.9","1.5"
"64","undefined","","Ross Dwelley","SF","at WAS","56","69","62.8","3.8","1.4"
"65","undefined","","Tommy Sweeney","BUF ","vs. MIA","55","57","56.0","0.9","1.8"
