"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","George Kittle","SF","vs. CAR","1","4","1.4","0.6","11.8"
"2","undefined","","Darren Waller","OAK","at HOU","1","5","2.8","1.4","11.5"
"3","undefined","","Austin Hooper","ATL","vs. SEA","1","7","3.2","1.4","10.5"
"4","undefined","","Travis Kelce","KC","vs. GB","2","5","3.8","0.8","10.3"
"5","undefined","","Evan Engram","NYG","at DET","2","7","4.3","1.1","10.0"
"6","undefined","","Hunter Henry","LAC","at CHI","3","8","5.7","0.9","9.7"
"7","undefined","","Zach Ertz","PHI","at BUF","5","9","7.1","0.5","9.6"
"8","undefined","","Gerald Everett","LAR","vs. CIN","6","10","7.9","0.7","7.3"
"9","undefined","","T.J. Hockenson","DET","vs. NYG","7","12","9.8","0.9","7.1"
"10","undefined","","Greg Olsen","CAR","at SF","8","18","10.3","1.9","6.9"
"11","undefined","","Jimmy Graham","GB","at KC","9","14","11.3","0.9","6.7"
"12","undefined","","Eric Ebron","IND","vs. DEN","10","16","12.9","1.3","6.2"
"13","undefined","","Vance McDonald","PIT","vs. MIA","10","20","13.6","2.3","5.5"
"14","undefined","","Dallas Goedert","PHI","at BUF","10","19","15.5","2.1","5.5"
"15","undefined","","Kyle Rudolph","MIN","vs. WAS","11","21","16.4","2.7","5.4"
"16","undefined","","Jonnu Smith","TEN","vs. TB","9","25","16.7","3.7","5.3"
"17","undefined","","Dawson Knox","BUF","vs. PHI","14","25","18.0","2.5","5.0"
"18","undefined","","Darren Fells","HOU","vs. OAK","14","24","18.1","2.0","4.9"
"19","undefined","","Cameron Brate","TB","at TEN","10","33","19.6","5.8","4.9"
"20","undefined","","Josh Hill","NO","vs. ARI","10","27","20.2","3.9","4.8"
"21","undefined","","Noah Fant","DEN","at IND","16","30","20.9","2.5","4.7"
"22","undefined","","Jordan Akins","HOU","vs. OAK","16","26","21.2","1.9","4.7"
"23","undefined","","Jack Doyle","IND","vs. DEN","18","28","21.8","2.6","4.7"
"24","undefined","","Irv Smith Jr.","MIN","vs. WAS","15","31","22.5","2.4","4.7"
"25","undefined","","Benjamin Watson","NE","vs. CLE","17","28","24.3","2.0","4.6"
"26","undefined","","Trey Burton","CHI","vs. LAC","24","29","26.5","1.3","4.6"
"27","undefined","","Ricky Seals-Jones","CLE","at NE","17","34","28.3","2.4","4.3"
"28","undefined","","Mike Gesicki","MIA","at PIT","21","32","27.5","2.0","4.3"
"29","undefined","","Foster Moreau","OAK","at HOU","25","33","29.3","2.4","4.2"
"30","undefined","","Jacob Hollister","SEA","at ATL","23","35","30.0","3.6","4.1"
"31","undefined","","Luke Willson","SEA","at ATL","25","35","30.7","2.5","4.1"
"32","undefined","","Tyler Eifert","CIN","at LAR","27","32","30.8","1.2","4.1"
"33","undefined","","Tyler Higbee","LAR","vs. CIN","27","33","31.7","1.3","4.1"
"34","undefined","","Jeremy Sprinkle","WAS","at MIN","30","38","34.5","1.6","3.9"
"35","undefined","","Josh Oliver","JAC","vs. NYJ","32","38","35.0","1.6","3.8"
"36","undefined","","C.J. Uzomah","CIN","at LAR","34","41","37.6","2.1","3.7"
"37","undefined","","Maxx Williams","ARI","at NO","37","44","40.0","3.0","3.5"
"38","undefined","","Ryan Griffin","NYJ","at JAC","35","47","42.3","4.9","3.1"
"39","undefined","","Rhett Ellison","NYG","at DET","37","47","42.8","2.5","3.1"
"40","undefined","","Marcedes Lewis","GB","at KC","36","40","38.6","1.0","3.0"
"41","undefined","","Charles Clay","ARI","at NO","42","49","44.8","2.2","3.0"
"42","undefined","","Seth DeValve","JAC","vs. NYJ","35","60","45.2","7.8","2.9"
"43","undefined","","Adam Shaheen","CHI","vs. LAC","39","53","45.8","4.3","2.7"
"44","undefined","","Jeff Heuerman","DEN","at IND","39","56","46.3","5.8","2.7"
"45","undefined","","Dan Arnold","NO","vs. ARI","33","45","42.0","3.2","2.7"
"46","undefined","","Demetrius Harris","CLE","at NE","40","46","43.6","1.9","2.5"
"47","undefined","","Jesse James","DET","vs. NYG","38","48","44.6","3.8","2.4"
"48","undefined","","Tyler Kroft","BUF","vs. PHI","37","51","47.0","3.5","2.4"
"49","undefined","","Nick Vannett","PIT","vs. MIA","49","59","53.7","3.4","2.2"
"50","undefined","","Derek Carrier","OAK","at HOU","43","54","50.8","2.1","2.2"
"51","undefined","","Luke Stocker","ATL","vs. SEA","41","54","51.2","2.8","2.0"
