"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Ezekiel Elliott","DAL","at SEA","1","4","1.9","1.0","17.2"
"2","undefined","","Derrick Henry","TEN","at MIN","1","10","2.4","1.0","16.5"
"3","undefined","","Alvin Kamara","NO","vs. GB","1","6","2.7","1.7","15.7"
"4","undefined","","Jonathan Taylor","IND","vs. NYJ","2","12","4.3","1.8","15.7"
"5","undefined","","Dalvin Cook","MIN","vs. TEN","3","12","6.0","1.3","15.7"
"6","undefined","","Miles Sanders","PHI","vs. CIN","2","16","6.3","2.2","15.1"
"7","undefined","","Aaron Jones","GB","at NO","1","11","7.0","1.9","14.6"
"8","undefined","","Nick Chubb","CLE","vs. WAS","3","14","8.1","0.9","14.2"
"9","undefined","","Josh Jacobs","LV","at NE","3","14","8.3","2.2","14.5"
"10","undefined","","Chris Carson","SEA","vs. DAL","5","14","9.6","1.3","14.1"
"11","undefined","","Kenyan Drake","ARI","vs. DET","4","14","10.9","2.2","13.4"
"12","undefined","","Clyde Edwards-Helaire","KC","at BAL","11","21","12.6","1.4","13.4"
"13","undefined","","James Conner","PIT","vs. HOU","6","25","13.3","2.2","13.2"
"14","undefined","","Austin Ekeler","LAC","vs. CAR","7","20","13.9","1.1","13.2"
"15","undefined","","Joe Mixon","CIN","at PHI","9","23","14.3","2.6","13.1"
"16","undefined","","James Robinson","JAC","vs. MIA","13","27","16.6","1.4","12.9"
"17","undefined","","David Montgomery","CHI","at ATL","11","23","17.8","2.6","12.1"
"18","undefined","","Todd Gurley II","ATL","vs. CHI","10","25","18.9","2.6","11.7"
"19","undefined","","Kareem Hunt","CLE","vs. WAS","15","27","20.3","2.1","11.7"
"20","undefined","","Devin Singletary","BUF","vs. LAR","12","26","20.4","3.2","10.9"
"21","undefined","","Melvin Gordon III","DEN","vs. TB","16","33","21.0","2.6","10.1"
"22","undefined","","David Johnson","HOU","at PIT","13","26","22.3","2.7","10.1"
"23","undefined","","Leonard Fournette","TB","at DEN","16","36","22.8","3.1","9.8"
"24","undefined","","Mark Ingram II","BAL","vs. KC","16","38","23.3","2.5","9.5"
"25","undefined","","Joshua Kelley","LAC","vs. CAR","17","35","23.5","2.3","9.3"
"26","undefined","","Jerick McKinnon","SF","at NYG","17","47","27.0","2.8","8.9"
"27","undefined","","Antonio Gibson","WAS","at CLE","19","38","27.8","2.6","8.3"
"28","undefined","","Mike Davis","CAR","at LAC","19","37","28.5","2.7","7.9"
"29","undefined","","J.K. Dobbins","BAL","vs. KC","22","39","29.7","3.5","7.8"
"30","undefined","","Darrell Henderson","LAR","at BUF","25","37","30.4","2.7","7.5"
"31","undefined","","Malcolm Brown","LAR","at BUF","23","36","31.8","2.6","7.2"
"32","undefined","","D'Andre Swift","DET","at ARI","20","43","32.7","2.0","7.1"
"33","undefined","","Sony Michel","NE","vs. LV","19","44","32.9","3.0","7.0"
"34","undefined","","Ronald Jones II","TB","at DEN","16","42","34.2","3.2","6.9"
"35","undefined","","Myles Gaskin","MIA","at JAC","27","49","36.2","3.3","6.9"
"36","undefined","","Latavius Murray","NO","vs. GB","30","46","36.3","2.8","6.7"
"37","undefined","","Jeff Wilson Jr.","SF","at NYG","26","92","38.2","14.4","6.3"
"38","undefined","","Adrian Peterson","DET","at ARI","32","49","38.3","3.1","6.6"
"39","undefined","","Frank Gore","NYJ","at IND","31","51","38.9","2.4","6.4"
"40","undefined","","Chase Edmonds","ARI","vs. DET","32","52","41.1","3.6","6.1"
"41","undefined","","Tarik Cohen","CHI","at ATL","33","47","42.2","2.3","5.8"
"42","undefined","","Nyheim Hines","IND","vs. NYJ","28","50","42.6","4.2","5.7"
"43","undefined","","Dion Lewis","NYG","vs. SF","34","70","42.7","3.1","5.6"
"44","undefined","","Rex Burkhead","NE","vs. LV","33","65","45.8","8.1","5.5"
"45","undefined","","Kerryon Johnson","DET","at ARI","37","60","47.4","3.1","5.3"
"46","undefined","","Alexander Mattison","MIN","vs. TEN","37","53","45.5","3.1","5.5"
"47","undefined","","Carlos Hyde","SEA","vs. DAL","37","65","46.2","4.3","5.0"
"48","undefined","","Boston Scott","PHI","vs. CIN","39","58","46.6","3.6","4.8"
"49","undefined","","Jordan Howard","MIA","at JAC","23","55","46.6","3.7","4.6"
"50","undefined","","Benny Snell Jr.","PIT","vs. HOU","29","62","50.5","4.0","4.5"
"51","undefined","","Wayne Gallman","NYG","vs. SF","17","112","54.7","12.1","4.5"
"52","undefined","","Tony Pollard","DAL","at SEA","48","62","54.4","3.3","4.2"
"53","undefined","","Matt Breida","MIA","at JAC","45","61","54.5","3.1","4.1"
"54","undefined","","Jamaal Williams","GB","at NO","41","115","55.5","11.3","4.3"
"55","undefined","","Chris Thompson","JAC","vs. MIA","44","68","56.1","4.8","4.0"
"56","undefined","","Peyton Barber","WAS","at CLE","41","67","56.3","3.5","3.9"
"57","undefined","","Gus Edwards","BAL","vs. KC","40","113","56.5","11.8","4.1"
"58","undefined","","Giovani Bernard","CIN","at PHI","45","66","59.8","3.8","3.9"
"59","undefined","","Darrel Williams","KC","at BAL","45","111","60.9","11.9","3.8"
"60","undefined","","J.D. McKissic","WAS","at CLE","50","67","61.3","4.2","3.8"
"61","undefined","","Brian Hill","ATL","vs. CHI","54","69","60.0","2.1","3.8"
"62","undefined","","LeSean McCoy","TB","at DEN","50","83","63.2","5.3","3.7"
"63","undefined","","Devonta Freeman","NYG","vs. SF","39","95","61.7","13.0","3.7"
"64","undefined","","Royce Freeman","DEN","vs. TB","52","71","65.4","2.3","3.7"
"65","undefined","","Jordan Wilkins","IND","vs. NYJ","51","76","62.4","4.0","3.0"
"66","undefined","","Jalen Richard","LV","at NE","55","73","66.4","2.7","2.7"
"67","undefined","","Darwin Thompson","KC","at BAL","61","117","68.8","9.7","3.4"
"68","undefined","","Ito Smith","ATL","vs. CHI","62","76","68.9","2.9","2.5"
"69","undefined","","Devontae Booker","LV","at NE","50","77","69.8","4.5","2.3"
"70","undefined","","AJ Dillon","GB","at NO","56","116","71.5","10.4","2.5"
"71","undefined","","Jaylen Samuels","PIT","vs. HOU","61","85","73.7","5.1","2.2"
"72","undefined","","Lamical Perine","NYJ","at IND","58","82","72.8","6.0","2.2"
"73","undefined","","Kyle Juszczyk","SF","at NYG","63","84","73.9","4.2","2.0"
"74","undefined","","Travis Homer","SEA","vs. DAL","67","85","76.2","3.6","2.0"
"75","undefined","","Corey Clement","PHI","vs. CIN","58","92","75.2","6.3","2.0"
"76","undefined","","JaMycal Hasty","SF","at NYG","63","94","76.0","7.4","1.9"
"77","undefined","","Josh Adams","NYJ","at IND","50","88","71.6","7.6","1.9"
"78","undefined","","J.J. Taylor","NE","vs. LV","69","87","77.0","3.9","1.9"
"79","undefined","","Reggie Bonnafon","CAR","at LAC","52","93","73.9","11.1","1.6"
"80","undefined","","Kalen Ballage","NYJ","at IND","61","89","79.4","5.6","1.6"
"81","undefined","","Tyler Ervin","GB","at NO","78","118","86.6","7.5","1.5"
"82","undefined","","Anthony McFarland Jr.","PIT","vs. HOU","72","98","82.7","7.0","1.6"
"83","undefined","","Mike Boone","MIN ","vs. TEN","71","91","79.2","4.4","1.5"
"84","undefined","","Patrick Laird","MIA","at JAC","79","100","85.6","3.9","1.5"
"85","undefined","","T.J. Yeldon","BUF","vs. LAR","62","97","76.5","10.2","1.4"
"86","undefined","","Ryan Nall","CHI","at ATL","76","91","83.3","5.0","1.5"
"87","undefined","","Darrynton Evans","TEN","at MIN","55","100","80.2","10.1","0.9"
"88","undefined","","Trenton Cannon","CAR","at LAC","72","101","89.9","6.2","0.9"
"89","undefined","","Eno Benjamin","ARI","vs. DET","82","96","87.3","4.6","1.1"
"90","undefined","","Ke'Shawn Vaughn","TB","at DEN","78","106","87.5","7.3","1.1"
"91","undefined","","Buddy Howell","HOU","at PIT","79","100","89.7","5.4","0.9"
"92","undefined","","C.J. Ham","MIN","vs. TEN","85","99","91.7","3.5","0.8"
"93","undefined","","Dare Ogunbowale","JAC","vs. MIA","78","101","92.4","6.1","0.9"
"94","undefined","","Bryce Love","WAS ","at CLE","77","101","86.3","6.2","1.0"
"95","undefined","","Jason Huntley","PHI ","vs. CIN","84","97","90.0","2.9","0.8"
"96","undefined","","Jeremy McNichols","TEN","at MIN","69","98","89.1","6.4","0.8"
"97","undefined","","C.J. Prosise","HOU","at PIT","73","99","87.3","7.0","0.8"
"98","undefined","","Ameer Abdullah","MIN","vs. TEN","90","102","95.5","3.1","0.8"
"99","undefined","","Alex Armah","CAR","at LAC","79","96","86.7","5.6","0.7"
"100","undefined","","Justice Hill","BAL","vs. KC","88","102","93.8","3.5","0.7"
"101","undefined","","Jakob Johnson","NE","vs. LV","83","103","94.9","5.8","0.7"
"102","undefined","","Alec Ingold","LV","at NE","84","109","91.2","9.0","0.5"
"103","undefined","","Ryquell Armstead","JAC ","vs. MIA","91","100","94.2","3.4","0.6"
"104","undefined","","Khari Blasingame","TEN","at MIN","85","107","95.8","7.9","0.5"
"105","undefined","","Reggie Gilliam","BUF","vs. LAR","80","101","92.0","9.2","0.2"
"106","undefined","","D'Ernest Johnson","CLE","vs. WAS","82","108","97.2","6.3","0.4"
"107","undefined","","Patrick Ricard","BAL","vs. KC","88","111","98.2","8.0","0.3"
"108","undefined","","Qadree Ollison","ATL","vs. CHI","79","110","95.8","12.1","0.4"
"109","undefined","","Taiwan Jones","BUF","vs. LAR","91","114","102.8","8.8","0.1"
"110","undefined","","Ty Johnson","DET","at ARI","90","93","91.5","1.5","0.1"
"111","undefined","","Elijhaa Penny","NYG","vs. SF","95","109","103.3","6.0","0.1"
"112","undefined","","Keith Smith","ATL","vs. CHI","95","103","99.0","4.0","0.1"
"113","undefined","","Andy Janovich","CLE","vs. WAS","89","110","99.5","10.5","0.1"
"114","undefined","","Xavier Jones","LAR","at BUF","97","105","101.0","4.0","0.1"
"115","undefined","","Samaje Perine","CIN","at PHI","99","108","103.5","4.5","0.1"
""
""
