"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"San Francisco 49ers","","3.7","1.1","0.7","1.3","0.2","0.0","15.6","287.5","9.6"
"","high","4.7","1.5","1.1","1.7","0.3","0.1","16.5","245.0","11.2"
"","low","3.1","0.8","0.6","1.0","0.1","0.0","14.3","330.0","7.4"
"Carolina Panthers","","3.7","0.9","0.7","1.2","0.1","0.1","18.9","293.2","9.1"
"","high","5.3","1.4","0.9","1.3","0.2","0.1","20.1","287.0","11.2"
"","low","3.0","0.7","0.6","1.1","0.1","0.1","17.4","299.4","7.5"
"Dallas Cowboys","","3.2","1.0","0.8","1.5","0.2","0.0","18.2","326.3","8.7"
"","high","3.5","1.5","1.2","1.7","0.2","0.0","20.5","316.0","10.5"
"","low","2.6","0.8","0.5","1.4","0.0","0.0","15.9","336.7","7.9"
"Cleveland Browns","","2.7","1.1","0.7","1.3","0.2","0.0","18.7","308.5","8.5"
"","high","3.1","1.4","1.1","1.5","0.2","0.1","21.7","296.0","9.7"
"","low","2.3","0.9","0.4","1.0","0.1","0.0","17.5","321.1","6.7"
"New York Jets","","2.6","1.2","0.6","1.1","0.2","0.0","19.2","320.1","8.4"
"","high","3.5","1.7","0.8","1.1","0.3","0.1","19.8","260.0","9.5"
"","low","2.0","0.8","0.5","1.0","0.0","0.0","18.5","380.2","7.3"
"New England Patriots","","2.7","1.1","0.7","1.3","0.2","0.1","18.9","354.6","8.4"
"","high","3.2","1.6","0.8","1.3","0.3","0.1","21.0","339.2","9.0"
"","low","1.9","0.7","0.5","1.2","0.1","0.0","14.3","370.0","6.5"
"Seattle Seahawks","","3.0","1.2","0.8","1.4","0.2","0.0","21.8","370.9","8.3"
"","high","3.5","1.6","1.2","1.6","0.3","0.1","24.0","358.8","10.0"
"","low","2.6","0.9","0.6","1.3","0.1","0.0","16.6","383.0","6.8"
"Buffalo Bills","","2.4","1.1","0.6","1.3","0.2","0.0","13.3","266.8","8.2"
"","high","2.7","1.9","0.8","1.5","0.3","0.1","13.8","244.0","10.0"
"","low","1.9","0.7","0.5","1.1","0.1","0.0","12.3","289.5","8.2"
"Philadelphia Eagles","","2.6","1.0","0.6","1.0","0.2","0.0","18.4","318.4","8.1"
"","high","3.1","1.3","0.7","1.2","0.2","0.1","19.2","305.0","8.5"
"","low","2.4","0.6","0.6","0.9","0.1","0.0","17.5","331.7","6.4"
"Miami Dolphins","","2.8","1.2","0.6","0.8","0.2","0.0","21.8","318.1","7.3"
"","high","3.0","2.0","0.7","1.0","0.3","0.0","23.0","299.0","10.2"
"","low","2.4","0.7","0.4","0.6","0.1","0.0","18.6","337.3","6.4"
"Denver Broncos","","2.8","1.0","0.7","1.1","0.2","0.0","20.6","340.0","7.3"
"","high","3.5","1.5","0.9","1.2","0.2","0.0","21.5","325.0","8.7"
"","low","2.6","0.9","0.6","0.9","0.1","0.0","19.3","355.0","7.2"
"Jacksonville Jaguars","","3.2","0.8","0.6","0.7","0.1","0.0","21.6","353.4","6.8"
"","high","3.6","1.1","0.7","0.8","0.2","0.0","24.0","350.0","8.2"
