"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev"
"126","undefined","","Josh Bellamy","NYJ","vs. CLE","72","129","115.5","10.7"
"127","undefined","","Tavon Austin","DAL","at WAS","98","154","123.0","12.3"
"128","undefined","","Justin Watson","TB","at CAR","103","154","128.9","11.4"
"129","undefined","","Russell Shepard","NYG","vs. BUF","99","136","121.5","12.0"
"130","undefined","","Jakobi Meyers","NE","at MIA","95","158","125.3","12.0"
"131","undefined","","Damion Ratley","CLE","at NYJ","88","162","118.9","16.3"
"132","undefined","","Trevor Davis","GB","vs. MIN","93","140","124.5","10.4"
"133","undefined","","Olabisi Johnson","MIN","at GB","111","142","128.0","8.3"
"134","undefined","","Zach Pascal","IND","at TEN","101","161","123.5","16.5"
"135","undefined","","Russell Gage","ATL","vs. PHI","119","142","130.8","6.0"
"136","undefined","","Jalen Hurd","SF","at CIN","96","147","124.2","17.6"
"137","undefined","","John Ursua","SEA","at PIT","104","137","126.4","6.9"
"138","undefined","","Chris Moore","BAL","vs. ARI","104","143","130.0","10.2"
"139","undefined","","David Moore","SEA","at PIT","87","122","98.7","12.4"
"140","undefined","","Isaiah McKenzie","BUF","at NYG","111","138","131.2","6.0"
"141","undefined","","Javon Wims","CHI","at DEN","108","161","134.0","11.4"
"142","undefined","","DeAndre Carter","HOU","vs. JAC","96","145","135.6","10.8"
"143","undefined","","Dwayne Harris","OAK","vs. KC","103","142","133.0","8.1"
"144","undefined","","Cody Core","NYG","vs. BUF","107","167","142.0","15.5"
"145","undefined","","Braxton Berrios","NYJ","vs. CLE","105","163","138.7","13.7"
"146","undefined","","Trent Taylor","SF","at CIN","92","138","119.0","17.3"
"147","undefined","","Verran Tucker","KC","at OAK","56","87","71.5","15.5"
"148","undefined","","Darius Jennings","TEN","vs. IND","106","155","142.6","8.2"
"149","undefined","","Devin Funchess","IND ","at TEN","87","138","110.7","21.0"
"150","undefined","","Gary Jennings","SEA","at PIT","108","141","125.5","12.1"
"151","undefined","","Stephen Carlson","CLE","at NYJ","58","110","84.0","26.0"
"152","undefined","","Austin Carr","NO","at LAR","120","160","140.5","10.0"
"153","undefined","","Mack Hollins","PHI","at ATL","101","165","135.6","21.8"
"154","undefined","","Bobo Wilson","TB","at CAR","110","153","142.5","7.4"
"155","undefined","","Trent Sherfield","ARI","at BAL","112","150","135.0","15.1"
"156","undefined","","Riley Ridley","CHI","at DEN","113","157","136.3","15.9"
"157","undefined","","Darius Slayton","NYG","vs. BUF","118","147","131.7","11.9"
"158","undefined","","Malik Turner","SEA","at PIT","112","128","120.0","8.0"
"159","undefined","","Emanuel Hall","TB","at CAR","91","150","120.5","29.5"
"160","undefined","","Byron Pringle","FA","","125","155","137.0","13.0"
"161","undefined","","Ray-Ray McCloud","CAR","vs. TB","109","157","137.7","20.7"
"162","undefined","","Tyler Ervin","JAC","at HOU","112","137","124.5","12.5"
"163","undefined","","JoJo Natson","LAR","vs. NO","102","151","126.5","24.5"
"164","undefined","","Tim Patrick","DEN ","vs. CHI","125","164","141.3","16.5"
"165","undefined","","Chris Lacy","DET","vs. LAC","112","155","133.5","21.5"
"166","undefined","","Devin Smith","DAL","at WAS","119","160","145.0","18.5"
"167","undefined","","Travis Fulgham","DET","vs. LAC","135","136","135.5","0.5"
"168","undefined","","Geremy Davis","LAC","at DET","131","141","136.0","5.0"
"169","undefined","","Diontae Spencer","DEN","vs. CHI","128","156","142.0","14.0"
"170","undefined","","Khadarel Hodge","CLE","at NYJ","150","152","151.0","1.0"
"171","undefined","","Pharoh Cooper","CIN","vs. SF","144","159","151.5","7.5"
"172","undefined","","Deonte Harris","NO","at LAR","145","165","155.0","10.0"
"173","undefined","","Mike Thomas","LAR","vs. NO","152","163","157.5","5.5"
""
""
