"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Travis Kelce","KC","at LAC","1","3","1.1","0.4","10.3"
"2","undefined","","Hunter Henry","LAC","vs. KC","1","3","2.0","0.4","10.2"
"3","undefined","","Darren Waller","OAK","vs. CIN","2","8","3.7","1.1","8.0"
"4","undefined","","Mark Andrews","BAL","vs. HOU","3","13","3.7","0.5","8.5"
"5","undefined","","Jared Cook","NO","at TB","4","9","5.3","1.3","7.6"
"6","undefined","","Zach Ertz","PHI","vs. NE","4","13","6.1","0.5","6.7"
"7","undefined","","Greg Olsen","CAR","vs. ATL","5","9","6.5","0.9","6.3"
"8","undefined","","Gerald Everett","LAR ","vs. CHI","6","14","8.2","1.0","6.3"
"9","undefined","","Eric Ebron","IND","vs. JAC","5","11","8.9","0.3","5.7"
"10","undefined","","O.J. Howard","TB","vs. NO","10","21","10.3","0.6","5.7"
"11","undefined","","Jack Doyle","IND","vs. JAC","7","19","11.2","1.1","5.3"
"12","undefined","","Vance McDonald","PIT","at CLE","11","22","13.1","1.9","5.2"
"13","undefined","","Kyle Rudolph","MIN","vs. DEN","12","21","14.7","1.7","5.1"
"14","undefined","","T.J. Hockenson","DET","vs. DAL","12","23","14.8","2.0","5.0"
"15","undefined","","Dallas Goedert","PHI","vs. NE","10","23","16.4","3.0","4.8"
"16","undefined","","Noah Fant","DEN","at MIN","10","24","16.6","2.5","4.7"
"17","undefined","","Mike Gesicki","MIA","vs. BUF","15","23","17.6","1.5","4.5"
"18","undefined","","Jason Witten","DAL","at DET","9","23","17.7","2.1","4.3"
"19","undefined","","Darren Fells","HOU","at BAL","11","28","17.9","2.8","4.3"
"20","undefined","","Tyler Eifert","CIN","at OAK","12","24","19.2","2.5","4.1"
"21","undefined","","Dawson Knox","BUF","at MIA","11","26","21.6","2.1","4.0"
"22","undefined","","Irv Smith Jr.","MIN","vs. DEN","14","27","22.1","2.0","3.9"
"23","undefined","","Ryan Griffin","NYJ","at WAS","18","25","22.2","1.9","3.8"
"24","undefined","","Ross Dwelley","SF","vs. ARI","10","45","24.1","5.0","3.7"
"25","undefined","","Benjamin Watson","NE","at PHI","23","31","26.1","2.0","3.6"
"26","undefined","","Nick Boyle","BAL","vs. HOU","24","33","29.5","2.3","3.6"
"27","undefined","","Jordan Akins","HOU","at BAL","22","63","29.8","7.2","3.6"
"28","undefined","","Blake Jarwin","DAL","at DET","26","35","30.4","2.4","3.6"
"29","undefined","","Cameron Brate","TB","vs. NO","24","41","32.1","3.9","3.2"
"30","undefined","","Demetrius Harris","CLE","vs. PIT","22","39","27.3","3.5","3.3"
"31","undefined","","Luke Stocker","ATL","at CAR","15","39","31.6","3.5","3.0"
"32","undefined","","Hayden Hurst","BAL","vs. HOU","27","59","32.8","5.7","3.0"
"33","undefined","","Jeremy Sprinkle","WAS","vs. NYJ","27","41","35.3","2.4","2.9"
"34","undefined","","George Kittle","SF ","vs. ARI","2","36","22.7","11.7","2.9"
"35","undefined","","Tyler Higbee","LAR ","vs. CHI","25","39","33.4","3.9","2.9"
"36","undefined","","Foster Moreau","OAK","vs. CIN","30","41","34.8","2.8","2.8"
"37","undefined","","Josh Oliver","JAC","at IND","27","44","38.9","2.7","2.7"
"38","undefined","","Maxx Williams","ARI","at SF","35","52","42.3","4.9","2.6"
"39","undefined","","Seth DeValve","JAC","at IND","31","56","39.1","5.7","2.6"
"40","undefined","","Charles Clay","ARI","at SF","38","45","42.1","2.4","2.6"
"41","undefined","","Josh Hill","NO","at TB","32","43","38.9","2.4","2.5"
"42","undefined","","Ricky Seals-Jones","CLE","vs. PIT","24","46","36.8","5.2","2.5"
"43","undefined","","C.J. Uzomah","CIN","at OAK","34","49","43.8","3.0","2.5"
"44","undefined","","Jaeden Graham","ATL","at CAR","25","50","39.5","6.9","2.4"
"45","undefined","","Tyler Kroft","BUF","at MIA","35","53","44.6","3.9","2.4"
"46","undefined","","Ben Braunecker","CHI","at LAR","29","49","42.2","5.1","2.4"
"47","undefined","","Levine Toilolo","SF","vs. ARI","39","52","47.1","3.2","2.4"
"48","undefined","","Logan Thomas","DET","vs. DAL","43","50","48.0","2.3","2.4"
"49","undefined","","Nick Vannett","PIT","at CLE","44","51","49.1","1.0","2.3"
"50","undefined","","Mo Alie-Cox","IND","vs. JAC","41","54","46.3","3.8","2.3"
"51","undefined","","Jesse James","DET","vs. DAL","51","57","53.3","2.4","2.2"
"52","undefined","","Hale Hentges","WAS","vs. NYJ","34","60","44.5","10.4","2.1"
"53","undefined","","Virgil Green","LAC","vs. KC","45","58","51.2","4.2","1.7"
"54","undefined","","Lee Smith","BUF","at MIA","39","55","52.2","2.9","2.1"
"55","undefined","","Derek Carrier","OAK","vs. CIN","44","60","53.4","5.8","1.5"
"56","undefined","","Troy Fumagalli","DEN","at MIN","51","65","56.6","5.7","1.8"
"57","undefined","","Pharaoh Brown","CLE","vs. PIT","47","60","53.3","6.3","2.1"
"58","undefined","","J.P. Holtz","CHI","at LAR","41","57","51.0","7.1","1.6"
"59","undefined","","Tanner Hudson","TB","vs. NO","41","58","51.7","7.6","1.5"
"60","undefined","","Lance Kendricks","LAC","vs. KC","46","64","57.5","6.9","1.3"
"61","undefined","","Trevon Wesco","NYJ","at WAS","48","68","60.8","5.1","1.5"
"62","undefined","","Blake Bell","KC","at LAC","54","62","58.0","3.2","1.4"
"63","undefined","","Garrett Celek","SF","vs. ARI","29","69","53.3","17.4","1.3"
"64","undefined","","Ian Thomas","CAR","vs. ATL","57","69","61.6","4.6","1.1"
"65","undefined","","Ben Koyack","JAC","at IND","47","68","60.0","8.5","1.2"
"66","undefined","","Dan Arnold","NO","at TB","55","61","57.7","2.5","1.1"
"67","undefined","","Durham Smythe","MIA","vs. BUF","61","66","63.5","1.8","1.1"
"68","undefined","","Chris Manhertz","CAR","vs. ATL","62","68","64.7","2.5","1.0"
"69","undefined","","Andrew Beck","DEN","at MIN","53","69","61.0","8.0","1.1"
"70","undefined","","Jeff Heuerman","DEN","at MIN","55","68","61.5","6.5","1.0"
"71","undefined","","Clive Walford","MIA","vs. BUF","57","70","63.5","6.5","1.0"
"72","undefined","","Dalton Schultz","DAL","at DET","61","70","67.0","4.2","0.7"
"73","undefined","","Deon Yelder","KC","at LAC","64","72","67.7","3.3","0.8"
"74","undefined","","Tommy Sweeney","BUF","at MIA","66","66","66.0","0.0","0.7"
"75","undefined","","Matt LaCosse","NE","at PHI","65","71","68.0","3.0","0.7"
"76","undefined","","Tyler Conklin","MIN","vs. DEN","65","74","69.5","4.5","0.7"
"77","undefined","","Ryan Izzo","NE","at PHI","71","72","71.5","0.5","0.6"
""
""
