"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","DeAndre Hopkins","HOU","at TEN","1","11","1.5","0.7","14.8"
"2","undefined","","Michael Thomas","NO","vs. IND","1","3","2.3","0.6","14.4"
"3","undefined","","Chris Godwin","TB","at DET","1","7","3.3","1.4","13.2"
"4","undefined","","Tyreek Hill","KC","vs. DEN","1","11","3.6","1.7","12.4"
"5","undefined","","Davante Adams","GB","vs. CHI","2","12","5.5","1.0","11.6"
"6","undefined","","Julian Edelman","NE","at CIN","6","14","7.2","1.9","10.9"
"7","undefined","","D.J. Moore","CAR","vs. SEA","4","13","7.4","1.7","11.3"
"8","undefined","","Julio Jones","ATL","at SF","3","13","7.8","2.0","10.6"
"9","undefined","","Kenny Golladay","DET","vs. TB","4","14","9.0","2.3","10.5"
"10","undefined","","Allen Robinson","CHI","at GB","5","16","10.5","1.8","10.3"
"11","undefined","","Jarvis Landry","CLE","at ARI","7","26","11.6","2.2","10.2"
"12","undefined","","Robert Woods","LAR","at DAL","2","18","12.2","2.1","10.2"
"13","undefined","","Keenan Allen","LAC","vs. MIN","6","18","12.8","2.4","10.1"
"14","undefined","","Cooper Kupp","LAR","at DAL","9","23","13.6","2.0","10.1"
"15","undefined","","Amari Cooper","DAL","vs. LAR","8","27","14.9","3.1","10.1"
"16","undefined","","Courtland Sutton","DEN","at KC","10","23","18.0","2.8","9.9"
"17","undefined","","Stefon Diggs","MIN","at LAC","12","31","18.4","2.4","9.8"
"18","undefined","","A.J. Brown","TEN","vs. HOU","13","34","18.4","3.6","9.4"
"19","undefined","","Odell Beckham Jr.","CLE","at ARI","11","32","18.9","3.2","9.4"
"20","undefined","","Emmanuel Sanders","SF","vs. ATL","15","29","21.1","2.5","9.3"
"21","undefined","","Tyler Lockett","SEA","at CAR","11","32","21.8","2.3","9.3"
"22","undefined","","Michael Gallup","DAL","vs. LAR","17","36","22.6","2.0","9.3"
"23","undefined","","Christian Kirk","ARI","vs. CLE","15","40","23.4","2.5","9.1"
"24","undefined","","Devante Parker","MIA","at NYG","6","111","23.6","13.7","9.3"
"25","undefined","","Deebo Samuel","SF","vs. ATL","17","33","25.9","3.4","9.1"
"26","undefined","","D.K. Metcalf","SEA","at CAR","20","39","27.4","3.5","8.7"
"27","undefined","","John Brown","BUF","at PIT","24","43","27.7","3.5","9.0"
"28","undefined","","Terry McLaurin","WAS","vs. PHI","21","36","28.6","1.7","8.5"
"29","undefined","","Mike Williams","LAC","vs. MIN","16","41","29.5","3.5","8.5"
"30","undefined","","Darius Slayton","NYG","vs. MIA","19","41","30.1","4.5","8.3"
"31","undefined","","Adam Thielen","MIN","at LAC","21","54","30.4","5.2","8.2"
