"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Seattle Seahawks","","2.2","0.7","0.6","1.1","0.1","0.0","24.5","410.9","5.8"
"","high","2.7","0.9","1.1","1.6","0.2","0.0","26.0","388.4","6.5"
"","low","1.3","0.6","0.4","0.8","0.0","0.0","21.7","440.0","5.1"
"Miami Dolphins","","2.3","0.7","0.5","0.8","0.1","0.0","25.3","364.7","5.7"
"","high","2.7","0.9","0.7","0.9","0.2","0.0","26.3","358.3","6.4"
"","low","1.6","0.6","0.3","0.6","0.0","0.0","24.2","369.9","5.4"
"Baltimore Ravens","","2.1","0.7","0.6","1.0","0.1","0.0","22.8","361.7","5.6"
"","high","2.3","1.0","0.9","1.2","0.2","0.0","25.5","338.0","6.7"
"","low","1.8","0.5","0.4","0.7","0.0","0.0","19.0","380.2","5.3"
"New York Jets","","2.0","0.8","0.5","0.8","0.1","0.1","25.8","342.5","5.5"
"","high","3.0","0.9","0.8","1.1","0.2","0.2","27.8","311.0","6.1"
"","low","1.6","0.5","0.3","0.5","0.0","0.0","23.2","358.6","5.1"
"Denver Broncos","","2.1","0.7","0.6","0.8","0.1","0.0","23.0","353.1","5.5"
"","high","3.2","0.8","0.8","1.0","0.2","0.0","24.6","348.7","6.3"
"","low","1.5","0.5","0.5","0.7","0.1","0.0","21.2","360.8","5.3"
"Houston Texans","","1.8","0.8","0.6","1.0","0.1","0.0","24.5","368.3","5.4"
"","high","2.7","0.9","0.9","1.3","0.2","0.0","26.4","331.0","6.3"
"","low","1.2","0.6","0.3","0.6","0.0","0.0","22.9","388.9","5.4"
"Las Vegas Raiders","","2.1","0.8","0.5","0.7","0.1","0.0","26.0","364.2","5.3"
"","high","2.4","0.9","0.6","0.7","0.2","0.0","27.7","359.5","6.8"
"","low","0.9","0.6","0.4","0.6","0.0","0.0","22.0","367.0","3.5"
"Green Bay Packers","","2.0","0.7","0.5","0.5","0.1","0.0","26.5","378.9","5.0"
"","high","3.2","1.0","0.6","0.7","0.2","0.0","28.1","376.9","5.9"
"","low","1.3","0.5","0.3","0.4","0.0","0.0","22.5","381.0","4.4"
""
""
