"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"New England Patriots","","3.1","0.9","0.7","1.2","0.1","0.1","17.6","348.4","8.4"
"","high","3.4","1.4","0.9","1.2","0.2","0.1","20.0","323.0","8.8"
"","low","2.8","0.6","0.6","1.2","0.1","0.0","15.1","373.9","7.5"
"Houston Texans","","2.6","0.8","0.6","0.9","0.1","0.0","19.9","341.6","7.4"
"","high","3.4","0.9","0.8","1.0","0.2","0.0","20.5","334.2","7.9"
"","low","2.2","0.7","0.5","0.8","0.1","0.0","18.2","349.0","6.8"
"Buffalo Bills","","3.1","0.9","0.6","0.9","0.1","0.0","20.3","332.4","7.0"
"","high","3.5","1.1","0.7","0.9","0.2","0.0","23.0","304.0","8.3"
"","low","2.9","0.7","0.5","0.8","0.1","0.0","17.0","360.8","7.2"
"Philadelphia Eagles","","3.1","0.7","0.6","1.0","0.1","0.0","22.4","357.0","6.5"
"","high","3.5","0.9","0.8","1.1","0.2","0.0","23.5","346.0","7.9"
"","low","2.9","0.5","0.4","0.8","0.1","0.0","21.1","368.1","6.4"
"Seattle Seahawks","","2.3","0.7","0.8","1.4","0.1","0.0","21.4","347.6","6.2"
"","high","2.9","0.9","1.4","1.9","0.2","0.0","22.0","339.2","7.5"
"","low","1.8","0.7","0.5","0.8","0.0","0.0","19.8","356.0","6.9"
"New Orleans Saints","","2.5","0.6","0.7","1.2","0.1","0.1","20.5","355.5","6.1"
"","high","3.1","0.9","1.0","1.4","0.2","0.1","21.0","339.0","7.0"
"","low","1.9","0.4","0.5","0.9","0.0","0.0","19.4","372.1","6.5"
"Tennessee Titans","","1.9","0.6","0.4","0.5","0.1","0.0","23.4","339.7","4.6"
"","high","2.9","0.7","0.6","0.7","0.2","0.0","24.8","338.0","5.8"
"","low","1.6","0.5","0.3","0.4","0.0","0.0","21.3","341.4","4.5"
"Minnesota Vikings","","1.8","0.6","0.5","0.7","0.1","0.0","26.4","375.9","4.5"
"","high","2.7","0.7","0.7","1.0","0.2","0.0","28.8","350.0","5.3"
"","low","1.2","0.4","0.3","0.4","0.0","0.0","21.1","401.8","3.4"
""
""
