"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","San Francisco (SF)","at ARI","1","3","1.2","0.6","10.7"
"2","undefined","","Buffalo (BUF)","vs. WAS","1","5","2.1","0.6","10.7"
"3","undefined","","New England (NE)","at BAL","2","10","3.3","1.3","9.5"
"4","undefined","","Philadelphia (PHI)","vs. CHI","3","10","5.5","1.6","9.5"
"5","undefined","","Carolina (CAR)","vs. TEN","5","10","6.0","0.8","8.8"
"6","undefined","","Seattle (SEA)","vs. TB","2","9","6.2","1.5","8.5"
"7","undefined","","New York (NYJ)","at MIA","3","15","6.4","2.3","8.2"
"8","undefined","","Cleveland (CLE)","at DEN","3","13","6.6","1.7","8.2"
"9","undefined","","Dallas (DAL)","at NYG","4","13","8.0","1.5","8.0"
"10","undefined","","Denver (DEN)","vs. CLE","8","19","10.8","2.0","8.0"
"11","undefined","","Minnesota (MIN)","at KC","8","24","11.4","0.9","7.7"
"12","undefined","","Green Bay (GB)","at LAC","9","18","13.1","1.7","7.6"
"13","undefined","","Jacksonville (JAC)","vs. HOU","7","17","13.2","2.2","7.2"
"14","undefined","","Tennessee (TEN)","at CAR","11","17","14.0","1.9","7.1"
"15","undefined","","Pittsburgh (PIT)","vs. IND","10","20","14.5","1.9","6.7"
"16","undefined","","Chicago (CHI)","at PHI","9","20","15.3","1.9","6.7"
"17","undefined","","Indianapolis (IND)","at PIT","11","23","16.6","2.6","6.7"
"18","undefined","","Houston (HOU)","at JAC","10","26","17.3","1.0","6.3"
"19","undefined","","Washington (WAS)","at BUF","16","21","19.6","1.0","6.3"
"20","undefined","","Detroit (DET)","at OAK","18","24","20.5","1.8","6.3"
"21","undefined","","Kansas City (KC)","vs. MIN","18","23","20.9","1.1","6.2"
"22","undefined","","Oakland (OAK)","vs. DET","20","26","23.2","1.4","6.1"
"23","undefined","","Miami (MIA)","vs. NYJ","14","27","23.5","2.3","6.1"
"24","undefined","","Los Angeles (LAC)","vs. GB","21","28","23.7","1.9","6.0"
"25","undefined","","Baltimore (BAL)","vs. NE","19","27","24.2","1.9","5.9"
"26","undefined","","Arizona (ARI)","vs. SF","19","28","25.8","1.9","5.9"
"27","undefined","","Tampa Bay (TB)","at SEA","24","28","26.3","0.8","5.8"
"28","undefined","","New York (NYG)","vs. DAL","24","28","27.8","0.4","5.7"
""
""
