"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","George Kittle","SF","vs. ATL","1","3","1.5","0.6","10.6"
"2","undefined","","Travis Kelce","KC","vs. DEN","1","4","2.2","0.7","10.4"
"3","undefined","","Zach Ertz","PHI","at WAS","1","6","2.6","1.2","9.5"
"4","undefined","","Hunter Henry","LAC","vs. MIN","4","9","4.3","1.0","7.8"
"5","undefined","","Darren Waller","OAK","vs. JAC","3","7","5.0","0.9","7.6"
"6","undefined","","Tyler Higbee","LAR","at DAL","4","13","7.1","1.3","7.2"
"7","undefined","","Jared Cook","NO","vs. IND","1","37","7.5","2.0","6.5"
"8","undefined","","Austin Hooper","ATL","at SF","4","11","7.9","1.6","6.3"
"9","undefined","","Mark Andrews","BAL ","vs. NYJ","5","20","8.9","2.0","6.3"
"10","undefined","","Jack Doyle","IND","at NO","6","15","9.9","1.9","6.0"
"11","undefined","","Dallas Goedert","PHI","at WAS","7","17","10.6","1.3","5.8"
"12","undefined","","O.J. Howard","TB","at DET","9","18","11.9","1.3","5.5"
"13","undefined","","Ian Thomas","CAR","vs. SEA","8","16","13.0","1.6","5.2"
"14","undefined","","Jacob Hollister","SEA","at CAR","10","21","15.0","2.0","5.1"
"15","undefined","","Noah Fant","DEN","at KC","11","20","15.3","1.4","4.9"
"16","undefined","","David Njoku","CLE","at ARI","12","30","15.3","2.1","5.0"
"17","undefined","","Mike Gesicki","MIA","at NYG","12","24","16.8","1.2","4.8"
"18","undefined","","Kyle Rudolph","MIN","at LAC","13","29","18.4","2.1","4.8"
"19","undefined","","Jonnu Smith","TEN","vs. HOU","13","27","19.5","2.3","4.7"
"20","undefined","","Jason Witten","DAL","vs. LAR","17","26","20.3","0.9","4.5"
"21","undefined","","Darren Fells","HOU","at TEN","13","28","20.7","2.5","4.0"
"22","undefined","","Cameron Brate","TB","at DET","16","34","25.2","3.5","4.0"
"23","undefined","","Jimmy Graham","GB","vs. CHI","19","27","23.6","1.5","4.0"
"24","undefined","","Kaden Smith","NYG","vs. MIA","16","39","24.8","5.2","3.9"
"25","undefined","","Hayden Hurst","BAL","vs. NYJ","18","31","25.1","3.3","3.9"
"26","undefined","","Nick O'Leary","JAC","at OAK","17","38","25.9","3.8","3.7"
"27","undefined","","Dawson Knox","BUF","at PIT","13","32","26.9","2.4","3.7"
"28","undefined","","Tyler Eifert","CIN","vs. NE","23","35","29.5","2.8","3.4"
"29","undefined","","Logan Thomas","DET","vs. TB","17","35","28.3","3.9","3.3"
"30","undefined","","Irv Smith Jr.","MIN","at LAC","25","36","28.4","2.6","3.3"
"31","undefined","","Jordan Akins","HOU","at TEN","23","38","30.9","3.1","3.1"
"32","undefined","","Blake Jarwin","DAL","vs. LAR","27","38","34.0","2.7","3.0"
"33","undefined","","Jesper Horsted","CHI","at GB","15","34","28.9","3.6","3.0"
"34","undefined","","Benjamin Watson","NE","at CIN","21","49","35.0","5.2","3.0"
"35","undefined","","Nick Vannett","PIT","vs. BUF","27","47","35.0","4.8","2.9"
"36","undefined","","Nick Boyle","BAL","vs. NYJ","34","40","36.5","2.3","2.9"
"37","undefined","","Jeremy Sprinkle","WAS","vs. PHI","32","42","38.3","2.2","2.7"
"38","undefined","","Daniel Brown","NYJ","at BAL","26","45","34.8","3.3","2.7"
"39","undefined","","Anthony Firkser","TEN","vs. HOU","31","49","41.1","3.5","2.6"
