"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Travis Kelce","KC","vs. HOU","1","2","1.1","0.3","11.7"
"2","undefined","","George Kittle","SF","vs. MIN","1","3","2.1","0.6","10.4"
"3","undefined","","Mark Andrews","BAL","vs. TEN","2","3","2.8","0.4","9.2"
"4","undefined","","Jacob Hollister","SEA","at GB","4","6","4.1","0.3","5.5"
"5","undefined","","Jonnu Smith","TEN","at BAL","4","8","5.6","1.0","4.6"
"6","undefined","","Kyle Rudolph","MIN","at SF","5","8","5.8","0.7","4.1"
"7","undefined","","Darren Fells","HOU","at KC","4","8","6.9","0.6","3.9"
"8","undefined","","Jimmy Graham","GB","vs. SEA","5","9","7.6","0.9","3.8"
"9","undefined","","Hayden Hurst","BAL","vs. TEN","8","10","9.1","0.3","3.0"
"10","undefined","","Irv Smith Jr.","MIN","at SF","8","11","10.1","0.3","2.6"
"11","undefined","","Anthony Firkser","TEN","at BAL","9","12","11.1","0.4","2.1"
"12","undefined","","Jordan Akins","HOU","at KC","11","14","12.1","0.6","1.8"
"13","undefined","","Nick Boyle","BAL","vs. TEN","12","18","14.1","1.6","1.6"
"14","undefined","","Marcedes Lewis","GB","vs. SEA","9","15","13.5","0.9","1.5"
"15","undefined","","Robert Tonyan","GB","vs. SEA","13","15","13.5","0.8","1.3"
"16","undefined","","MyCole Pruitt","TEN","at BAL","15","17","15.5","0.8","0.9"
"17","undefined","","Blake Bell","KC","vs. HOU","16","20","17.7","1.4","0.9"
"18","undefined","","Luke Willson","SEA","at GB","16","19","18.2","0.7","0.8"
"19","undefined","","Levine Toilolo","SF","vs. MIN","16","19","18.0","0.9","0.7"
"20","undefined","","Ross Dwelley","SF","vs. MIN","18","21","20.2","0.4","0.7"
""
""
