"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","9.5","108.9","0.7","0.0","0.0","0.0","0.1","15.2"
"","high","11.4","119.0","1.0","0.1","0.3","0.0","0.1","17.9"
"","low","6.9","83.0","0.4","0.0","-0.5","0.0","0.1","15.4"
"Tyreek Hill","KC","6.0","99.1","0.8","0.8","5.2","0.1","0.1","15.2"
"","high","7.0","108.0","1.0","1.4","10.8","0.1","0.0","17.2"
"","low","5.2","82.4","0.4","0.4","2.0","0.0","0.1","15.3"
"Mike Evans","TB","5.6","92.0","0.6","0.0","0.0","0.0","0.0","12.8"
"","high","7.0","104.0","1.0","0.0","0.0","0.0","0.0","16.4"
"","low","4.9","77.4","0.3","0.0","0.0","0.0","0.1","11.7"
"Chris Godwin","TB","5.6","85.3","0.7","0.1","0.5","0.0","0.1","12.4"
"","high","7.0","93.0","1.0","0.1","1.0","0.0","0.0","15.3"
"","low","4.7","70.8","0.5","0.0","0.2","0.0","0.1","11.9"
"Davante Adams","GB","6.9","86.5","0.6","0.0","0.3","0.0","0.1","12.4"
"","high","8.0","95.0","1.0","0.1","1.0","0.0","0.0","15.5"
"","low","5.5","67.5","0.5","0.0","0.0","0.0","0.1","11.9"
"D.J. Chark","JAC","5.3","73.1","0.7","0.2","1.3","0.0","0.1","11.4"
"","high","6.0","94.0","1.0","0.3","1.7","0.0","0.1","15.4"
"","low","4.4","62.7","0.5","0.1","1.0","0.0","0.1","9.3"
"Calvin Ridley","ATL","5.4","75.0","0.6","0.4","3.0","0.0","0.1","11.2"
"","high","6.9","89.3","1.0","0.7","4.2","0.0","0.0","14.5"
"","low","4.2","56.2","0.4","0.2","2.1","0.0","0.1","10.1"
"Cooper Kupp","LAR","6.0","77.2","0.6","0.3","1.7","0.0","0.1","11.2"
"","high","7.3","87.0","1.0","0.6","4.0","0.0","0.0","14.5"
"","low","4.5","61.2","0.3","0.2","0.6","0.0","0.1","10.4"
"Tyler Lockett","SEA","5.4","72.9","0.6","0.5","2.5","0.0","0.0","11.2"
"","high","7.0","95.0","1.0","0.6","4.0","0.0","0.0","15.5"
"","low","4.2","54.0","0.4","0.3","1.2","0.0","0.1","9.3"
"Julian Edelman","NE","6.6","75.7","0.5","0.5","3.3","0.0","0.1","10.7"
"","high","8.0","86.0","1.0","0.7","5.0","0.0","0.1","14.6"
"","low","5.7","67.7","0.1","0.1","0.9","0.0","0.1","9.5"
"Christian Kirk","ARI","5.9","72.5","0.5","0.5","4.0","0.0","0.1","10.5"
"","high","8.1","96.0","1.0","0.8","5.0","0.0","0.0","13.5"
"","low","4.5","55.6","0.1","0.4","2.5","0.0","0.1","9.4"
"D.J. Moore","CAR","5.8","76.9","0.4","0.5","5.4","0.0","0.1","10.5"
"","high","7.0","84.0","1.0","0.6","8.3","0.0","0.1","14.4"
"","low","5.0","69.8","0.0","0.4","3.0","0.0","0.2","9.5"
"Odell Beckham Jr.","CLE","5.4","75.0","0.5","0.2","1.0","0.0","0.1","10.3"
"","high","6.0","79.6","1.0","0.3","2.0","0.0","0.0","13.7"
"","low","4.9","67.7","0.2","0.1","0.5","0.0","0.1","9.5"
"Stefon Diggs","MIN","5.0","71.5","0.5","0.3","1.8","0.0","0.1","10.2"
"","high","5.2","78.0","1.0","0.4","2.5","0.0","0.0","12.5"
"","low","4.9","62.0","0.2","0.2","1.0","0.0","0.2","10.2"
"Allen Robinson","CHI","5.4","71.3","0.5","0.0","0.1","0.0","0.0","10.0"
"","high","6.2","92.0","1.0","0.0","0.1","0.0","0.0","13.6"
"","low","4.5","60.0","0.2","0.0","0.0","0.0","0.1","8.4"
"Jarvis Landry","CLE","5.7","72.8","0.5","0.1","1.1","0.0","0.1","10.0"
"","high","6.0","82.0","1.0","0.3","2.1","0.0","0.1","14.2"
"","low","5.2","60.0","0.1","0.0","0.0","0.0","0.1","9.3"
"Michael Gallup","DAL","4.5","67.6","0.5","0.0","0.0","0.0","0.0","9.7"
"","high","5.3","82.0","1.0","0.0","0.0","0.0","0.0","14.2"
"","low","3.2","51.2","0.3","0.0","0.0","0.0","0.1","8.1"
"Courtland Sutton","DEN","4.5","68.9","0.4","0.3","1.7","0.0","0.0","9.6"
"","high","5.0","74.5","1.0","0.6","4.1","0.0","0.0","13.3"
"","low","3.9","60.0","0.1","0.1","0.6","0.0","0.0","8.0"
"Devante Parker","MIA","4.9","70.5","0.4","0.0","0.0","0.0","0.0","9.6"
"","high","6.0","76.0","1.0","0.0","0.0","0.0","0.0","13.6"
"","low","4.3","59.5","0.2","0.0","0.0","0.0","0.1","8.8"
"John Brown","BUF","4.6","65.5","0.5","0.1","0.3","0.0","0.0","9.5"
"","high","5.0","72.6","1.0","0.2","0.9","0.0","0.0","13.1"
"","low","3.9","58.0","0.3","0.0","0.0","0.0","0.0","7.5"
"Adam Thielen","MIN","4.8","63.1","0.5","0.2","1.1","0.0","0.1","9.5"
"","high","5.5","70.0","1.0","0.3","2.0","0.1","0.0","13.0"
"","low","3.5","46.7","0.0","0.1","0.6","0.0","0.1","9.1"
"Robert Woods","LAR","4.8","63.0","0.4","0.8","5.4","0.0","0.1","9.1"
"","high","5.9","77.0","1.0","1.1","6.6","0.1","0.0","11.1"
"","low","4.0","51.0","0.1","0.5","3.5","0.0","0.1","8.4"
"Amari Cooper","DAL","4.7","69.0","0.4","0.0","0.1","0.0","0.0","9.1"
"","high","5.3","79.8","0.6","0.1","0.3","0.0","0.0","11.1"
"","low","4.3","60.6","0.0","0.0","0.0","0.0","0.0","7.4"
"Terry McLaurin","WAS","4.4","64.3","0.4","0.0","0.3","0.0","0.0","9.1"
"","high","6.0","76.0","1.0","0.1","1.0","0.0","0.0","13.6"
"","low","3.3","49.3","0.1","0.0","0.0","0.0","0.0","7.3"
"Jamison Crowder","NYJ","5.4","62.3","0.5","0.2","1.1","0.0","0.1","9.0"
"","high","7.0","76.0","1.0","0.3","2.0","0.0","0.1","13.6"
"","low","4.4","51.5","0.2","0.0","0.0","0.0","0.1","7.4"
"Tyler Boyd","CIN","5.4","64.1","0.4","0.2","1.4","0.0","0.1","8.9"
"","high","6.0","75.0","1.0","0.3","2.1","0.0","0.1","13.5"
"","low","4.8","57.0","0.1","0.2","0.8","0.0","0.1","7.6"
"Alshon Jeffery","PHI","4.6","56.5","0.5","0.0","0.0","0.0","0.0","8.9"
"","high","6.0","67.0","1.0","0.1","0.1","0.1","0.0","12.7"
"","low","3.6","44.4","0.1","0.0","0.0","0.0","0.0","7.6"
"D.K. Metcalf","SEA","3.8","58.2","0.5","0.1","0.8","0.0","0.1","8.9"
"","high","5.0","68.0","1.0","0.2","1.1","0.0","0.0","12.8"
"","low","3.2","52.0","0.4","0.0","0.0","0.0","0.2","7.8"
"Tyrell Williams","OAK","4.2","59.0","0.5","0.0","0.1","0.0","0.0","8.9"
"","high","5.0","68.0","1.0","0.0","0.2","0.0","0.0","12.8"
"","low","3.3","52.9","0.2","0.0","0.0","0.0","0.0","7.7"
"DeAndre Hopkins","HOU","6.3","69.9","0.3","0.1","0.2","0.0","0.1","8.8"
"","high","8.5","84.5","0.6","0.1","0.6","0.0","0.0","12.1"
"","low","5.0","59.0","0.0","0.0","0.0","0.0","0.1","6.4"
