ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.6849,Matt,Schaub,QB,ATL,CHI,CHI@ATL,1:00PM EDT,20,6.8," "," "
nfl.p.8780,Matt,Ryan,QB,ATL,CHI,CHI@ATL,1:00PM EDT,32,26.7," "," "
nfl.p.24793,Julio,Jones,WR,ATL,CHI,CHI@ATL,1:00PM EDT,30,11.8,O," "
nfl.p.24891,Luke,Stocker,TE,ATL,CHI,CHI@ATL,1:00PM EDT,10,0.0," "," "
nfl.p.28141,Keith,Smith,RB,ATL,CHI,CHI@ATL,1:00PM EDT,10,0.4," "," "
nfl.p.28398,Todd,Gurley II,RB,ATL,CHI,CHI@ATL,1:00PM EDT,21,9.4," "," "
nfl.p.30269,Brian,Hill,RB,ATL,CHI,CHI@ATL,1:00PM EDT,10,3.2," "," "
nfl.p.30995,Hayden,Hurst,TE,ATL,CHI,CHI@ATL,1:00PM EDT,18,10.5," "," "
nfl.p.30996,Calvin,Ridley,WR,ATL,CHI,CHI@ATL,1:00PM EDT,29,27.9," "," "
nfl.p.31096,Ito,Smith,RB,ATL,CHI,CHI@ATL,1:00PM EDT,10,2.0," "," "
nfl.p.31164,Russell,Gage,WR,ATL,CHI,CHI@ATL,1:00PM EDT,16,14.8," "," "
nfl.p.31347,Christian,Blake,WR,ATL,CHI,CHI@ATL,1:00PM EDT,10,2.1," "," "
nfl.p.31641,Brandon,Powell,WR,ATL,CHI,CHI@ATL,1:00PM EDT,10,0.0," "," "
nfl.p.31749,Jaeden,Graham,TE,ATL,CHI,CHI@ATL,1:00PM EDT,10,2.5," "," "
nfl.p.31984,Qadree,Ollison,RB,ATL,CHI,CHI@ATL,1:00PM EDT,10,5.0," "," "
nfl.p.32123,Olamide,Zaccheaus,WR,ATL,CHI,CHI@ATL,1:00PM EDT,10,0.8," "," "
nfl.t.3,Chicago,Bears,DEF,CHI,ATL,CHI@ATL,1:00PM EDT,11,7.5," "," "
nfl.t.1,Atlanta,Falcons,DEF,ATL,CHI,CHI@ATL,1:00PM EDT,10,1.0," "," "
nfl.p.8497,Clark,Harris,TE,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
nfl.p.24791,A.J.,Green,WR,CIN,PHI,CIN@PHI,1:00PM EDT,16,6.0," "," "
nfl.p.26660,Giovani,Bernard,RB,CIN,PHI,CIN@PHI,1:00PM EDT,11,4.9," "," "
nfl.p.28545,C.J.,Uzomah,TE,CIN,PHI,CIN@PHI,1:00PM EDT,10,9.4,IR," "
nfl.p.29288,Tyler,Boyd,WR,CIN,PHI,CIN@PHI,1:00PM EDT,17,11.0," "," "
nfl.p.29440,Mike,Thomas,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,6.9," "," "
nfl.p.29703,Alex,Erickson,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
nfl.p.30122,John,Ross III,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,1.4,O," "
nfl.p.30161,Joe,Mixon,RB,CIN,PHI,CIN@PHI,1:00PM EDT,22,8.1," "," "
nfl.p.30227,Samaje,Perine,RB,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
nfl.p.30577,Cethan,Carter,TE,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
nfl.p.31223,Auden,Tate,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,6.8," "," "
nfl.p.31557,Devonte,Boyd,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
nfl.p.31884,Drew,Sample,TE,CIN,PHI,CIN@PHI,1:00PM EDT,10,4.6," "," "
nfl.p.31936,Ryan,Finley,QB,CIN,PHI,CIN@PHI,1:00PM EDT,20,8.9," "," "
nfl.p.32014,Trayveon,Williams,RB,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0,O," "
nfl.p.32671,Joe,Burrow,QB,CIN,PHI,CIN@PHI,1:00PM EDT,25,20.9," "," "
nfl.p.32703,Tee,Higgins,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,5.0," "," "
nfl.p.8826,DeSean,Jackson,WR,PHI,CIN,CIN@PHI,1:00PM EDT,15,7.5," "," "
nfl.p.25755,Alshon,Jeffery,WR,PHI,CIN,CIN@PHI,1:00PM EDT,16,11.2,O," "
nfl.p.26658,Zach,Ertz,TE,PHI,CIN,CIN@PHI,1:00PM EDT,20,8.0," "," "
nfl.p.29236,Carson,Wentz,QB,PHI,CIN,CIN@PHI,1:00PM EDT,25,14.7," "," "
nfl.p.29421,Nate,Sudfeld,QB,PHI,CIN,CIN@PHI,1:00PM EDT,20,0.0,O," "
nfl.p.30707,Corey,Clement,RB,PHI,CIN,CIN@PHI,1:00PM EDT,10,3.1," "," "
nfl.p.30715,Greg,Ward,WR,PHI,CIN,CIN@PHI,1:00PM EDT,10,3.3," "," "
nfl.p.31019,Dallas,Goedert,TE,PHI,CIN,CIN@PHI,1:00PM EDT,18,12.6," "," "
nfl.p.31171,Boston,Scott,RB,PHI,CIN,CIN@PHI,1:00PM EDT,12,6.1," "," "
nfl.p.31885,Miles,Sanders,RB,PHI,CIN,CIN@PHI,1:00PM EDT,21,18.6," "," "
nfl.p.31889,JJ,Arcega-Whiteside,WR,PHI,CIN,CIN@PHI,1:00PM EDT,10,0.0," "," "
nfl.p.32691,Jalen,Reagor,WR,PHI,CIN,CIN@PHI,1:00PM EDT,14,6.0,O," "
nfl.p.32723,Jalen,Hurts,QB,PHI,CIN,CIN@PHI,1:00PM EDT,20,0.0," "," "
nfl.p.32838,John,Hightower,WR,PHI,CIN,CIN@PHI,1:00PM EDT,10,0.3," "," "
nfl.t.4,Cincinnati,Bengals,DEF,CIN,PHI,CIN@PHI,1:00PM EDT,15,0.5," "," "
nfl.t.21,Philadelphia,Eagles,DEF,PHI,CIN,CIN@PHI,1:00PM EDT,14,2.0," "," "
nfl.p.32842,Jason,Huntley,RB,PHI,CIN,CIN@PHI,1:00PM EDT,10,0.1,O," "
nfl.p.32870,Quez,Watkins,WR,PHI,CIN,CIN@PHI,1:00PM EDT,10,0.0,IR," "
nfl.p.30322,Robert,Davis,WR,PHI,CIN,CIN@PHI,1:00PM EDT,10,0.9," "," "
nfl.p.27626,Richard,Rodgers,TE,PHI,CIN,CIN@PHI,1:00PM EDT,10,0.0," "," "
nfl.p.30364,Mason,Schreck,TE,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
nfl.p.27631,Devonta,Freeman,RB,NYG,SF,SF@NYG,1:00PM EDT,10,12.0," "," "
nfl.p.25291,Kyle,Nelson,TE,SF,NYG,SF@NYG,1:00PM EDT,10,0.0," "," "
nfl.p.26753,Kyle,Juszczyk,RB,SF,NYG,SF@NYG,1:00PM EDT,10,3.4," "," "
nfl.p.27590,Jimmy,Garoppolo,QB,SF,NYG,SF@NYG,1:00PM EDT,22,16.2,O," "
nfl.p.27624,Jerick,McKinnon,RB,SF,NYG,SF@NYG,1:00PM EDT,14,12.8," "," "
nfl.p.28461,Tevin,Coleman,RB,SF,NYG,SF@NYG,1:00PM EDT,12,4.0,IR," "
nfl.p.28654,Raheem,Mostert,RB,SF,NYG,SF@NYG,1:00PM EDT,22,20.4,O," "
nfl.p.30217,C.J.,Beathard,QB,SF,NYG,SF@NYG,1:00PM EDT,20,0.0," "," "
nfl.p.30259,George,Kittle,TE,SF,NYG,SF@NYG,1:00PM EDT,25,7.3,O," "
