"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","29.1","19.0","227.7","1.6","0.6","11.4","70.7","0.5","0.2","24.1"
"","high","34.0","23.0","283.0","2.0","0.0","13.5","85.3","1.0","0.1","31.7"
"","low","23.1","14.7","186.5","1.1","1.0","10.2","62.9","0.2","0.3","21.7"
"Matt Ryan","ATL","39.1","27.4","316.6","2.3","0.8","1.7","5.8","0.1","0.2","20.8"
"","high","42.0","29.0","331.0","2.5","0.7","2.5","7.4","0.2","0.2","23.6"
"","low","38.0","26.4","304.6","2.0","1.0","1.0","3.0","0.0","0.3","21.2"
"Deshaun Watson","HOU","33.9","23.3","259.0","1.8","0.6","5.5","30.8","0.2","0.3","20.3"
"","high","38.0","25.0","277.0","2.0","0.0","6.1","39.3","0.4","0.2","24.5"
"","low","32.2","21.5","247.0","1.5","0.9","4.7","26.0","0.0","0.3","19.7"
"Russell Wilson","SEA","32.0","21.6","260.5","1.9","0.5","4.7","25.2","0.1","0.2","20.0"
"","high","34.0","24.0","282.0","2.2","0.0","5.2","27.2","0.2","0.1","24.8"
"","low","30.4","20.1","245.0","1.8","0.6","3.8","21.0","0.0","0.3","18.5"
"Jameis Winston","TB","40.3","24.7","323.4","1.9","1.3","3.1","14.6","0.1","0.4","19.3"
"","high","48.0","29.0","408.0","2.0","1.0","4.0","18.9","0.2","0.3","24.6"
"","low","37.5","22.8","290.0","1.8","1.6","2.0","12.5","0.0","0.4","18.4"
"Drew Brees","NO","36.0","27.0","284.1","2.0","0.5","0.9","1.5","0.0","0.1","18.8"
"","high","38.2","31.0","307.0","2.3","0.0","1.5","3.6","0.1","0.0","22.8"
"","low","35.0","24.0","255.0","1.9","0.7","0.0","0.0","0.0","0.1","17.1"
"Baker Mayfield","CLE","35.4","22.6","275.3","1.9","0.8","1.9","8.4","0.1","0.2","18.1"
"","high","37.0","24.0","287.0","2.0","0.0","2.8","14.3","0.2","0.1","22.7"
"","low","34.3","20.7","265.0","1.8","1.1","1.2","5.0","0.0","0.2","16.3"
"Dak Prescott","DAL","34.1","22.7","271.3","1.3","0.9","3.5","19.1","0.2","0.2","17.3"
