"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","George Kittle","SF","at ARI","1","3","1.1","0.2","13.1"
"2","undefined","","Darren Waller","OAK","vs. DET","1","3","2.1","0.5","12.9"
"3","undefined","","Travis Kelce","KC","vs. MIN","2","5","2.9","0.5","12.3"
"4","undefined","","Hunter Henry","LAC","vs. GB","2","6","4.1","0.5","12.1"
"5","undefined","","Evan Engram","NYG","vs. DAL","4","7","5.1","0.7","10.9"
"6","undefined","","Zach Ertz","PHI","vs. CHI","4","7","6.2","0.6","10.9"
"7","undefined","","Mark Andrews","BAL","vs. NE","5","7","6.5","0.6","10.6"
"8","undefined","","Greg Olsen","CAR","vs. TEN","8","11","8.4","0.6","8.8"
"9","undefined","","T.J. Hockenson","DET","at OAK","8","15","9.7","1.2","7.2"
"10","undefined","","Jonnu Smith","TEN","at CAR","8","17","10.9","1.9","6.5"
"11","undefined","","Dallas Goedert","PHI","vs. CHI","8","17","11.8","1.8","6.3"
"12","undefined","","Eric Ebron","IND","at PIT","10","20","11.9","1.9","6.2"
"13","undefined","","Jimmy Graham","GB","at LAC","9","14","12.4","1.0","6.0"
"14","undefined","","Cameron Brate","TB","at SEA","9","16","14.0","1.2","5.8"
"15","undefined","","Darren Fells","HOU","at JAC","9","18","15.1","1.8","5.6"
"16","undefined","","Jason Witten","DAL","at NYG","9","19","15.8","1.8","5.4"
"17","undefined","","Vance McDonald","PIT","vs. IND","14","22","16.9","1.1","5.3"
"18","undefined","","Jack Doyle","IND","at PIT","16","26","17.9","1.0","5.2"
"19","undefined","","Noah Fant","DEN","vs. CLE","12","24","18.3","2.3","5.2"
"20","undefined","","Kyle Rudolph","MIN","at KC","17","23","20.8","1.1","5.2"
"21","undefined","","Jordan Akins","HOU","at JAC","19","25","21.2","1.2","4.9"
"22","undefined","","Mike Gesicki","MIA","vs. NYJ","19","32","22.9","2.3","4.7"
"23","undefined","","Irv Smith Jr.","MIN","at KC","22","31","24.3","1.5","4.4"
"24","undefined","","Trey Burton","CHI","at PHI","23","27","25.2","1.3","4.3"
"25","undefined","","Benjamin Watson","NE","at BAL","21","30","25.6","2.1","4.3"
"26","undefined","","Dawson Knox","BUF","vs. WAS","22","36","25.7","3.7","4.2"
"27","undefined","","Jacob Hollister","SEA","vs. TB","19","34","27.6","2.7","4.0"
"28","undefined","","Ricky Seals-Jones","CLE","at DEN","25","34","29.3","1.9","3.8"
"29","undefined","","Ryan Griffin","NYJ","at MIA","20","48","30.3","6.3","3.7"
"30","undefined","","Foster Moreau","OAK","vs. DET","25","39","30.9","3.6","3.7"
