"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes","KC","36.8","26.4","327.2","2.8","0.5","3.3","13.8","0.1","0.1","24.9"
"Lamar Jackson","BAL","32.0","19.6","237.1","1.5","0.6","10.3","54.2","0.3","0.3","20.7"
"Deshaun Watson","HOU","33.6","22.2","265.8","1.9","0.8","5.4","30.4","0.2","0.3","20.5"
"Russell Wilson","SEA","31.2","20.1","245.6","2.0","0.5","4.7","24.3","0.1","0.3","19.1"
"Carson Wentz","PHI","34.5","23.1","252.7","2.1","0.5","3.6","14.0","0.1","0.2","18.6"
"Dak Prescott","DAL","30.6","19.9","246.1","1.6","0.5","3.2","16.7","0.2","0.2","18.3"
"Tom Brady","NE","36.3","24.5","274.3","1.9","0.5","1.4","2.6","0.1","0.1","18.3"
"Matt Ryan","ATL","38.7","26.7","301.9","1.8","0.8","1.7","6.8","0.0","0.2","18.2"
"Aaron Rodgers","GB","35.5","23.0","258.7","1.6","0.3","3.3","15.4","0.0","0.2","17.8"
"Philip Rivers","LAC","35.4","23.9","281.3","1.9","0.6","1.1","2.3","0.0","0.1","17.6"
"Jameis Winston","TB","35.4","22.9","300.5","1.6","1.2","2.7","11.5","0.1","0.2","17.5"
"Kyler Murray","ARI","36.8","23.4","257.3","1.4","1.0","5.5","27.7","0.2","0.3","17.2"
"Jared Goff","LAR","37.0","25.1","277.4","1.8","0.8","2.2","5.8","0.1","0.2","17.1"
"Jacoby Brissett","IND","35.4","21.0","242.7","1.7","0.6","3.5","14.3","0.1","0.2","17.0"
"Andy Dalton","CIN","36.9","23.5","254.3","1.8","0.9","1.8","7.1","0.1","0.2","16.4"
"Baker Mayfield","CLE","34.3","21.3","263.3","1.4","1.0","1.7","4.8","0.0","0.2","14.4"
"Jimmy Garoppolo","SF","31.2","20.4","248.8","1.5","0.9","2.2","4.9","0.0","0.2","14.3"
"Daniel Jones","NYG","34.6","22.9","231.8","1.2","1.0","4.3","21.7","0.1","0.2","14.2"
"Kirk Cousins","MIN","31.0","21.9","233.2","1.4","0.7","2.2","7.8","0.1","0.2","14.2"
"Gardner Minshew","JAC","32.1","22.2","219.5","1.1","0.7","3.7","16.3","0.1","0.2","13.5"
"Chase Daniel","CHI","31.7","20.1","226.8","1.4","0.9","2.7","7.4","0.0","0.2","13.2"
"Mason Rudolph","PIT","34.0","21.3","243.8","1.3","1.0","1.8","5.9","0.0","0.1","13.2"
"Marcus Mariota","TEN","28.6","18.2","190.0","1.1","0.6","3.9","22.9","0.1","0.2","13.0"
"Teddy Bridgewater","NO","31.6","21.0","216.8","1.3","0.8","2.1","8.6","0.0","0.1","13.0"
"Joe Flacco","DEN","36.3","24.0","241.6","1.1","0.8","1.1","2.8","0.0","0.1","12.5"
"Kyle Allen","CAR","33.6","20.7","230.5","1.3","1.0","1.6","5.3","0.0","0.2","12.5"
"Josh Allen","BUF","27.4","15.7","186.7","0.7","1.0","5.4","27.9","0.2","0.3","12.0"
"Derek Carr","OAK","31.7","21.9","204.4","1.0","0.7","1.5","4.4","0.0","0.2","11.0"
"Colt McCoy","WAS","31.4","17.8","198.9","0.7","1.3","2.4","9.6","0.0","0.2","8.9"
"Luke Falk","NYJ","30.7","19.0","188.1","0.8","1.0","1.3","3.7","0.0","0.2","8.8"
"Matt Barkley","BUF","17.3","10.1","107.5","0.3","0.6","1.1","2.7","0.0","0.1","4.4"
"Case Keenum","WAS","16.3","10.0","110.3","0.3","0.9","0.9","2.2","0.0","0.1","4.1"
"Dwayne Haskins","WAS","14.5","8.5","84.9","0.2","0.4","1.2","2.9","0.0","0.1","3.3"
"Taysom Hill","NO","6.3","3.7","38.6","0.1","0.1","1.5","4.8","0.0","0.1","2.1"
"Blake Bortles","LAR","3.4","1.9","18.4","0.1","0.2","0.7","3.7","0.0","0.1","1.0"
"Matt Moore","KC","1.5","1.1","13.4","0.1","0.0","0.2","0.2","0.0","0.0","1.0"
"Tyrod Taylor","LAC","1.5","0.9","9.4","0.1","0.0","1.2","4.0","0.0","0.0","0.9"
"Josh McCown","PHI","1.3","0.8","9.8","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"Robert Griffin","BAL","4.7","2.6","25.6","0.1","0.3","0.7","2.1","0.0","0.1","0.9"
"Brett Hundley","ARI","8.5","4.0","23.8","0.1","0.4","1.1","3.5","0.0","0.1","0.8"
"Ryan Tannehill","TEN","4.7","3.0","30.0","0.1","0.3","0.5","1.2","0.0","0.1","0.8"
"Brian Hoyer","IND","1.4","0.9","9.5","0.1","0.0","0.3","0.3","0.0","0.0","0.8"
"Geno Smith","SEA","7.9","4.6","42.1","0.0","0.4","0.7","0.6","0.0","0.1","0.8"
"Jarrett Stidham","NE","5.1","2.8","24.3","0.1","0.2","0.5","0.8","0.0","0.1","0.7"
"Ryan Finley","CIN","1.1","0.7","7.4","0.1","0.0","0.0","0.2","0.0","0.0","0.7"
"Eli Manning","NYG","1.4","0.9","9.6","0.1","0.0","0.2","0.9","0.0","0.1","0.7"
"Ryan Griffin","TB","4.1","2.3","22.1","0.1","0.2","0.4","0.8","0.0","0.1","0.7"
"Nick Mullens","SF","3.0","1.7","16.7","0.1","0.2","0.5","1.1","0.0","0.0","0.6"
"AJ McCarron","HOU","3.5","2.2","18.6","0.0","0.0","0.2","0.1","0.0","0.0","0.6"
"Mike Glennon","OAK","5.9","3.2","27.7","0.0","0.2","0.7","0.9","0.0","0.1","0.6"
"Joshua Dobbs","JAC","4.4","2.6","23.5","0.0","0.2","0.5","0.9","0.0","0.1","0.6"
"Will Grier","CAR","5.9","3.2","28.4","0.0","0.3","0.7","1.2","0.0","0.1","0.5"
"Matt Schaub","ATL","1.5","1.1","10.7","0.0","0.0","0.1","0.2","0.0","0.0","0.4"
"Devlin Hodges","PIT","5.6","3.0","26.9","0.0","0.3","0.6","1.1","0.0","0.1","0.4"
"Sean Mannion","MIN","4.4","2.3","20.5","0.0","0.2","0.6","0.6","0.0","0.1","0.4"
"Tim Boyle","GB","1.2","0.8","8.1","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"Cooper Rush","DAL","1.0","0.6","6.3","0.0","0.0","0.2","0.8","0.0","0.0","0.3"
""
""
