"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Derrick Henry","TEN","at NE","1","3","1.3","0.4","14.6"
"2","undefined","","Alvin Kamara","NO","vs. MIN","1","3","1.7","0.4","14.2"
"3","undefined","","Dalvin Cook","MIN","at NO","2","9","3.7","1.3","12.0"
"4","undefined","","Devin Singletary","BUF","at HOU","3","10","5.2","1.1","11.3"
"5","undefined","","Sony Michel","NE","vs. TEN","2","11","5.4","2.3","9.8"
"6","undefined","","Carlos Hyde","HOU","vs. BUF","4","11","7.0","1.7","9.3"
"7","undefined","","Boston Scott","PHI","vs. SEA","3","11","7.0","1.5","9.2"
"8","undefined","","Marshawn Lynch","SEA","at PHI","4","10","7.8","1.5","8.9"
"9","undefined","","Miles Sanders","PHI","vs. SEA","3","12","8.3","2.6","8.9"
"10","undefined","","James White","NE","vs. TEN","4","16","8.4","1.8","8.9"
"11","undefined","","Latavius Murray","NO","vs. MIN","8","13","10.8","0.7","6.7"
"12","undefined","","Travis Homer","SEA","at PHI","8","20","11.6","1.3","6.7"
"13","undefined","","Jordan Howard","PHI","vs. SEA","7","19","12.9","0.9","6.2"
"14","undefined","","Rex Burkhead","NE","vs. TEN","11","18","14.6","0.9","5.9"
"15","undefined","","Frank Gore","BUF","at HOU","13","19","15.7","1.2","4.3"
"16","undefined","","Duke Johnson","HOU","vs. BUF","12","18","16.3","1.2","4.0"
"17","undefined","","Mike Boone","MIN","at NO","14","25","16.8","2.3","3.6"
"18","undefined","","Alexander Mattison","MIN","at NO","14","24","18.3","2.2","2.5"
"19","undefined","","Robert Turbin","SEA","at PHI","15","21","18.3","1.2","3.4"
"20","undefined","","Brandon Bolden","NE","vs. TEN","17","22","19.4","1.1","1.5"
"21","undefined","","Dion Lewis","TEN","at NE","18","23","21.2","1.3","1.4"
"22","undefined","","Khari Blasingame","TEN","at NE","17","22","20.6","1.2","1.1"
"23","undefined","","Ameer Abdullah","MIN","at NO","21","25","23.2","1.0","1.0"
"24","undefined","","T.J. Yeldon","BUF ","at HOU","23","31","24.1","1.7","0.7"
"25","undefined","","CJ Ham","MIN","at NO","22","26","25.3","1.2","0.6"
"26","undefined","","Buddy Howell","HOU","vs. BUF","23","26","25.2","0.4","0.6"
"27","undefined","","Dalyn Dawkins","TEN","at NE","27","32","27.5","1.3","0.6"
"28","undefined","","Taiwan Jones","HOU","vs. BUF","27","30","28.1","0.6","0.4"
"29","undefined","","Patrick DiMarco","BUF","at HOU","25","29","28.9","0.2","0.3"
""
""
