ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.26631,Tavon,Austin,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,2.6," "," "
nfl.p.28392,Amari,Cooper,WR,DAL,BUF,BUF@DAL,4:30PM EST,30,14.4," "," "
nfl.p.28425,Devin,Smith,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,6.6," "," "
nfl.p.29238,Ezekiel,Elliott,RB,DAL,BUF,BUF@DAL,4:30PM EST,30,16.2," "," "
nfl.p.29369,Dak,Prescott,QB,DAL,BUF,BUF@DAL,4:30PM EST,35,22.6," "," "
nfl.p.30784,Blake,Jarwin,TE,DAL,BUF,BUF@DAL,4:30PM EST,10,5.3," "," "
nfl.p.30788,Cooper,Rush,QB,DAL,BUF,BUF@DAL,4:30PM EST,20,0.0," "," "
nfl.p.31051,Michael,Gallup,WR,DAL,BUF,BUF@DAL,4:30PM EST,22,12.7," "," "
nfl.p.31107,Dalton,Schultz,TE,DAL,BUF,BUF@DAL,4:30PM EST,10,0.6," "," "
nfl.p.31178,Cedrick,Wilson,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,2.4," "," "
nfl.p.31960,Tony,Pollard,RB,DAL,BUF,BUF@DAL,4:30PM EST,13,5.5," "," "
nfl.p.32556,Ventell,Bryant,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,0.0," "," "
nfl.p.32200,Jon'Vea,Johnson,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,0.0,IR," "
nfl.p.30899,Lance,Lenoir Jr.,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,0.0,IR," "
nfl.t.2,Buffalo,Bills,DEF,BUF,DAL,BUF@DAL,4:30PM EST,13,8.4," "," "
nfl.t.6,Dallas,Cowboys,DEF,DAL,BUF,BUF@DAL,4:30PM EST,14,7.0," "," "
nfl.p.5479,Drew,Brees,QB,NO,ATL,NO@ATL,8:20PM EST,31,17.4," "," "
nfl.p.8263,Ted,Ginn Jr.,WR,NO,ATL,NO@ATL,8:20PM EST,14,6.1," "," "
nfl.p.9353,Jared,Cook,TE,NO,ATL,NO@ATL,8:20PM EST,18,8.4," "," "
nfl.p.26804,Latavius,Murray,RB,NO,ATL,NO@ATL,8:20PM EST,16,10.2," "," "
nfl.p.26950,Josh,Hill,TE,NO,ATL,NO@ATL,8:20PM EST,10,3.7," "," "
nfl.p.27135,Zach,Line,RB,NO,ATL,NO@ATL,8:20PM EST,10,1.2,Q," "
nfl.p.27560,Teddy,Bridgewater,QB,NO,ATL,NO@ATL,8:20PM EST,20,13.2," "," "
nfl.p.29281,Michael,Thomas,WR,NO,ATL,NO@ATL,8:20PM EST,38,19.2," "," "
nfl.p.29470,Dwayne,Washington,RB,NO,ATL,NO@ATL,8:20PM EST,10,1.6," "," "
nfl.p.30180,Alvin,Kamara,RB,NO,ATL,NO@ATL,8:20PM EST,29,15.2," "," "
nfl.p.30487,Krishawn,Hogan,WR,NO,ATL,NO@ATL,8:20PM EST,10,0.0," "," "
