"Rank","Tier","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"128","undefined","","Dion Lewis","TEN","RB51","vs. IND","81","159","130.6","11.8"
"129","undefined","","Randall Cobb","DAL","WR61","at WAS","80","183","132.2","14.2"
"130","undefined","","Frank Gore","BUF","RB52","at NYG","65","179","134.4","12.9"
"131","undefined","","Kyle Rudolph","MIN","TE18","at GB","119","192","136.6","10.5"
"132","undefined","","Kenny Stills","HOU","WR62","vs. JAC","91","201","132.6","15.2"
"133","undefined","","Trey Quinn","WAS","WR63","vs. DAL","101","223","136.3","13.5"
"134","undefined","","Deebo Samuel","SF","WR64","at CIN","72","192","133.4","15.9"
"135","undefined","","Vernon Davis","WAS","TE19","vs. DAL","59","204","138.5","21.7"
"136","undefined","","Anthony Miller","CHI","WR65","at DEN","82","248","135.4","24.3"
"137","undefined","","Chris Conley","JAC","WR66","at HOU","78","181","137.8","18.1"
"138","undefined","","Dante Pettis","SF","WR67","at CIN","62","218","133.9","22.2"
"139","undefined","","Kalen Ballage","MIA","RB53","vs. NE","100","184","138.9","13.0"
"140","undefined","","Cole Beasley","BUF","WR68","at NYG","62","176","141.8","24.2"
"141","undefined","","Tre'Quan Smith","NO","WR69","at LAR","104","181","141.2","14.7"
"142","undefined","","Jack Doyle","IND","TE20","at TEN","117","221","146.6","14.7"
"143","undefined","","Nyheim Hines","IND","RB54","at TEN","103","179","147.7","8.4"
"144","undefined","","Dallas Goedert","PHI","TE21","at ATL","122","209","145.7","13.8"
"145","undefined","","Justice Hill","BAL","RB55","vs. ARI","111","199","146.6","14.7"
"146","undefined","","Rashard Higgins","CLE","WR70","at NYJ","104","181","148.5","11.6"
"147","undefined","","Jaylen Samuels","PIT","RB56","vs. SEA","97","193","154.1","11.0"
"148","undefined","","Jamaal Williams","GB","RB57","vs. MIN","112","190","153.8","12.4"
"149","undefined","","Noah Fant","DEN","TE22","vs. CHI","94","196","151.4","14.0"
"150","undefined","","Willie Snead","BAL","WR71","vs. ARI","104","189","151.9","11.8"
"151","undefined","","DaeSean Hamilton","DEN","WR72","vs. CHI","102","189","152.1","12.5"
"152","undefined","","Gus Edwards","BAL","RB58","vs. ARI","86","184","149.5","16.4"
"153","undefined","","Preston Williams","MIA","WR73","vs. NE","73","201","150.8","18.5"
"154","undefined","","Adam Humphries","TEN","WR74","vs. IND","76","200","153.8","13.4"
"155","undefined","","Alexander Mattison","MIN","RB59","at GB","84","190","154.7","13.9"
"156","undefined","","Paul Richardson","WAS","WR75","vs. DAL","92","183","154.3","16.7"
"157","undefined","","Taylor Gabriel","CHI","WR76","at DEN","106","205","155.1","11.8"
"158","undefined","","Darren Sproles","PHI","RB60","at ATL","85","205","159.2","22.1"
"159","undefined","","Zay Jones","BUF","WR77","at NYG","72","200","158.2","14.7"
"160","undefined","","Trey Burton","CHI","TE23","at DEN","94","225","147.8","19.2"
"161","undefined","","Jason Witten","DAL","TE24","at WAS","122","208","161.7","12.7"
"162","undefined","","KeeSean Johnson","ARI","WR78","at BAL","63","216","158.5","19.6"
"163","undefined","","Mike Gesicki","MIA","TE25","vs. NE","95","204","158.3","11.2"
"164","undefined","","Phillip Dorsett","NE","WR79","at MIA","57","189","160.5","19.5"
"165","undefined","","Demarcus Robinson","KC","WR80","at OAK","104","221","161.7","18.2"
"166","undefined","","Jalen Richard","OAK","RB61","vs. KC","97","205","165.0","17.6"
"167","undefined","","Dare Ogunbowale","TB","RB62","at CAR","112","199","169.4","17.4"
"168","undefined","","Parris Campbell","IND","WR81","at TEN","116","217","166.3","15.6"
"169","undefined","","Cody Latimer","NYG","WR82","vs. BUF","62","208","161.1","30.3"
"170","undefined","","Keke Coutee","HOU","WR83","vs. JAC","102","216","168.0","15.2"
"171","undefined","","Tony Pollard","DAL","RB63","at WAS","90","199","173.3","16.0"
"172","undefined","","Albert Wilson","MIA","WR84","vs. NE","98","235","153.1","26.6"
"173","undefined","","Travis Benjamin","LAC","WR85","at DET","86","213","165.3","32.8"
"174","undefined","","Miles Boykin","BAL","WR86","vs. ARI","118","242","171.5","16.5"
"175","undefined","","Hunter Renfrow","OAK","WR87","vs. KC","114","214","172.7","12.9"
"176","undefined","","C.J. Uzomah","CIN","TE26","vs. SF","119","228","175.4","17.8"
"177","undefined","","Gerald Everett","LAR","TE27","vs. NO","143","212","176.7","13.6"
"178","undefined","","Nelson Agholor","PHI","WR88","at ATL","99","206","172.1","14.3"
"179","undefined","","Ty Montgomery","NYJ","RB64","vs. CLE","96","244","177.9","23.4"
"180","undefined","","Darrell Henderson","LAR","RB65","vs. NO","111","305","176.0","15.9"
"181","undefined","","Cameron Brate","TB","TE28","at CAR","117","212","177.9","17.7"
"182","undefined","","Tyler Higbee","LAR","TE29","vs. NO","128","236","184.0","16.4"
"183","undefined","","Breshad Perriman","TB","WR89","at CAR","72","207","176.2","13.0"
"184","undefined","","Deon Cain","IND","WR90","at TEN","114","238","179.8","15.2"
"185","undefined","","Darwin Thompson","KC","RB66","at OAK","159","245","184.9","10.2"
"186","undefined","","Hayden Hurst","BAL","TE30","vs. ARI","132","222","190.4","10.9"
"187","undefined","","Will Dissly","SEA","TE31","at PIT","113","227","187.1","14.7"
"188","undefined","","Cordarrelle Patterson","CHI","WR91","at DEN","148","245","184.7","13.4"
"189","undefined","","Ryan Grant","OAK","WR92","vs. KC","131","223","186.5","12.5"
"190","undefined","","Robert Foster","BUF","WR93","at NYG","101","245","184.2","19.6"
"191","undefined","","Nick Vannett","SEA","TE32","at PIT","150","228","194.5","13.1"
"192","undefined","","Marqise Lee","JAC","WR94","at HOU","82","278","187.2","19.8"
"193","undefined","","Chase Edmonds","ARI","RB67","at BAL","159","270","194.3","11.7"
"194","undefined","","Damion Willis","CIN","WR95","vs. SF","116","233","194.3","15.2"
"195","undefined","","Ian Thomas","CAR","TE33","vs. TB","129","293","199.9","16.1"
"196","undefined","","Josh Reynolds","LAR","WR96","vs. NO","144","226","192.2","12.8"
"197","undefined","","Wayne Gallman","NYG","RB68","vs. BUF","136","205","195.5","10.8"
"198","undefined","","Jeff Wilson","SF","RB69","at CIN","96","205","190.7","13.4"
"199","undefined","","Jaron Brown","SEA","WR97","at PIT","138","240","196.8","17.1"
"200","undefined","","Kendrick Bourne","SF","WR98","at CIN","162","242","199.6","11.8"
"201","undefined","","J.J. Arcega-Whiteside","PHI","WR99","at ATL","151","339","201.5","20.5"
"202","undefined","","Bennie Fowler","NYG","WR100","vs. BUF","144","233","198.4","16.1"
"203","undefined","","Dontrell Hilliard","CLE","RB70","at NYJ","159","205","197.5","9.1"
"204","undefined","","Chris Hogan","CAR","WR101","vs. TB","126","282","208.1","15.4"
"205","undefined","","Jordan Akins","HOU","TE34","vs. JAC","154","237","200.9","10.2"
"206","undefined","","Keelan Cole","JAC","WR102","at HOU","164","248","208.4","11.3"
"207","undefined","","Diontae Johnson","PIT","WR103","vs. SEA","137","223","207.9","9.8"
"208","undefined","","Jakeem Grant","MIA","WR104","vs. NE","119","233","199.8","21.5"
"209","undefined","","Jake Kumerow","GB","WR105","vs. MIN","181","336","210.2","20.7"
"210","undefined","","Andy Isabella","ARI","WR106","at BAL","138","352","209.1","21.4"
"211","undefined","","Demaryius Thomas","NYJ","WR107","vs. CLE","134","247","205.4","24.0"
"212","undefined","","Chad Beebe","MIN","WR108","at GB","168","243","210.8","11.2"
"213","undefined","","Keith Kirkwood","NO","WR109","at LAR","182","271","213.4","12.9"
"214","undefined","","Blake Jarwin","DAL","TE35","at WAS","149","219","195.5","15.2"
"215","undefined","","Ryan Griffin","NYJ","TE36","vs. CLE","129","249","193.3","22.0"
"216","undefined","","Virgil Green","LAC","TE37","at DET","132","222","188.0","25.1"
"217","undefined","","Geoff Swaim","JAC","TE38","at HOU","132","225","196.1","17.0"
"218","undefined","","Ryquell Armstead","JAC","RB71","at HOU","159","241","195.6","11.1"
"219","undefined","","Dontrelle Inman","LAC","WR110","at DET","127","234","188.3","23.9"
"220","undefined","","Damien Harris","NE","RB72","at MIA","135","245","187.6","16.9"
"221","undefined","","Ryan Switzer","PIT","WR111","vs. SEA","148","239","200.2","19.6"
"222","undefined","","T.J. Yeldon","BUF","RB73","at NYG","160","304","195.8","21.9"
"223","undefined","","Damiere Byrd","ARI","WR112","at BAL","137","251","198.9","26.5"
"224","undefined","","Adam Shaheen","CHI","TE39","at DEN","166","234","209.4","14.8"
"225","undefined","","Irv Smith Jr.","MIN","TE40","at GB","139","254","218.1","13.9"
"226","undefined","","James O'Shaughnessy","JAC","TE41","at HOU","150","232","208.6","21.6"
"227","undefined","","Dawson Knox","BUF","TE42","at NYG","191","236","214.1","11.2"
"228","undefined","","Jarius Wright","CAR","WR113","vs. TB","168","242","210.9","17.1"
"229","undefined","","Charles Clay","ARI","TE43","at BAL","172","283","220.1","19.9"
"230","undefined","","Allen Hurns","MIA","WR114","vs. NE","143","244","207.0","24.6"
"231","undefined","","Jonnu Smith","TEN","TE44","vs. IND","191","237","220.6","8.9"
"232","undefined","","Richie James","SF","WR115","at CIN","164","246","216.1","20.1"
"233","undefined","","Jesse James","DET","TE45","vs. LAC","165","236","222.0","6.7"
"234","undefined","","Michael Crabtree","ARI","WR116","at BAL","98","255","203.8","33.3"
"235","undefined","","Kelvin Harmon","WAS","WR117","vs. DAL","137","248","224.5","14.0"
"236","undefined","","Alex Erickson","CIN","WR118","vs. SF","181","253","219.1","17.6"
"237","undefined","","Trayveon Williams","CIN","RB74","vs. SF","31","202","190.3","7.8"
"238","undefined","","J.J. Nelson","OAK","WR119","vs. KC","183","250","220.4","20.4"
"239","undefined","","De'Anthony Thomas","KC","WR120","at OAK","163","251","209.3","22.4"
"240","undefined","","Foster Moreau","OAK","TE46","vs. KC","185","253","230.4","10.3"
"241","undefined","","Jeff Heuerman","DEN","TE47","vs. CHI","208","256","232.1","9.6"
"242","undefined","","Tajae Sharpe","TEN","WR121","vs. IND","185","245","222.6","18.6"
"243","undefined","","Chester Rogers","IND","WR122","at TEN","168","256","216.5","24.4"
"244","undefined","","Nick Boyle","BAL","TE48","vs. ARI","215","247","233.3","7.3"
"245","undefined","","Tommy Sweeney","BUF","TE49","at NYG","215","246","229.1","9.2"
"246","undefined","","Demetrius Harris","CLE","TE50","at NYJ","220","272","235.0","11.1"
"247","undefined","","Matt LaCosse","NE","TE51","at MIA","193","252","227.1","13.0"
"248","undefined","","Josh Hill","NO","TE52","at LAR","208","249","233.9","7.9"
"249","undefined","","Justin Hardy","ATL","WR123","vs. PHI","146","245","216.6","26.2"
"250","undefined","","Ryan Izzo","NE","TE53","at MIA","192","253","229.1","17.4"
"251","undefined","","Rhett Ellison","NYG","TE54","vs. BUF","217","259","235.8","8.4"
"252","undefined","","Robert Tonyan","GB","TE55","vs. MIN","211","243","230.7","10.7"
"253","undefined","","Corey Clement","PHI","RB75","at ATL","141","313","203.7","53.5"
"254","undefined","","Seth Roberts","BAL","WR124","vs. ARI","175","256","216.9","24.6"
"255","undefined","","Marcedes Lewis","GB","TE56","vs. MIN","194","253","234.1","15.4"
"256","undefined","","Tevin Coleman","SF","RB76","at CIN","37","205","142.0","74.7"
"257","undefined","","Taywan Taylor","CLE","WR125","at NYJ","195","251","219.9","18.5"
"258","undefined","","Blake Bell","KC","TE57","at OAK","223","274","239.4","11.0"
"259","undefined","","Josh Bellamy","NYJ","WR126","vs. CLE","146","252","222.5","26.0"
"260","undefined","","DeAndre Washington","OAK","RB77","vs. KC","179","247","210.8","21.8"
"261","undefined","","Darren Fells","HOU","TE58","vs. JAC","200","252","238.5","12.8"
"262","undefined","","Bilal Powell","NYJ","RB78","vs. CLE","141","186","167.7","19.3"
"263","undefined","","David Moore","SEA","WR127","at PIT","176","210","192.8","16.8"
"264","undefined","","D'Ernest Johnson","CLE","RB79","at NYJ","171","237","194.8","25.8"
"265","undefined","","Jeremy Sprinkle","WAS","TE59","vs. DAL","214","301","243.1","19.0"
"266","undefined","","Devontae Booker","DEN","RB80","vs. CHI","169","291","219.2","42.9"
"267","undefined","","Verran Tucker","KC","WR128","at OAK","114","176","145.0","31.0"
"268","undefined","","Damion Ratley","CLE","WR129","at NYJ","178","248","220.7","20.7"
"269","undefined","","Tavon Austin","DAL","WR130","at WAS","201","228","215.4","9.0"
"270","undefined","","Sean Culkin","LAC","TE60","at DET","198","320","244.4","26.8"
"271","undefined","","Jalen Hurd","SF","WR131","at CIN","189","222","207.3","13.1"
"272","undefined","","Maxx Williams","ARI","TE61","at BAL","227","280","245.9","12.2"
"273","undefined","","Luke Stocker","ATL","TE62","vs. PHI","225","257","245.0","7.4"
"274","undefined","","Russell Shepard","NYG","WR132","vs. BUF","196","257","228.3","21.5"
"275","undefined","","Stephen Carlson","CLE","TE63","at NYJ","116","223","169.5","53.5"
"276","undefined","","Tyler Kroft","BUF","TE64","at NYG","147","238","214.0","38.7"
"277","undefined","","Jordan Scarlett","CAR","RB81","vs. TB","199","335","238.2","51.5"
"278","undefined","","Devin Funchess","IND ","WR133","at TEN","176","218","201.7","18.4"
"279","undefined","","Zach Pascal","IND","WR134","at TEN","206","234","224.8","6.7"
"280","undefined","","Ty Johnson","DET","RB82","vs. LAC","186","306","232.3","45.8"
"281","undefined","","Austin Seferian-Jenkins","FA","TE65","","144","229","186.5","42.5"
"282","undefined","","Justin Watson","TB","WR135","at CAR","211","357","251.4","54.6"
"283","undefined","","Ben Braunecker","CHI","TE66","at DEN","211","328","249.2","38.4"
