"Rank","Tier","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"27","undefined","","Leonard Fournette","JAC","RB18","at HOU","9","56","25.4","5.4"
"28","undefined","","Amari Cooper","DAL","WR9","at WAS","17","47","27.3","3.5"
"29","undefined","","Mike Evans","TB","WR10","at CAR","13","58","30.3","6.2"
"30","undefined","","Damien Williams","KC","RB19","at OAK","9","103","32.0","6.6"
"31","undefined","","Robert Woods","LAR","WR11","vs. NO","20","98","32.7","4.7"
"32","undefined","","Kerryon Johnson","DET","RB20","vs. LAC","11","56","32.8","5.0"
"33","undefined","","Adam Thielen","MIN","WR12","at GB","10","53","33.1","5.6"
"34","undefined","","Brandin Cooks","LAR","WR13","vs. NO","26","67","34.3","5.3"
"35","undefined","","Matt Breida","SF","RB21","at CIN","11","67","36.5","6.9"
"36","undefined","","T.Y. Hilton","IND","WR14","at TEN","14","55","38.1","5.8"
"37","undefined","","Aaron Jones","GB","RB22","vs. MIN","6","66","38.6","8.6"
"38","undefined","","Julian Edelman","NE","WR15","at MIA","17","61","39.2","5.2"
"39","undefined","","Cooper Kupp","LAR","WR16","vs. NO","14","62","40.6","6.0"
"40","undefined","","Tyler Lockett","SEA","WR17","at PIT","24","86","41.8","7.1"
"41","undefined","","Chris Godwin","TB","WR18","at CAR","24","68","42.1","6.0"
"42","undefined","","D.J. Moore","CAR","WR19","vs. TB","30","91","42.3","6.9"
"43","undefined","","Devonta Freeman","ATL","RB23","vs. PHI","20","96","43.8","11.0"
"44","undefined","","George Kittle","SF","TE2","at CIN","16","69","45.7","6.3"
"45","undefined","","Tyler Boyd","CIN","WR20","vs. SF","24","101","46.1","6.0"
"46","undefined","","Kenny Golladay","DET","WR21","vs. LAC","35","74","49.5","6.3"
"47","undefined","","Josh Gordon","NE","WR22","at MIA","30","86","49.7","8.5"
"48","undefined","","Allen Robinson","CHI","WR23","at DEN","26","104","52.2","6.6"
"49","undefined","","Stefon Diggs","MIN","WR24","at GB","36","136","52.3","9.0"
"50","undefined","","Alshon Jeffery","PHI","WR25","at ATL","30","86","53.2","5.5"
"51","undefined","","LeSean McCoy","KC","RB24","at OAK","23","133","54.6","17.1"
"52","undefined","","DeSean Jackson","PHI","WR26","at ATL","24","86","54.6","6.9"
"53","undefined","","Calvin Ridley","ATL","WR27","vs. PHI","29","73","54.7","5.9"
"54","undefined","","Devin Singletary","BUF","RB25","at NYG","18","112","54.8","12.6"
