"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Darren Waller","OAK","6.6","69.0","0.5","0.1","9.5"
"Austin Hooper","ATL","6.0","62.8","0.5","0.1","9.4"
"Evan Engram","NYG","5.1","63.9","0.5","0.1","9.0"
"George Kittle","SF","5.4","63.1","0.5","0.1","9.0"
"Travis Kelce","KC","5.1","63.9","0.4","0.0","8.9"
"Hunter Henry","LAC","5.0","58.8","0.4","0.1","8.4"
"Zach Ertz","PHI","5.3","55.3","0.2","0.1","6.4"
"Jimmy Graham","GB","3.4","38.8","0.4","0.0","6.3"
"Greg Olsen","CAR","3.8","45.1","0.1","0.0","5.4"
"Gerald Everett","LAR","3.3","39.9","0.2","0.0","5.0"
"T.J. Hockenson","DET","3.4","38.3","0.2","0.0","4.8"
"Eric Ebron","IND","3.1","36.0","0.2","0.0","4.6"
"Vance McDonald","PIT","3.0","32.6","0.2","0.0","4.4"
"Darren Fells","HOU","2.5","28.1","0.2","0.0","3.9"
"Dawson Knox","BUF","2.7","30.6","0.1","0.0","3.8"
"Kyle Rudolph","MIN","2.8","27.8","0.2","0.0","3.8"
"Dallas Goedert","PHI","3.0","31.6","0.1","0.1","3.7"
"Mike Gesicki","MIA","2.9","33.4","0.1","0.0","3.7"
"Cameron Brate","TB","2.6","26.8","0.2","0.0","3.6"
"Ricky Seals-Jones","CLE","1.9","27.6","0.1","0.0","3.5"
"Irv Smith Jr.","MIN","2.5","27.0","0.1","0.0","3.5"
"Jonnu Smith","TEN","2.5","29.3","0.1","0.0","3.5"
"Jordan Akins","HOU","2.1","27.9","0.1","0.0","3.5"
"Noah Fant","DEN","2.8","30.8","0.1","0.0","3.5"
"Josh Hill","NO","2.9","28.0","0.1","0.1","3.4"
"Jack Doyle","IND","3.2","28.7","0.1","0.1","3.4"
"Benjamin Watson","NE","2.4","26.7","0.1","0.0","3.4"
"Chris Herndon IV","NYJ","1.9","24.2","0.1","0.0","3.2"
"Trey Burton","CHI","2.8","25.9","0.1","0.0","3.1"
"Foster Moreau","OAK","2.2","23.5","0.1","0.0","2.9"
"Tyler Eifert","CIN","2.1","22.8","0.1","0.0","2.9"
"Jared Cook","NO","1.7","20.8","0.1","0.0","2.8"
"Jacob Hollister","SEA","1.9","19.2","0.1","0.0","2.8"
"Jeremy Sprinkle","WAS","2.5","23.4","0.1","0.0","2.7"
"Tyler Higbee","LAR","1.9","20.8","0.1","0.0","2.6"
"Marcedes Lewis","GB","1.6","18.4","0.1","0.0","2.5"
"Luke Willson","SEA","1.9","20.0","0.1","0.0","2.4"
"Josh Oliver","JAC","1.9","18.2","0.1","0.0","2.2"
"Charles Clay","ARI","1.6","17.0","0.1","0.0","2.1"
"Jesse James","DET","1.5","16.2","0.1","0.0","2.1"
"C.J. Uzomah","CIN","1.6","17.7","0.0","0.0","2.1"
"Jeff Heuerman","DEN","1.6","16.0","0.1","0.0","2.0"
"Dan Arnold","NO","1.5","16.4","0.1","0.0","2.0"
"Tyler Kroft","BUF","1.3","14.1","0.1","0.0","1.9"
"Maxx Williams","ARI","1.4","14.1","0.1","0.0","1.8"
"Nick Vannett","PIT","1.3","13.2","0.1","0.0","1.8"
"Seth DeValve","JAC","1.3","15.7","0.0","0.0","1.7"
"Adam Shaheen","CHI","1.3","13.0","0.1","0.0","1.7"
"Rhett Ellison","NYG","1.3","13.3","0.0","0.0","1.6"
"Demetrius Harris","CLE","1.2","11.7","0.1","0.0","1.5"
"Ryan Griffin","NYJ","1.3","12.7","0.0","0.0","1.5"
"Jace Sternberger","GB","0.7","8.3","0.1","0.0","1.4"
"Tanner Hudson","TB","0.7","8.1","0.1","0.0","1.4"
"Zach Gentry","PIT","0.8","8.0","0.1","0.0","1.4"
"Anthony Firkser","TEN","0.9","12.1","0.0","0.0","1.4"
"Ryan Izzo","NE","0.9","9.9","0.1","0.0","1.3"
"Tommy Sweeney","BUF","0.9","10.3","0.1","0.0","1.3"
"Derek Carrier","OAK","1.0","9.6","0.0","0.0","1.2"
"Geoff Swaim","JAC","0.8","8.2","0.1","0.0","1.2"
"Robert Tonyan","GB","0.7","9.0","0.0","0.0","1.2"
"Mo Alie-Cox","IND","0.9","9.6","0.0","0.0","1.1"
"Logan Thomas","DET","0.9","8.6","0.0","0.0","1.0"
"Nick O'Leary","MIA","0.7","9.1","0.0","0.0","0.9"
"Virgil Green","LAC","0.8","8.7","0.0","0.0","0.9"
"Luke Stocker","ATL","0.9","7.4","0.0","0.0","0.9"
"Andrew Beck","DEN","0.8","8.6","0.0","0.0","0.9"
"Ross Dwelley","SF","0.7","6.7","0.0","0.0","0.9"
"Pharaoh Brown","CLE","0.7","8.0","0.0","0.0","0.8"
"Drew Sample","CIN","0.7","7.7","0.0","0.0","0.8"
"Matt LaCosse","NE","0.6","6.4","0.0","0.0","0.8"
"Levine Toilolo","SF","0.5","5.7","0.0","0.0","0.8"
"Lee Smith","BUF","0.7","5.6","0.0","0.0","0.8"
"Durham Smythe","MIA","0.6","6.8","0.0","0.0","0.7"
"MyCole Pruitt","TEN","0.5","5.0","0.0","0.0","0.7"
"Deon Yelder","KC","0.4","4.8","0.0","0.0","0.6"
"Blake Bell","KC","0.6","5.9","0.0","0.0","0.6"
"Antony Auclair","TB","0.5","5.1","0.0","0.0","0.6"
"Ben Koyack","JAC","0.7","6.0","0.0","0.0","0.6"
"Hale Hentges","WAS","0.7","6.0","0.0","0.0","0.6"
"Ian Thomas","CAR","0.4","4.2","0.0","0.0","0.6"
"Ben Braunecker","CHI","0.4","5.1","0.0","0.0","0.5"
"Lance Kendricks","LAC","0.5","4.8","0.0","0.0","0.5"
"Eric Tomlinson","NE","0.5","5.0","0.0","0.0","0.5"
"Jaeden Graham","ATL","0.4","4.3","0.0","0.0","0.5"
"J.P. Holtz","CHI","0.4","4.4","0.0","0.0","0.5"
"Tyler Conklin","MIN","0.4","3.9","0.0","0.0","0.4"
"Daniel Brown","NYJ","0.3","3.3","0.0","0.0","0.4"
"Troy Fumagalli","DEN","0.4","3.6","0.0","0.0","0.4"
"Chris Manhertz","CAR","0.3","3.1","0.0","0.0","0.3"
"Jerome Cunningham","WAS","0.3","2.5","0.0","0.0","0.3"
"Trevon Wesco","NYJ","0.3","2.5","0.0","0.0","0.3"
"Garrett Celek","SF","0.1","1.4","0.0","0.0","0.2"
"Cethan Carter","CIN","0.2","1.6","0.0","0.0","0.2"
"Johnny Mundt","LAR","0.1","0.9","0.0","0.0","0.1"
"Evan Baylis","GB","0.1","1.0","0.0","0.0","0.1"
"Darrell Daniels","ARI","0.1","0.8","0.0","0.0","0.1"
"Kaden Smith","NYG","0.0","0.0","0.0","0.0","0.0"
""
""
