"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Christian McCaffrey","CAR","vs. WAS","1","3","1.3","0.4","18.3"
"2","undefined","","Dalvin Cook","MIN","at SEA","2","7","2.5","0.8","17.3"
"3","undefined","","Ezekiel Elliott","DAL","vs. BUF","1","4","2.9","0.9","15.3"
"4","undefined","","Alvin Kamara","NO","at ATL","3","7","4.2","1.1","15.0"
"5","undefined","","Derrick Henry","TEN","at IND","1","11","4.6","1.5","14.3"
"6","undefined","","Saquon Barkley","NYG","vs. GB","4","11","7.3","1.9","14.0"
"7","undefined","","Le'Veon Bell","NYJ","at CIN","3","16","8.5","1.9","13.9"
"8","undefined","","Aaron Jones","GB","at NYG","5","11","8.5","1.2","14.0"
"9","undefined","","Nick Chubb","CLE","at PIT","5","13","8.7","1.9","13.7"
"10","undefined","","Josh Jacobs","OAK","at KC","6","14","9.2","1.6","13.2"
"11","undefined","","Leonard Fournette","JAC","vs. TB","5","24","9.4","2.2","13.1"
"12","undefined","","Todd Gurley","LAR","at ARI","8","17","12.6","1.7","12.9"
"13","undefined","","Melvin Gordon","LAC","at DEN","9","16","13.4","1.3","12.6"
"14","undefined","","Mark Ingram","BAL","vs. SF","12","18","14.0","1.7","12.2"
"15","undefined","","Chris Carson","SEA","vs. MIN","12","39","15.3","2.2","11.2"
"16","undefined","","Phillip Lindsay","DEN","vs. LAC","11","17","15.8","1.4","11.2"
"17","undefined","","Miles Sanders","PHI","at MIA","10","22","16.2","2.3","10.7"
"18","undefined","","Devin Singletary","BUF","at DAL","18","28","19.7","2.1","10.5"
"19","undefined","","Joe Mixon","CIN","vs. NYJ","16","36","19.9","2.6","10.7"
"20","undefined","","David Montgomery","CHI","at DET","18","28","20.9","1.8","10.1"
"21","undefined","","Ronald Jones II","TB","at JAC","9","28","21.5","2.7","10.1"
"22","undefined","","Jonathan Williams","IND","vs. TEN","16","33","23.2","1.8","9.9"
"23","undefined","","Austin Ekeler","LAC","at DEN","17","29","23.4","2.1","9.6"
"24","undefined","","Sony Michel","NE","at HOU","19","33","23.7","3.2","9.9"
"25","undefined","","Tevin Coleman","SF","at BAL","18","40","24.3","4.1","9.6"
"26","undefined","","Kenyan Drake","ARI","vs. LAR","17","30","26.6","1.8","9.4"
"27","undefined","","Bo Scarbrough","DET","vs. CHI","18","34","26.9","2.9","8.7"
"28","undefined","","Benny Snell Jr.","PIT","vs. CLE","19","33","28.6","2.5","8.6"
"29","undefined","","LeSean McCoy","KC","vs. OAK","14","42","31.0","5.3","8.5"
"30","undefined","","Kareem Hunt","CLE","at PIT","26","38","31.8","2.5","8.5"
"31","undefined","","Carlos Hyde","HOU","vs. NE","18","37","32.1","3.0","8.0"
"32","undefined","","Devonta Freeman","ATL","vs. NO","20","80","32.2","13.0","7.5"
"33","undefined","","Jamaal Williams","GB","at NYG","26","38","32.2","2.8","8.4"
"34","undefined","","Latavius Murray","NO","at ATL","26","63","33.7","2.8","7.3"
"35","undefined","","Tarik Cohen","CHI","at DET","25","41","35.3","2.1","7.3"
"36","undefined","","James White","NE","at HOU","32","44","35.7","2.3","7.2"
"37","undefined","","Darrel Williams","KC","vs. OAK","19","46","36.3","5.4","7.0"
"38","undefined","","Derrius Guice","WAS","at CAR","27","43","36.5","3.2","7.2"
"39","undefined","","Rashaad Penny","SEA","vs. MIN","27","46","36.7","2.7","7.2"
"40","undefined","","Royce Freeman","DEN","vs. LAC","35","48","39.0","1.7","6.8"
"41","undefined","","Adrian Peterson","WAS","at CAR","39","48","41.3","1.4","6.8"
"42","undefined","","Jay Ajayi","PHI","at MIA","34","59","41.7","4.7","6.6"
"43","undefined","","Duke Johnson","HOU","vs. NE","39","54","43.8","2.1","6.5"
"44","undefined","","Jaylen Samuels","PIT","vs. CLE","37","53","44.9","2.4","6.4"
"45","undefined","","Kalen Ballage","MIA","vs. PHI","30","55","45.4","2.1","6.1"
"46","undefined","","David Johnson","ARI","vs. LAR","38","68","46.4","5.0","5.8"
"47","undefined","","Raheem Mostert","SF","at BAL","42","61","46.8","3.2","5.7"
"48","undefined","","Peyton Barber","TB","at JAC","43","54","47.7","2.3","5.6"
"49","undefined","","Frank Gore","BUF","at DAL","41","52","48.3","2.2","5.5"
"50","undefined","","Gus Edwards","BAL","vs. SF","38","62","50.4","3.7","5.3"
"51","undefined","","Nyheim Hines","IND","vs. TEN","47","58","51.5","1.9","5.0"
"52","undefined","","Patrick Laird","MIA","vs. PHI","45","59","52.1","2.2","5.0"
"53","undefined","","Rex Burkhead","NE","at HOU","43","56","52.6","2.1","4.4"
"54","undefined","","J.D. McKissic","DET","vs. CHI","50","58","54.5","2.3","4.3"
"55","undefined","","Alexander Mattison","MIN","at SEA","41","64","56.5","4.2","4.2"
"56","undefined","","Brian Hill","ATL","vs. NO","47","72","56.5","4.5","4.1"
"57","undefined","","Giovani Bernard","CIN","vs. NYJ","53","59","56.8","1.4","4.0"
"58","undefined","","Tony Pollard","DAL","vs. BUF","50","66","59.3","3.7","3.8"
"59","undefined","","Qadree Ollison","ATL","vs. NO","47","74","61.2","6.3","3.5"
"60","undefined","","Jalen Richard","OAK","at KC","56","71","61.6","4.1","3.8"
"61","undefined","","Jordan Wilkins","IND","vs. TEN","49","69","62.3","4.2","3.4"
"62","undefined","","Chase Edmonds","ARI","vs. LAR","45","67","60.7","4.8","3.4"
"63","undefined","","Dion Lewis","TEN","at IND","55","73","63.7","3.8","3.3"
"64","undefined","","Bilal Powell","NYJ","at CIN","57","74","65.6","4.3","3.3"
"65","undefined","","Ty Johnson","DET","vs. CHI","57","72","67.8","2.9","3.3"
"66","undefined","","Malcolm Brown","LAR","at ARI","52","74","67.4","3.9","3.1"
"67","undefined","","Boston Scott","PHI","at MIA","54","73","62.5","5.1","3.0"
"68","undefined","","DeAndre Washington","OAK","at KC","60","74","67.0","3.0","3.0"
"69","undefined","","Jeff Wilson","SF","at BAL","56","78","65.6","6.0","2.9"
"70","undefined","","Dare Ogunbowale","TB","at JAC","63","75","71.3","2.3","2.9"
"71","undefined","","Justice Hill","BAL","vs. SF","65","81","74.4","3.2","2.9"
"72","undefined","","Myles Gaskin","MIA","vs. PHI","55","79","69.9","3.7","2.9"
"73","undefined","","Darrell Henderson","LAR","at ARI","60","82","74.2","5.1","2.8"
"74","undefined","","Wayne Gallman","NYG","vs. GB","68","82","76.3","2.8","2.8"
"75","undefined","","Trey Edmunds","PIT","vs. CLE","64","87","75.2","4.9","2.6"
"76","undefined","","Ryquell Armstead","JAC","vs. TB","69","86","75.4","4.1","2.7"
"77","undefined","","Chris Thompson","WAS ","at CAR","43","96","75.5","9.1","2.4"
"78","undefined","","Ty Montgomery","NYJ","at CIN","69","81","78.1","1.9","2.6"
"79","undefined","","Kerrith Whyte","PIT","vs. CLE","62","85","68.6","6.6","1.9"
"80","undefined","","Wendell Smallwood","WAS","at CAR","68","93","79.6","5.4","1.8"
"81","undefined","","Brandon Bolden","NE","at HOU","66","81","77.8","2.1","1.7"
"82","undefined","","Reggie Bonnafon","CAR","vs. WAS","76","88","82.3","2.9","1.6"
"83","undefined","","Kenjon Barner","ATL","vs. NO","78","89","84.0","3.1","1.6"
"84","undefined","","Alex Armah","CAR","vs. WAS","80","92","83.6","3.2","1.4"
"85","undefined","","Kyle Juszczyk","SF","at BAL","74","94","88.4","4.0","1.3"
"86","undefined","","Ryan Nall","CHI","at DET","79","92","86.2","3.2","1.3"
"87","undefined","","Josh Adams","NYJ","at CIN","82","96","87.8","4.8","1.3"
"88","undefined","","Ameer Abdullah","MIN","at SEA","73","94","89.2","2.2","1.3"
"89","undefined","","Devontae Booker","DEN","vs. LAC","86","93","90.1","1.8","1.3"
"90","undefined","","Darwin Thompson","KC","vs. OAK","75","95","84.9","7.9","1.2"
"91","undefined","","Dontrell Hilliard","CLE","at PIT","86","95","90.6","2.3","1.2"
"92","undefined","","Elijhaa Penny","NYG","vs. GB","87","96","92.4","2.9","1.0"
"93","undefined","","Alec Ingold","OAK","at KC","84","93","87.3","2.6","1.2"
"94","undefined","","CJ Ham","MIN","at SEA","85","97","90.9","4.7","1.0"
"95","undefined","","T.J. Logan","TB","at JAC","89","102","93.6","3.6","0.9"
"96","undefined","","Patrick DiMarco","BUF","at DAL","93","98","95.3","1.7","0.9"
"97","undefined","","Dan Vitale","GB","at NYG","95","105","99.8","3.6","0.8"
"98","undefined","","Derek Watt","LAC","at DEN","96","104","99.8","2.7","0.7"
"99","undefined","","Anthony Sherman","KC","vs. OAK","89","107","98.5","6.5","0.6"
"100","undefined","","Justin Jackson","LAC","at DEN","84","97","90.5","6.5","0.8"
"101","undefined","","Dwayne Washington","NO","at ATL","92","99","95.5","3.5","0.6"
"102","undefined","","Damien Harris","NE","at HOU","97","100","98.5","1.5","0.5"
"103","undefined","","Travis Homer","SEA","vs. MIN","98","100","99.0","1.0","0.5"
"104","undefined","","D'Ernest Johnson","CLE","at PIT","99","103","101.0","2.0","0.4"
"105","undefined","","C.J. Prosise","SEA","vs. MIN","102","103","102.5","0.5","0.4"
"106","undefined","","Troymaine Pope","LAC","at DEN","98","110","104.0","6.0","0.3"
"107","undefined","","Jamize Olawale","DAL","vs. BUF","107","109","108.0","1.0","0.2"
