"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","9.1","97.0","0.7","0.0","-0.1","0.0","0.1","13.7"
"","high","10.0","113.0","1.0","0.0","0.0","0.0","0.1","17.3"
"","low","6.7","79.5","0.4","0.0","-0.4","0.0","0.1","12.9"
"DeAndre Hopkins","HOU","6.5","76.5","0.5","0.1","0.5","0.0","0.1","10.7"
"","high","7.5","85.3","1.0","0.2","1.1","0.0","0.0","14.4"
"","low","4.9","63.0","0.2","0.0","0.0","0.0","0.1","9.6"
"Stefon Diggs","MIN","5.1","75.6","0.5","0.3","2.3","0.0","0.1","10.4"
"","high","6.0","87.0","1.0","0.4","3.3","0.0","0.0","14.7"
"","low","4.3","54.2","0.1","0.3","1.7","0.0","0.1","10.2"
"A.J. Brown","TEN","4.2","68.9","0.5","0.3","3.5","0.0","0.0","10.0"
"","high","5.0","77.5","1.0","0.6","4.3","0.1","0.0","12.8"
"","low","3.2","59.0","0.2","0.2","3.0","0.0","0.0","8.3"
"Julian Edelman","NE","6.1","69.6","0.5","0.5","3.1","0.0","0.1","10.0"
"","high","7.0","77.0","1.0","0.7","5.0","0.0","0.1","13.7"
"","low","5.3","61.6","0.1","0.2","1.6","0.0","0.1","8.8"
"Tyler Lockett","SEA","4.7","65.0","0.6","0.4","1.9","0.0","0.0","9.9"
"","high","5.7","81.8","1.0","0.5","3.6","0.0","0.0","12.4"
"","low","3.8","55.0","0.3","0.0","0.1","0.0","0.1","8.9"
"John Brown","BUF","4.5","67.7","0.5","0.2","1.1","0.0","0.0","9.6"
"","high","5.0","77.6","1.0","0.5","2.0","0.0","0.0","13.5"
"","low","3.8","56.7","0.3","0.1","0.5","0.0","0.1","8.6"
"D.K. Metcalf","SEA","3.8","58.7","0.5","0.1","0.4","0.0","0.1","8.6"
"","high","5.0","74.0","1.0","0.1","0.7","0.0","0.0","13.4"
"","low","2.9","48.0","0.3","0.0","0.0","0.0","0.2","7.2"
"Greg Ward","PHI","4.4","51.6","0.4","0.4","2.1","0.0","0.0","7.6"
"","high","5.0","66.0","1.0","0.9","5.0","0.0","0.0","12.6"
"","low","3.8","46.4","0.1","0.1","0.8","0.0","0.1","6.2"
"Adam Thielen","MIN","4.4","58.0","0.3","0.2","1.0","0.0","0.1","7.4"
"","high","5.4","68.0","0.5","0.3","1.8","0.0","0.0","10.0"
"","low","3.8","50.4","0.0","0.0","0.0","0.0","0.1","5.4"
"Cole Beasley","BUF","4.7","52.0","0.2","0.0","0.0","0.0","0.0","6.4"
"","high","5.8","59.8","0.4","0.0","0.1","0.0","0.0","8.3"
"","low","3.4","36.0","0.0","0.0","0.0","0.0","0.1","5.3"
"Kenny Stills","HOU","3.4","42.4","0.2","0.0","0.0","0.0","0.0","5.4"
"","high","4.0","54.7","0.4","0.0","0.0","0.0","0.0","7.8"
"","low","1.8","27.4","0.0","0.0","0.0","0.0","0.0","3.7"
"Corey Davis","TEN","3.4","44.0","0.1","0.1","0.7","0.0","0.0","5.2"
"","high","4.0","47.6","0.3","0.1","1.3","0.0","0.0","5.7"
"","low","3.0","40.0","0.0","0.0","0.0","0.0","0.0","4.6"
"Mohamed Sanu","NE","3.7","40.5","0.2","0.1","0.7","0.0","0.0","5.1"
"","high","5.2","54.0","0.3","0.3","1.3","0.0","0.0","7.4"
"","low","2.9","32.5","0.0","0.0","0.0","0.0","0.0","3.9"
