"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"257","Benjamin Watson","NE","te","10","BUF","1.8","10","0","0","0","0","0","0","0","0","0","1.2329","0.9011","9.273","0.0749","0.0048","0.0024","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"258","Clive Walford","MIA","te","5","CIN","1.8","10","0","0","0","0","0","0","0","0","0","1.2328","0.8845","9.3661","0.0699","0.003","0.0015","0.0021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"259","Wendell Smallwood","WAS","rb","10","NYG","1.6","10","0","0","0","0","0","0","1.48","5.6858","0.029","0.7438","0.5716","4.2217","0.0222","0.0121","0.006","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"260","Mecole Hardman","KC","wr","12","@CHI","2.7","11","0","0","0","0","0","0","0.2093","1.3502","0.0058","1.9246","1.1867","13.0632","0.0896","0.0452","0.0226","0.003","41.2634","0.028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"261","Jakobi Meyers","NE","wr","10","BUF","2.7","10","0","0","0","0","0","0","0","0","0","2.0761","1.3306","15.1174","0.0854","0.0057","0.0029","0.0031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"262","Keelan Doss","OAK","wr","6","@LAC","2.7","10","0","0","0","0","0","0","0","0","0","2.0456","1.2673","14.3326","0.1037","0.0055","0.0027","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"263","Derek Carrier","OAK","te","6","@LAC","1.7","10","0","0","0","0","0","0","0","0","0","1.2285","0.8656","8.5426","0.0644","0.0029","0.0015","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"264","Robert Tonyan","GB","te","11","@MIN","1.7","10","0","0","0","0","0","0","0","0","0","1.1249","0.8161","9.4505","0.0531","0.0028","0.0014","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"265","Javorius Allen","NYG","rb","11","@WAS","1.5","10","0","0","0","0","0","0","2.1783","7.9947","0.0527","0.3889","0.3089","1.9948","0.0107","0.0063","0.0032","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"266","Ryquell Armstead","JAX","rb","10","@ATL","1.5","10","0","0","0","0","0","0","1.271","4.9974","0.0295","0.7533","0.6014","4.1818","0.0174","0.0072","0.0036","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
