"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Derrick Henry","TEN","19.7","92.8","0.7","1.8","15.0","0.1","0.2","15.0"
"","high","23.0","99.0","1.0","3.0","21.0","0.1","0.1","18.0"
"","low","16.0","79.4","0.4","1.2","12.5","0.0","0.2","13.3"
"Alvin Kamara","NO","13.1","63.3","0.6","5.5","40.6","0.1","0.1","14.6"
"","high","15.2","71.9","1.0","6.2","47.6","0.2","0.0","16.6"
"","low","10.2","53.6","0.4","5.0","34.0","0.0","0.2","12.6"
"Dalvin Cook","MIN","15.9","69.4","0.6","3.9","33.5","0.1","0.2","13.7"
"","high","17.6","82.0","1.0","4.3","39.7","0.1","0.1","17.7"
"","low","11.6","46.0","0.3","3.5","27.0","0.0","0.2","9.3"
"Devin Singletary","BUF","15.1","71.5","0.5","2.9","21.1","0.1","0.1","12.4"
"","high","19.2","83.0","1.0","3.0","25.0","0.2","0.1","14.4"
"","low","10.6","63.0","0.1","2.5","16.4","0.0","0.2","12.1"
"Miles Sanders","PHI","11.4","52.7","0.4","3.5","31.4","0.1","0.1","11.2"
"","high","14.0","61.2","1.0","4.0","36.6","0.2","0.1","14.8"
"","low","8.8","39.0","0.1","3.0","27.0","0.0","0.2","9.2"
"Sony Michel","NE","16.2","64.0","0.5","0.8","4.9","0.0","0.1","9.9"
"","high","18.2","80.3","1.0","1.4","7.0","0.0","0.1","11.5"
"","low","14.0","55.0","0.3","0.0","0.0","0.0","0.2","8.6"
"Carlos Hyde","HOU","15.7","67.0","0.5","1.0","5.2","0.0","0.1","9.8"
"","high","17.5","73.0","1.0","2.7","10.3","0.1","0.1","12.8"
"","low","14.2","59.7","0.3","0.0","0.0","0.0","0.1","8.1"
"Marshawn Lynch","SEA","12.7","52.6","0.5","1.5","11.0","0.0","0.1","9.2"
"","high","14.0","57.7","1.0","2.3","18.2","0.1","0.0","10.3"
"","low","11.0","43.0","0.2","0.0","0.0","0.0","0.1","8.5"
"Travis Homer","SEA","10.9","47.2","0.1","2.3","16.8","0.0","0.1","7.4"
"","high","13.0","51.0","0.3","3.0","23.0","0.1","0.1","9.4"
"","low","9.7","39.0","0.0","0.2","2.0","0.0","0.1","4.9"
"James White","NE","4.1","16.2","0.1","4.5","39.3","0.2","0.1","7.1"
"","high","5.0","19.0","0.2","5.1","44.8","0.3","0.0","7.8"
"","low","3.4","13.0","0.0","3.6","30.9","0.0","0.1","6.1"
"Boston Scott","PHI","6.9","29.8","0.2","3.2","24.9","0.1","0.1","6.9"
"","high","9.9","41.7","0.4","4.1","37.1","0.2","0.0","9.5"
"","low","1.2","5.0","0.0","1.5","12.0","0.0","0.1","2.1"
"Latavius Murray","NO","9.3","38.2","0.2","1.7","10.8","0.0","0.1","6.2"
"","high","13.6","50.5","0.4","2.3","13.0","0.1","0.0","7.8"
"","low","6.0","25.0","0.0","1.0","7.0","0.0","0.1","3.2"
"Rex Burkhead","NE","6.6","27.0","0.1","2.3","20.9","0.0","0.1","5.5"
"","high","8.7","35.9","0.3","2.8","25.4","0.1","0.1","6.8"
