"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Zach Ertz","PHI","vs. SEA","1","3","1.2","0.4","10.1"
"2","undefined","","Darren Waller","OAK","at NYJ","1","5","2.4","0.7","8.9"
"3","undefined","","Mark Andrews","BAL","at LAR","2","6","3.3","0.7","8.6"
"4","undefined","","Jared Cook","NO","vs. CAR","2","28","5.1","1.6","8.2"
"5","undefined","","George Kittle","SF ","vs. GB","1","23","5.5","5.2","8.1"
"6","undefined","","Greg Olsen","CAR","at NO","5","10","6.3","0.9","6.9"
"7","undefined","","Dallas Goedert","PHI","vs. SEA","4","10","7.5","1.1","6.2"
"8","undefined","","Jacob Hollister","SEA","at PHI","5","29","8.9","2.0","6.1"
"9","undefined","","Ryan Griffin","NYJ","vs. OAK","5","16","9.1","2.6","5.9"
"10","undefined","","Vance McDonald","PIT","at CIN","4","17","9.5","1.9","5.8"
"11","undefined","","Gerald Everett","LAR","vs. BAL","7","17","10.5","1.4","5.7"
"12","undefined","","Eric Ebron","IND","at HOU","6","14","11.0","1.6","5.6"
"13","undefined","","Noah Fant","DEN","at BUF","7","20","13.1","1.2","5.3"
"14","undefined","","Cameron Brate","TB","at ATL","10","23","13.7","1.7","5.2"
"15","undefined","","Jack Doyle","IND","at HOU","14","22","16.4","1.9","5.1"
"16","undefined","","Darren Fells","HOU","vs. IND","7","24","16.6","2.8","4.9"
"17","undefined","","Mike Gesicki","MIA","at CLE","15","24","18.1","2.0","4.9"
"18","undefined","","T.J. Hockenson","DET","at WAS","8","23","18.2","2.5","4.7"
"19","undefined","","Jimmy Graham","GB","at SF","14","25","18.5","2.5","4.7"
"20","undefined","","Jason Witten","DAL","at NE","15","25","19.9","1.7","4.5"
"21","undefined","","Tyler Eifert","CIN","vs. PIT","17","24","21.0","1.9","4.4"
"22","undefined","","Dawson Knox","BUF","vs. DEN","11","27","22.1","3.4","4.1"
"23","undefined","","O.J. Howard","TB","at ATL","18","32","24.2","3.5","4.0"
"24","undefined","","Ross Dwelley","SF","vs. GB","21","37","28.5","4.8","4.0"
"25","undefined","","Jonnu Smith","TEN","vs. JAC","12","27","22.7","3.5","4.0"
"26","undefined","","Benjamin Watson","NE","vs. DAL","13","25","22.3","2.8","3.9"
"27","undefined","","Jordan Akins","HOU","vs. IND","24","34","29.4","2.6","3.9"
"28","undefined","","Ben Braunecker","CHI","vs. NYG","25","34","30.8","2.7","3.8"
"29","undefined","","Jeremy Sprinkle","WAS","vs. DET","28","35","30.9","1.9","3.8"
"30","undefined","","Foster Moreau","OAK","at NYJ","18","37","32.8","3.1","3.8"
"31","undefined","","Demetrius Harris","CLE","vs. MIA","23","35","28.9","3.0","3.4"
"32","undefined","","Nick Boyle","BAL","at LAR","26","34","28.9","2.1","3.4"
"33","undefined","","Blake Jarwin","DAL","at NE","28","36","32.1","2.2","3.4"
"34","undefined","","Hayden Hurst","BAL","at LAR","27","39","33.1","2.8","3.2"
"35","undefined","","Jaeden Graham","ATL","vs. TB","20","38","31.9","5.2","3.0"
"36","undefined","","Tyler Higbee","LAR","vs. BAL","26","45","36.0","4.4","2.9"
"37","undefined","","Delanie Walker","TEN ","vs. JAC","13","44","23.6","11.4","2.8"
"38","undefined","","Luke Stocker","ATL","vs. TB","35","46","38.3","4.1","2.7"
"39","undefined","","Kaden Smith","NYG","at CHI","24","43","32.2","8.0","2.7"
"40","undefined","","Ricky Seals-Jones","CLE","vs. MIA","21","44","37.2","3.9","2.7"
"41","undefined","","Josh Hill","NO","vs. CAR","38","41","39.0","1.3","2.7"
"42","undefined","","C.J. Uzomah","CIN","vs. PIT","39","44","40.8","2.0","2.6"
"43","undefined","","Nick Vannett","PIT","at CIN","40","48","44.0","3.2","2.5"
"44","undefined","","Ben Koyack","JAC","at TEN","36","43","40.7","3.3","2.3"
"45","undefined","","Anthony Firkser","TEN","vs. JAC","42","45","44.0","1.4","2.3"
"46","undefined","","Derek Carrier","OAK","at NYJ","42","54","49.3","5.2","2.3"
"47","undefined","","Hale Hentges","WAS","vs. DET","35","40","37.5","2.5","2.3"
"48","undefined","","Jordan Thomas","HOU","vs. IND","37","42","39.5","2.5","2.3"
"49","undefined","","Troy Fumagalli","DEN","at BUF","45","56","51.7","4.8","2.2"
"50","undefined","","Nick O'Leary","JAC","at TEN","35","50","42.5","7.5","2.1"
"51","undefined","","Levine Toilolo","SF","vs. GB","43","67","56.0","9.9","2.1"
"52","undefined","","J.P. Holtz","CHI","vs. NYG","41","56","48.5","7.5","1.9"
"53","undefined","","Garrett Celek","SF","vs. GB","44","55","49.5","5.5","1.9"
"54","undefined","","Tyler Kroft","BUF","vs. DEN","47","52","49.5","2.5","1.9"
"55","undefined","","Matt LaCosse","NE","vs. DAL","49","50","49.5","0.5","1.8"
"56","undefined","","Pharaoh Brown","CLE","vs. MIA","47","53","50.0","3.0","1.7"
"57","undefined","","Marcedes Lewis","GB","at SF","48","60","54.0","6.0","1.5"
"58","undefined","","Logan Thomas","DET","at WAS","53","57","55.0","2.0","1.5"
"59","undefined","","Daniel Brown","NYJ","vs. OAK","49","64","56.5","7.5","1.4"
"60","undefined","","Scott Simonson","NYG","at CHI","51","62","56.5","5.5","1.4"
"61","undefined","","Mo Alie-Cox","IND","at HOU","51","64","57.5","6.5","1.4"
"62","undefined","","Ryan Izzo","NE","vs. DAL","57","59","58.0","1.0","1.4"
"63","undefined","","Tanner Hudson","TB","at ATL","55","63","59.0","4.0","1.3"
"64","undefined","","Lee Smith","BUF","vs. DEN","58","65","61.5","3.5","1.3"
"65","undefined","","Jesse James","DET","at WAS","61","62","61.5","0.5","1.3"
"66","undefined","","Robert Tonyan","GB","at SF","59","72","65.5","6.5","1.3"
