"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","Travis Kelce","KC","at OAK","1","3","1.1","0.3"
"2","undefined","","George Kittle","SF","at CIN","1","5","2.1","0.5"
"3","undefined","","Zach Ertz","PHI","at ATL","1","10","3.7","1.1"
"4","undefined","","Evan Engram","NYG","vs. BUF","1","7","4.1","1.1"
"5","undefined","","O.J. Howard","TB","at CAR","3","18","5.6","2.4"
"6","undefined","","Darren Waller","OAK","vs. KC","2","18","7.1","2.2"
"7","undefined","","Delanie Walker","TEN","vs. IND","2","15","7.5","1.8"
"8","undefined","","Mark Andrews","BAL","vs. ARI","3","21","7.7","1.9"
"9","undefined","","Jared Cook","NO","at LAR","4","19","9.2","2.5"
"10","undefined","","T.J. Hockenson","DET","vs. LAC","2","27","10.2","2.4"
"11","undefined","","Vance McDonald","PIT","vs. SEA","6","20","11.4","2.2"
"12","undefined","","David Njoku","CLE","at NYJ","5","20","11.6","1.9"
"13","undefined","","Greg Olsen","CAR","vs. TB","5","36","13.2","3.6"
"14","undefined","","Austin Hooper","ATL","vs. PHI","6","21","14.0","2.6"
"15","undefined","","Jimmy Graham","GB","vs. MIN","5","20","14.7","1.4"
"16","undefined","","Eric Ebron","IND","at TEN","7","24","16.0","2.1"
"17","undefined","","Tyler Eifert","CIN","vs. SF","10","29","17.8","2.5"
"18","undefined","","Kyle Rudolph","MIN","at GB","15","30","19.6","2.0"
"19","undefined","","Vernon Davis","WAS","vs. DAL","4","45","19.7","5.5"
"20","undefined","","Jack Doyle","IND","at TEN","13","44","21.5","3.5"
"21","undefined","","Dallas Goedert","PHI","at ATL","15","37","21.4","2.9"
"22","undefined","","Noah Fant","DEN","vs. CHI","10","38","22.6","3.4"
"23","undefined","","Jason Witten","DAL","at WAS","15","36","24.8","2.7"
"24","undefined","","Mike Gesicki","MIA","vs. NE","11","35","24.3","2.4"
"25","undefined","","Trey Burton","CHI","at DEN","10","72","22.1","6.8"
"26","undefined","","Cameron Brate","TB","at CAR","13","39","28.1","4.3"
"27","undefined","","C.J. Uzomah","CIN","vs. SF","16","47","28.1","4.6"
"28","undefined","","Gerald Everett","LAR","vs. NO","21","39","28.2","3.4"
"29","undefined","","Tyler Higbee","LAR","vs. NO","17","52","29.4","4.0"
"30","undefined","","Hayden Hurst","BAL","vs. ARI","19","43","30.7","2.9"
"31","undefined","","Will Dissly","SEA","at PIT","12","46","29.7","4.3"
"32","undefined","","Nick Vannett","SEA","at PIT","22","49","33.0","4.1"
"33","undefined","","Ian Thomas","CAR","vs. TB","18","65","34.8","5.4"
"34","undefined","","Jordan Akins","HOU","vs. JAC","23","68","35.5","5.5"
"35","undefined","","Blake Jarwin","DAL","at WAS","24","41","33.2","4.3"
"36","undefined","","Ryan Griffin","NYJ","vs. CLE","18","61","33.7","6.9"
"37","undefined","","Geoff Swaim","JAC","at HOU","19","45","33.6","4.5"
"38","undefined","","Virgil Green","LAC","at DET","19","43","31.2","6.6"
"39","undefined","","Irv Smith Jr.","MIN","at GB","20","65","42.4","6.9"
"40","undefined","","Adam Shaheen","CHI","at DEN","26","73","39.5","7.5"
"41","undefined","","Charles Clay","ARI","at BAL","27","63","43.1","7.6"
"42","undefined","","Dawson Knox","BUF","at NYG","27","71","40.6","7.4"
"43","undefined","","James O'Shaughnessy","JAC","at HOU","24","72","40.0","8.8"
